RNA,ID,Length,total fragments,Avg lifetime,StdDev
cydAB,342,2724,6,8.662771667,1.4268484
ybgC-tolQRA,343,2856,6,1.312878333,0.135281891
tolB-pal-ybgF,344,2650,6,5.15795,2.84390822
lysT-valT-lysW,345,365,1,1.11883,0
aroG,350,1053,3,3.14827,0.266120715
gpmA,351,753,2,3.389065,0.187145
ybhC,361,1284,4,1.9525275,0.067599264
ybhB,362,477,1,4.35893,0
uvrB,365,2022,6,3.952913333,0.382253812
ybhK,366,909,3,2.045793333,0.224015762
ybhL,367,705,2,2.880885,0.168525
rhlE,369,1365,4,1.7773025,0.144332435
ybiA,370,483,1,2.73006,0
dinG,371,2151,6,1.622653333,0.128387823
ybiB,372,963,3,6.392656667,1.223066823
ybiC,373,1086,3,12.10871667,6.764307207
dps,379,504,1,7.39125,0
rhtA,380,888,2,2.109115,0.061505
ompX,381,516,1,10.775,0
mntR-ybiR,385,1583,5,1.426842,0.123983383
ybiS,386,921,3,2.261573333,0.338806371
ybiT,387,1593,5,2.621084,0.273434977
ybiV,389,816,2,4.13986,0.14689
moeAB,391,1985,6,2.450626667,0.527437359
rimO,394,1326,4,1.495445,0.162706748
dacC,396,1203,4,2.0866575,0.411079429
deoR,397,759,2,1.068284,0.169276
ybjG,398,597,1,2.34158,0
cmr,399,1233,4,1.58097,0.124183981
ybjK,402,537,1,1.94686,0
ybjL,404,1686,5,1.501214,0.226510253
artJ,409,732,2,3.891155,0.031845
artPIQM,410,2869,6,2.515906667,0.405649127
clpS,415,321,1,3.70324,0
clpA,416,2277,6,12.15720667,3.429908327
aat,419,705,2,1.953075,0.043175
trxB,420,966,3,4.963963333,0.655561011
lrp,421,495,1,7.63071,0
ftsK,422,3990,6,2.028896667,0.310214837
lolA-rarA,423,1969,6,1.637678333,0.300322816
serS,424,1293,4,4.2234875,0.751251934
pflA,431,741,2,2.17006,0.00462
ycaO,432,1761,5,3.893762,0.374143454
ycaR-kdsB,436,926,3,3.801063333,0.162135848
smtA-mukFEB,437,7250,6,1.972516667,0.213843477
ycbKL,439,1223,4,3.61943,0.129233913
aspC,440,1191,3,10.94296,1.636010181
ompF,441,1089,3,12.55573,3.125076675
asnS,442,1401,4,6.4806775,0.705434229
pncB,443,1203,4,2.1740775,0.469988869
pepN,444,2613,6,3.282373333,0.512043898
pyrD,447,1011,3,9.448233333,2.147386195
rlmL-uup,448,4028,6,1.476676667,0.04268002
pqiAB,449,2899,6,1.61261,0.17320673
ymbA,450,549,1,-2.84E-14,0
fabA,452,519,1,3.4944,0
ycbZ,453,1761,5,1.559668,0.079406946
matP,454,453,1,1.72631,0
ompA,455,1041,3,46.75323333,22.82399904
sulA,456,510,1,8.05898,0
mgsA,458,459,1,2.74663,0
yccU,460,414,1,5.81251,0
hspQ,461,318,1,4.64212,0
rlmI,462,1191,3,2.02919,0.056320015
yccA,463,660,2,2.575,0.05633
ymcE-gnsA,470,394,1,7.97625,0
rutR,479,639,2,3.3845,0.32311
putA,480,3963,6,4.373176667,0.799161755
putP,481,1509,5,5.140224,0.55283182
efeU_1U_2,482,830,2,2.0281,0.29718
efeOB,483,2405,6,3.196005,0.638253869
ghrA,488,939,3,4.61813,0.597253203
ycdXY,489,1316,4,5.1698975,0.982547194
ycdZ,490,492,1,4.35891,0
ymdA,491,312,1,4.50202,0
mdoC,492,1158,3,1.03618,0.17296338
mdoGH,493,4072,6,2.379938333,0.158534584
msyB,495,375,1,3.94419,0
lpxL,497,921,3,1.462873333,0.185177426
yceA,498,1053,3,1.342373333,0.065058103
pyrC,501,1047,3,8.833213333,3.531820858
yceB,502,561,1,3.34686,0
rimJ,505,585,1,4.08255,0
yceH,506,648,2,4.43572,0.96695
murJ,508,1536,5,1.295016,0.199136734
flgBCDEFGHIJ,509,7295,6,3.867266667,1.844902031
flgK,510,2609,6,4.427855,3.218510895
rne,511,3186,6,2.663333333,0.381396752
yceQ,512,321,1,1.92731,0
rluC,513,960,3,1.23126,0.165630423
pabC-yceG-tmk-holB-ycfH,514,4275,6,4.49117,0.785779022
ptsG,515,1434,4,6.649775,0.475072033
hinT-ycfL-lpoB-thiK-nagZ-ycfP,517,3801,6,8.503901667,2.138001604
ndh,518,1305,4,1.7635825,0.086040999
ycfJ,519,540,1,2.45795,0
ycfQ,520,633,2,2.118605,0.421585
mfd,522,3447,6,1.49844,0.16292911
lolCDE,524,3138,6,1.257643333,0.065001013
ycfD,527,1122,3,1.645393333,0.046570831
hflD-purB,528,2016,6,2.75814,0.785443468
mnmA,529,1107,3,1.555573333,0.108148793
icd,530,1251,4,5.9896675,0.766452054
iraM,538,324,1,2.28134,0
ycgE,540,732,2,1.061685,0.043685
ycgF,541,1212,4,3.84673,0.418776176
pliG,550,402,1,7.39555,0
ycgL,551,327,1,1.62193,0
ycgM,552,660,2,2.43379,0.1304
ycgN,553,447,1,1.68115,0
dsbB,557,531,1,2.10666,0
nhaB,558,1542,5,1.693576,0.197195288
fadR,559,720,2,1.661335,0.219225
dadAX,561,2379,6,2.154403333,0.188095462
cvrA,562,1737,5,1.4559758,0.386492493
emtA,564,612,2,3.030615,0.296895
