# Supplementary Table 5. Comprehensive absolute cellular metabolite concentrations.
KEGG ID	Brenda ID	Mammalian iBMK cells	L.B.	U.B.	Yeast	L.B.	U.B.	E. coli	L.B.	U.B.
C00294	645	1.33E-6	5.38E-7	2.11E-6	6.12E-6	4.94E-6	7.31E-6	-	-	-
C00311	23698	-	-	-	-	-	-	3.67E-5	4.68E-6	4.29E-5
C00311	23698	3.21E-5	2.10E-5	3.38E-5	5.79E-6	1.90E-6	9.79E-6	-	-	-
C00407	22459	1.76E-3	1.66E-3	1.86E-3	3.53E-4	3.00E-4	4.05E-4	1.52E-4	1.49E-4	1.54E-4
C00081	1200	-	-	-	-	-	-	2.05E-4	1.38E-4	3.03E-4
C00123	22465	1.76E-3	1.66E-3	1.86E-3	3.53E-4	3.00E-4	4.05E-4	1.52E-4	1.49E-4	1.54E-4
C00047	22685	5.06E-4	4.58E-4	5.54E-4	5.16E-3	2.89E-3	7.44E-3	4.05E-4	3.27E-4	5.02E-4
C00149	19469	1.39E-3	1.06E-3	1.72E-3	9.25E-4	6.82E-4	1.17E-3	1.68E-3	1.66E-3	1.70E-3
C00083	13046	4.95E-6	4.76E-6	5.13E-6	-	-	-	3.54E-5	4.05E-7	3.09E-3
C00073	20519	6.39E-4	6.19E-4	6.59E-4	1.91E-4	1.49E-4	2.33E-4	1.45E-4	1.31E-4	1.61E-4
C02170	-	7.26E-5	3.76E-5	1.08E-4	-	-	-	-	-	-
C00137	82786	-	-	-	-	-	-	5.72E-6	4.22E-6	7.75E-6
C04256	26142	7.47E-6	4.38E-6	1.06E-5	1.50E-4	1.36E-4	1.65E-4	8.19E-5	7.25E-5	9.26E-5
C01042	23785	2.90E-3	2.77E-3	3.03E-3	-	-	-	-	-	-
C00437	24348	-	-	-	2.29E-4	1.93E-4	2.65E-4	4.33E-5	2.71E-5	6.94E-5
C00003	11259	5.02E-4	4.72E-4	5.32E-4	2.44E-3	2.29E-3	2.60E-3	2.55E-3	2.32E-3	2.80E-3
C00004	11384	7.50E-5	6.36E-5	8.82E-5	1.07E-4	9.32E-5	1.22E-4	8.36E-5	5.45E-5	1.27E-4
C00006	48210	2.84E-5	2.55E-5	3.14E-5	1.83E-4	1.61E-4	2.04E-4	2.08E-6	1.40E-7	3.11E-5
C00005	48213	6.54E-5	5.87E-5	7.21E-5	2.21E-4	1.93E-4	2.50E-4	1.21E-4	1.10E-4	1.34E-4
C00077	20623	-	-	-	4.49E-3	4.04E-3	4.94E-3	1.01E-5	6.81E-6	1.51E-5
C00295	20827	8.41E-6	2.19E-6	1.46E-5	-	-	-	-	-	-
C00036	19271	-	-	-	-	-	-	4.87E-7	2.81E-7	8.55E-7
C00036	19271	2.01E-6	1.18E-6	3.31E-6	5.01E-7	1.32E-7	9.86E-7	-	-	-
C00079	27187	8.40E-4	7.97E-4	8.84E-4	2.73E-4	2.15E-4	3.31E-4	1.82E-5	1.77E-5	1.87E-5
C00166	28296	1.77E-3	1.71E-3	1.82E-3	-	-	-	8.98E-5	5.01E-5	1.61E-4
C00009	92038	5.83E-3	4.00E-3	6.00E-3	4.93E-2	4.00E-2	6.00E-2	2.39E-2	1.60E-2	2.40E-2
C00074	17779	1.16E-5	6.86E-6	1.98E-5	2.91E-5	2.33E-5	3.48E-5	1.84E-4	1.46E-4	2.31E-4
C00148	21286	1.23E-3	1.13E-3	1.34E-3	1.36E-3	8.38E-4	1.87E-3	3.85E-4	3.72E-4	3.99E-4
C00100	36287	-	-	-	-	-	-	5.32E-6	3.88E-6	7.29E-6
C00119	20749	-	-	-	4.70E-5	3.67E-5	5.73E-5	2.58E-4	1.36E-4	4.92E-4
C00022	17694	5.88E-3	5.40E-3	6.35E-3	9.40E-3	8.51E-3	1.04E-2	3.66E-3	3.13E-3	4.20E-3
C03722	24851	-	-	-	-	-	-	1.15E-5	2.41E-6	5.49E-5
C00255	7793	-	-	-	-	-	-	1.90E-5	1.72E-5	2.11E-5
C00117	34575	7.83E-5	2.84E-5	1.28E-4	1.52E-4	1.14E-4	1.90E-4	-	-	-
C00117	34575	2.84E-5	2.84E-5	4.01E-5	-	-	-	7.87E-4	7.86E-4	8.36E-4
C00199	20587	5.27E-6	4.10E-6	5.85E-6	1.22E-4	7.73E-5	1.95E-4	1.12E-4	1.12E-4	1.27E-4
C00021	5433	5.71E-7	-1.61E-7	1.30E-6	-	-	-	-	-	-
C00019	6347	-	-	-	-	-	-	1.84E-4	1.19E-4	2.84E-4
C05382	24563	1.51E-5	1.21E-5	1.81E-5	3.61E-4	3.29E-4	3.92E-4	8.82E-4	8.40E-4	9.24E-4
C05382	24563	1.81E-5	1.28E-5	1.81E-5	-	-	-	-	-	-
C00065	17936	4.86E-3	4.75E-3	4.97E-3	3.87E-3	2.35E-3	5.38E-3	1.13E-3	1.06E-3	1.20E-3
C00493	23975	-	-	-	-	-	-	1.41E-5	7.02E-6	2.81E-5
C00093	18111	-	-	-	2.81E-4	2.54E-4	3.08E-4	4.90E-5	1.29E-5	1.87E-4
C00042	19270	3.52E-4	2.87E-4	4.30E-4	6.35E-4	5.66E-4	7.05E-4	5.69E-4	3.41E-4	9.49E-4
C00091	55439	-	-	-	-	-	-	2.33E-4	1.42E-4	3.83E-4
C00091	55439	6.80E-6	3.49E-7	3.16E-3	-	-	-	-	-	-
C00245	15566	-	-	-	5.64E-6	5.21E-6	6.06E-6	-	-	-
C00188	19816	6.69E-3	6.44E-3	6.94E-3	6.69E-3	4.52E-3	8.86E-3	1.26E-3	1.22E-3	1.29E-3
C00214	991	2.64E-6	1.88E-6	3.40E-6	3.45E-6	2.65E-6	4.24E-6	-	-	-
C01083	39582	-	-	-	8.40E-3	6.53E-3	1.03E-2	-	-	-
C00078	2198	1.80E-4	1.72E-4	1.89E-4	5.55E-5	4.63E-5	6.46E-5	1.21E-5	1.14E-5	1.29E-5
C00082	27212	9.38E-4	8.88E-4	9.88E-4	2.48E-4	2.29E-4	2.68E-4	2.89E-5	1.87E-5	4.47E-5
C00015	27564	1.33E-4	1.25E-4	1.42E-4	3.68E-5	2.90E-5	4.47E-5	1.79E-3	1.18E-3	2.72E-3
C00029	6433	1.53E-3	1.28E-3	1.77E-3	2.68E-4	2.50E-4	2.86E-4	2.50E-3	1.23E-3	5.11E-3
C00167	36564	9.75E-5	8.45E-5	1.11E-4	-	-	-	5.66E-4	1.20E-4	2.67E-3
C00043	8030	8.97E-3	8.80E-3	9.14E-3	1.02E-3	9.28E-4	1.11E-3	9.24E-3	6.79E-3	1.26E-2
C00105	27452	1.45E-5	1.33E-5	1.57E-5	1.45E-5	8.69E-6	2.04E-5	-	-	-
C00299	27316	-	-	-	-	-	-	2.09E-3	1.96E-3	2.24E-3
C00075	27658	1.76E-3	1.55E-3	1.98E-3	4.94E-4	4.28E-4	5.59E-4	8.29E-3	7.76E-3	8.86E-3
C00183	20495	1.51E-3	1.44E-3	1.58E-3	2.50E-3	2.37E-3	2.63E-3	4.02E-3	3.53E-3	4.58E-3
C00231	29847	3.15E-5	2.33E-5	3.95E-5	-	-	-	-	-	-
C00231	29847	2.99E-5	2.34E-5	3.31E-5	2.46E-4	1.59E-4	3.93E-4	1.81E-4	1.80E-4	2.03E-4
