"Name"	"Blattner number"	"Location E coli B"
"yebQ"	"b1828"	"IM"
"htpX"	"b1829"	"IM"
"prc"	"b1830"	"P"
"proQ"	"b1831"	"C"
"yebR"	"b1832"	"C"
"yebS"	"b1833"	"IM"
"yebT"	"b1834"	"IM"
"yebU"	"b1835"	"C"
"yebV"	"b1836"	"C"
"yebW"	"b1837"	"C"
"pphA"	"b1838"	"C"
"yebY"	"b1839"	"P"
"yebZ"	"b1840"	"IM"
"yobA"	"b1841"	"P"
"holE"	"b1842"	"C"
"yobB"	"b1843"	"C"
"exoX"	"b1844"	"C"
"ptrB"	"b1845"	"C"
"yebE"	"b1846"	"IM"
"yebF"	"b1847"	"E"
"yebG"	"b1848"	"C"
"purT"	"b1849"	"C"
"eda"	"b1850"	"C"
"edd"	"b1851"	"C"
"zwf"	"b1852"	"C"
"yebK"	"b1853"	"C"
"pykA"	"b1854"	"C"
"msbB"	"b1855"	"IM"
"yebA"	"b1856"	"E"
"znuA"	"b1857"	"P"
"znuC"	"b1858"	"C"
"znuB"	"b1859"	"IM"
"ruvB"	"b1860"	"C"
"ruvA"	"b1861"	"C"
"yebB"	"b1862"	"C"
"ruvC"	"b1863"	"C"
"yebC"	"b1864"	"C"
"ntpA"	"b1865"	"C"
"aspS"	"b1866"	"C"
"yecD"	"b1867"	"C"
"yecE"	"b1868"	"C"
"yecN"	"b1869"	"IM"
"yecO"	"b1870"	"C"
"yecP"	"b1871"	"C"
"torZ"	"b1872"	"P"
"torY"	"b1873"	"IM"
"cutC"	"b1874"	"C"
"yecM"	"b1875"	"C"
"argS"	"b1876"	"C"
"yecT"	"b1877"	"P"
"flhE"	"b1878"	"C"
"flhA"	"b1879"	"IM"
"flhB"	"b1880"	"IM"
"cheZ"	"b1881"	"C"
"cheY"	"b1882"	"C"
"cheB"	"b1883"	"C"
"cheR"	"b1884"	"C"
"tap"	"b1885"	"IM"
"tar"	"b1886"	"IM"
"cheW"	"b1887"	"C"
"cheA"	"b1888"	"C"
"motB"	"b1889"	"IM"
"motA"	"b1890"	"IM"
"flhC"	"b1891"	"C"
"flhD"	"b1892"	"C"
"yecG"	"b1895"	"C"
"otsA"	"b1896"	"C"
"otsB"	"b1897"	"C"
"araH"	"b4460"	"IM"
"araG"	"b1900"	"IM"
"araF"	"b1901"	"P"
"yecI"	"b1902"	"C"
"yecJ"	"b4537"	"C"
"yecR"	"b1904"	"C"
"ftn"	"b1905"	"C"
"yecH"	"b1906"	"C"
"tyrP"	"b1907"	"IM"
"yecA"	"b1908"	"C"
"pgsA"	"b1912"	"IM"
"uvrC"	"b1913"	"C"
"uvrY"	"b1914"	"C"
"insA-13"		"C"
"insB-13"		"C"
"yedU"	"b1967"	"C"
"yedV"	"b1968"	"IM"
"yedW"	"b1969"	"C"
"yedX"	"b1970"	"E"
"yedY"	"b1971"	"P"
"yedZ"	"b1972"	"IM"
"yodA"	"b1973"	"P"
"yodB"	"b1974"	"IM"
"yeeI"	"b1976"	"C"
"yeeJ"	"b1978"	"OM"
"shiA"	"b1981"	"IM"
"amn"	"b1982"	"C"
"yeeN"	"b1983"	"C"
"yeeO"	"b1985"	"IM"
"cbl"	"b1987"	"C"
"nac"	"b1988"	"C"
"erfK"	"b1990"	"P"
"cobT"	"b1991"	"C"
"cobS"	"b1992"	"IM"
"cobU"	"b1993"	"C"
"insD"	"b1996"	"C"
		"C"
		"C"
		"C"
"yoeD"		"C"
"yeeX"	"b2007"	"C"
"yeeA"	"b2008"	"IM"
"sbmC"	"b2009"	"C"
"dacD"	"b2010"	"IM"
"sbcB"	"b2011"	"C"
"yeeD"	"b2012"	"C"
"yeeE"	"b2013"	"IM"
"yeeF"	"b2014"	"IM"
"yeeY"	"b2015"	"C"
"yeeZ"	"b2016"	"C"
"hisL"	"b2018"	"C"
"hisG"	"b2019"	"C"
"hisD"	"b2020"	"C"
"hisC"	"b2021"	"C"
"hisB"	"b2022"	"C"
"hisH"	"b2023"	"C"
"hisA"	"b2024"	"C"
"hisF"	"b2025"	"C"
"hisI"	"b2026"	"C"
"wzzB"	"b2027"	"IM"
"ugd"	"b2028"	"C"
"gnd"	"b2029"	"C"
"manB"		"C"
"manC"		"C"
"insB-14"		"C"
"insA-14"		"C"
"wbbD"		"C"
"wbbC"		"C"
"wzy"		"IM"
"wbbB"		"C"
"wbbA"		"C"
"vioB"		"C"
"vioA"		"C"
"wzx"		"IM"
"rmlC"	"b2038"	"C"
"rfbA"	"b2039"	"C"
"rfbD"	"b2040"	"C"
"rfbB"	"b2041"	"C"
"galF"	"b2042"	"C"
"wcaM"	"b2043"	"P"
"wcaL"	"b2044"	"C"
"wcaK"	"b2045"	"C"
"wzxC"	"b2046"	"IM"
"wcaJ"	"b2047"	"IM"
"cpsG"	"b2048"	"C"
"cpsB"	"b2049"	"C"
"wcaI"	"b2050"	"C"
"wcaH"	"b2051"	"C"
"wcaG"	"b2052"	"C"
"gmd"	"b2053"	"C"
"wcaF"	"b2054"	"C"
"wcaE"	"b2055"	"C"
"wcaD"	"b2056"	"IM"
"wcaC"	"b2057"	"C"
"wcaB"	"b2058"	"C"
"wcaA"	"b2059"	"C"
"wzc"	"b2060"	"IM"
"wzb"	"b2061"	"C"
"wza"	"b2062"	"OM"
"yegH"	"b2063"	"IM"
"asmA"	"b2064"	"IM"
"dcd"	"b2065"	"C"
"udk"	"b2066"	"C"
"yegE"	"b2067"	"IM"
"alkA"	"b2068"	"C"
"yegD"	"b2069"	"C"
"yegI"	"b2070"	"C"
"yegK"	"b2072"	"C"
"yegL"	"b2073"	"C"
"yegM"	"b2074"	"IM"
"yegN"	"b2075"	"IM"
"yegO"	"b2076"	"IM"
"yegB"	"b2077"	"IM"
"baeS"	"b2078"	"IM"
"baeR"	"b2079"	"C"
"yegP"	"b2080"	"C"
"yegQ"	"b2081"	"C"
"ogrK"	"b2082"	"C"
"yegZ"	"b2083"	"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"IM"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
"yegR"	"b2085"	"P"
"yegS"	"b2086"	"C"
"gatR"	"b2089-b2090(b4498)"	"C"
"gatD"	"b2091"	"C"
"gatC"	"b2092"	"IM"
"gatB"	"b2093"	"C"
"gatA"	"b2094"	"C"
"insA-15"		"C"
"insB-15"		"C"
"gatY"	"b2096"	"C"
"fbaB"	"b2097"	"C"
"yegT"	"b2098"	"IM"
"yegU"	"b2099"	"C"
"yegV"	"b2100"	"C"
"yegW"	"b2101"	"C"
"yegX"	"b2102"	"IM"
"thiD"	"b2103"	"C"
"thiM"	"b2104"	"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"IM"
		"IM"
"insB-16"		"C"
"insA-16"		"C"
"yehE"	"b2112"	"P"
"mrp"	"b2113"	"C"
"metG"	"b2114"	"C"
"molR"	"b2115-b2116-21174(b4499)"	"C"
"yehI"	"b2118"	"C"
"yehK"	"b4541"	"C"
"yehL"	"b2119"	"C"
"yehM"	"b2120"	"C"
"yehP"	"b2121"	"C"
"yehQ"	"b2122"	"C"
"yehR"	"b2123"	"P"
"yehS"	"b2124"	"C"
"yehT"	"b2125"	"C"
"yehU"	"b2126"	"IM"
"yehV"	"b2127"	"C"
	"b4542"	"IM"
"yehW"	"b2128"	"IM"
"yehX"	"b2129"	"C"
"yehY"	"b2130"	"IM"
"yehZ"	"b2131"	"P"
"bglX"	"b2132"	"C"
"dld"	"b2133"	"C"
"pbpG"	"b2134"	"P"
"yohC"	"b2135"	"IM"
"yohD"	"b2136"	"IM"
"yohF"	"b2137"	"C"
"yohGH"	"b2138-b2139"	"OM"
"yohI"	"b2140"	"C"
"yohJ"	"b2141"	"IM"
"yohK"	"b2142"	"IM"
"cdd"	"b2143"	"C"
"sanA"	"b2144"	"IM"
"yeiS"	"b2145"	"IM"
"yeiT"	"b2146"	"C"
"yeiA"	"b2147"	"C"
"mglC"	"b2148"	"IM"
"mglA"	"b2149"	"IM"
"mglB"	"b2150"	"P"
"galS"	"b2151"	"C"
"yeiB"	"b2152"	"IM"
"folE"	"b2153"	"C"
"yeiG"	"b2154"	"C"
"cirA"	"b2155"	"OM"
"lysP"	"b2156"	"IM"
"yeiE"	"b2157"	"C"
"yeiH"	"b2158"	"IM"
"nfo"	"b2159"	"C"
"yeiI"	"b2160"	"C"
"yeiJ"	"b2161"	"IM"
"rihB"	"b2162"	"C"
"yeiL"	"b2163"	"C"
"yeiM"	"b2164"	"IM"
"yeiN"	"b2165"	"C"
"yeiC"	"b2166"	"C"
"fruA"	"b2167"	"IM"
"fruK"	"b2168"	"C"
"fruB"	"b2169"	"C"
"setB"	"b2170"	"IM"
"yeiW"	"b4502"	"C"
"yeiP"	"b2171"	"C"
"yeiQ"	"b2172"	"C"
"yeiR"	"b2173"	"C"
"yeiU"	"b2174"	"IM"
"spr"	"b2175"	"IM"
"rtn"	"b2176"	"IM"
"yejA"	"b2177"	"P"
"yejB"	"b2178"	"IM"
"yejE"	"b2179"	"IM"
"yejF"	"b2180"	"IM"
"yejG"	"b2181"	"C"
"bcr"	"b2182"	"IM"
"rsuA"	"b2183"	"C"
"yejH"	"b2184"	"C"
"rplY"	"b2185"	"C"
"yejK"	"b2186"	"C"
"yejL"	"b2187"	"C"
"yejM"	"b2188"	"IM"
"yejO"	"b2190"	"OM"
"narP"	"b2193"	"C"
"ccmH"	"b2194"	"IM"
"ccmG"	"b2195"	"IM"
"ccmF"	"b2196"	"IM"
"ccmE"	"b2197"	"IM"
"ccmD"	"b2198"	"IM"
"ccmC"	"b2199"	"IM"
"ccmB"	"b2200"	"IM"
"ccmA"	"b2201"	"IM"
"napC"	"b2202"	"IM"
"napB"	"b2203"	"P"
"napH"	"b2204"	"IM"
"napG"	"b2205"	"P"
"napA"	"b2206"	"P"
"napD"	"b2207"	"C"
"napF"	"b2208"	"IM"
"eco"	"b2209"	"P"
"mqo"	"b2210"	"IM"
"yojI"	"b2211"	"IM"
"alkB"	"b2212"	"C"
"ada"	"b2213"	"C"
"yojL"	"b2214"	"C"
"ompC"	"b2215"	"OM"
"insB-17"		"C"
"insA-17"		"C"
"rcsC"	"b2218"	"IM"
"atoS"	"b2219"	"IM"
"atoC"	"b2220"	"C"
"atoD"	"b2221"	"C"
"atoA"	"b2222"	"C"
"atoE"	"b2223"	"IM"
"atoB"	"b2224"	"C"
"yfaP"	"b2225"	"OM"
"yfaQ"	"b2226"	"P"
"yfaS"	"b2227-b2228(b4500)"	"E"
"yfaT"	"b2229"	"C"
"yfaA"	"b2230"	"IM"
"gyrA"	"b2231"	"C"
"ubiG"	"b2232"	"C"
"yfaL"	"b2233"	"OM"
"nrdA"	"b2234"	"C"
"nrdB"	"b2235"	"C"
"yfaE"	"b2236"	"C"
"inaA"	"b2237"	"C"
"yfaH"	"b2238"	"C"
"glpQ"	"b2239"	"OM"
"glpT"	"b2240"	"IM"
"glpA"	"b2241"	"C"
"glpB"	"b2242"	"C"
"glpC"	"b2243"	"IM"
"yfaD"	"b2244"	"C"
"yfaU"	"b2245"	"C"
"yfaV"	"b2246"	"IM"
"yfaW"	"b2247"	"C"
"yfaX"	"b2248"	"C"
"yfaY"	"b2249"	"C"
"yfaZ"	"b2250"	"OM"
"yfaO"	"b2251"	"C"
"ais"	"b2252"	"IM"
"yfbE"	"b2253"	"C"
"yfbF"	"b2254"	"C"
"yfbG"	"b2255"	"C"
"yfbH"	"b2256"	"C"
"arnT"	"b2257"	"IM"
"yfbW"	"b4544"	"IM"
"yfbJ"	"b2258"	"IM"
"pmrD"	"b2259"	"C"
"menE"	"b2260"	"C"
"menC"	"b2261"	"C"
"menB"	"b2262"	"C"
"yfbB"	"b2263"	"C"
"menD"	"b2264"	"C"
"menF"	"b2265"	"C"
"elaB"	"b2266"	"E"
"elaA"	"b2267"	"C"
"elaC"	"b2268"	"C"
"elaD"	"b2269"	"C"
"yfbM"	"b2272"	"C"
		"C"
		"C"
"nuoN"	"b2276"	"IM"
"nuoM"	"b2277"	"IM"
"nuoL"	"b2278"	"IM"
"nuoK"	"b2279"	"IM"
"nuoJ"	"b2280"	"IM"
"nuoI"	"b2281"	"IM"
"nuoH"	"b2282"	"IM"
"nuoG"	"b2283"	"C"
"nuoF"	"b2284"	"C"
"nuoE"	"b2285"	"C"
"nuoC"	"b2286"	"C"
"nuoB"	"b2287"	"P"
"nuoA"	"b2288"	"IM"
"lrhA"		"C"
"yfbQ"	"b2290"	"C"
"yfbR"	"b2291"	"C"
"yfbS"	"b2292"	"IM"
"yfbT"	"b2293"	"C"
"yfbU"	"b2294"	"C"
"yfbV"	"b2295"	"IM"
"ackA"	"b2296"	"C"
"pta"	"b2297"	"IM"
"yfcC"	"b2298"	"IM"
"yfcD"	"b2299"	"C"
"yfcE"	"b2300"	"C"
"yfcF"	"b2301"	"C"
"yfcG"	"b2302"	"C"
"folX"	"b2303"	"C"
"yfcH"	"b2304"	"C"
"yfcI"	"b2305"	"C"
"hisP"	"b2306"	"IM"
"hisM"	"b2307"	"IM"
"hisQ"	"b2308"	"IM"
"hisJ"	"b2309"	"P"
"argT"	"b2310"	"P"
"ubiX"	"b2311"	"C"
"purF"	"b2312"	"C"
"cvpA"	"b2313"	"IM"
"dedD"	"b2314"	"IM"
"folC"	"b2315"	"C"
"accD"	"b2316"	"C"
"dedA"	"b2317"	"IM"
"truA"	"b2318"	"C"
"usg"	"b2319"	"C"
"pdxB"	"b2320"	"C"
"flk"	"b2321"	"C"
"yfcJ"	"b2322"	"IM"
"fabB"	"b2323"	"C"
"yfcK"	"b2324"	"C"
"yfcL"	"b2325"	"C"
"yfcM"	"b2326"	"C"
"yfcA"	"b2327"	"IM"
"mepA"	"b2328"	"P"
"aroC"	"b2329"	"C"
"yfcB"	"b2330"	"C"
"yfcN"	"b2331"	"C"
"yfcO"	"b2332"	"C"
"yfcP"	"b2333"	"E"
"yfcQ"	"b2334"	"F"
"yfcR"	"b2335"	"E"
"yfcS"	"b2336"	"P"
"yfcTU"	"b2337-b2338"	"OM"
"yfcV"	"b2339"	"E"
"sixA"	"b2340"	"C"
"yfcX"	"b2341"	"C"
"yfcY"	"b2342"	"C"
"yfcZ"	"b2343"	"C"
"fadL"	"b2344"	"OM"
"insB-18"		"C"
"insA-18"		"C"
"vacJ"	"b2346"	"OM"
"yfdC"	"b2347"	"IM"
"dsdC"	"b2364"	"C"
"dsdX"	"b2365"	"IM"
"dsdA"	"b2366"	"C"
"emrY"	"b2367"	"IM"
"emrK"	"b2368"	"IM"
"evgA"	"b2369"	"C"
"evgS"	"b2370"	"IM"
"yfdE"	"b2371"	"C"
"yfdV"	"b2372"	"IM"
"yfdU"	"b2373"	"C"
"yfdW"	"b2374"	"C"
"yfdX"	"b2375"	"P"
"ypdI"	"b2376"	"P"
"yfdY"	"b2377"	"IM"
"ddg"	"b2378"	"IM"
"yfdZ"	"b2379"	"C"
"ypdA"	"b2380"	"IM"
"ypdB"	"b2381"	"C"
"ypdC"	"b2382"	"C"
"ypdD"	"b2383"	"C"
"ypdE"	"b2384"	"C"
"ypdF"	"b2385"	"C"
"ypdG"	"b2386"	"IM"
"ypdH"	"b2387"	"P"
"glk"	"b2388"	"C"
"yfeO"	"b2389"	"IM"
"ypeC"	"b2390"	"P"
"mntH"	"b2392"	"IM"
"nupC"	"b2393"	"IM"
"yfeA"	"b2395"	"IM"
"yfeC"	"b2398"	"C"
"yfeD"	"b2399"	"C"
"gltX"	"b2400"	"C"
		"C"
"yfeR"	"b2409"	"C"
"yfeH"	"b2410"	"IM"
"ypeB"	"b4546"	"C"
"ligA"	"b2411"	"C"
"zipA"	"b2412"	"IM"
"cysZ"	"b2413"	"IM"
"cysK"	"b2414"	"C"
"ptsH"	"b2415"	"C"
"ptsI"	"b2416"	"C"
"crr"	"b2417"	"C"
"pdxK"	"b2418"	"C"
"yfeK"	"b2419"	"C"
"yfeS"	"b2420"	"C"
"cysM"	"b2421"	"C"
"cysA"	"b2422"	"C"
"cysW"	"b2423"	"IM"
"cysU"	"b2424"	"IM"
"cysP"	"b2425"	"P"
"ucpA"	"b2426"	"C"
"yfeT"	"b2427"	"C"
"yfeU"	"b2428"	"C"
"yfeV"	"b2429"	"IM"
"yfeW"	"b2430"	"IM"
"yfeX"	"b2431"	"C"
"yfeY"	"b2432"	"P"
"yfeZ"	"b2433"	"IM"
"ypeA"	"b2434"	"C"
"amiA"	"b2435"	"E"
"hemF"	"b2436"	"C"
"yfeG"	"b2437"	"C"
"yffI"	"b2438"	"C"
"eutL"	"b2439"	"C"
"eutC"	"b2440"	"C"
"eutB"	"b2441"	"C"
"eutA"	"b2451"	"C"
"eutH"	"b2452"	"IM"
"eutG"	"b2453"	"C"
"eutJ"	"b2454"	"C"
"eutE"	"b2455"	"C"
"cchB"	"b2456"	"C"
"cchA"	"b2457"	"C"
"eutI"	"b2458"	"C"
"eutT"	"b2459"	"C"
"eutQ"	"b2460"	"C"
"eutP"	"b2461"	"C"
"ypfE"	"b2462"	"C"
"maeB"	"b2463"	"C"
"talA"	"b2464"	"C"
"tktB"	"b2465"	"C"
"ypfG"	"b2466"	"P"
"yffH"	"b2467"	"C"
"aegA"	"b2468"	"C"
"narQ"	"b2469"	"IM"
"acrD"	"b2470"	"IM"
"yffB"	"b2471"	"C"
"dapE"	"b2472"	"C"
	"b4547"	"IM"
"ypfH"	"b2473"	"C"
"ypfI"	"b2474"	"C"
"ypfJ"	"b2475"	"IM"
"purC"	"b2476"	"C"
"nlpB"	"b2477"	"OM"
"dapA"	"b2478"	"C"
"gcvR"	"b2479"	"C"
"bcp"	"b2480"	"C"
"hyfA"	"b2481"	"IM"
"hyfB"	"b2482"	"IM"
"hyfD"	"b2484"	"IM"
"hyfE"	"b2485"	"IM"
"hyfF"	"b2486"	"IM"
"hyfG"	"b2487"	"IM"
"hyfH"	"b2488"	"IM"
"hyfI"	"b2489"	"P"
"hyfJ"	"b2490"	"C"
"hyfR"	"b2491"	"C"
"focB"	"b2492"	"IM"
"perM"	"b2493"	"IM"
"yfgC"	"b2494"	"OM"
"yfgD"	"b2495"	"C"
"hda"	"b2496"	"C"
"uraA"	"b2497"	"IM"
"upp"	"b2498"	"C"
"purM"	"b2499"	"C"
"purN"	"b2500"	"C"
"ppk"	"b2501"	"C"
"ppx"	"b2502"	"C"
"yfgF"	"b2503"	"IM"
"yfgG"	"b2504"	"IM"
"yfgH"	"b2505"	"OM"
"yfgI"	"b2506"	"P"
"guaA"	"b2507"	"C"
"guaB"	"b2508"	"C"
"xseA"	"b2509"	"C"
"yfgJ"	"b2510"	"C"
"yfgK"	"b2511"	"C"
"yfgL"	"b2512"	"IM"
"yfgM"	"b2513"	"IM"
"hisS"	"b2514"	"C"
"ispG"	"b2515"	"C"
"yfgA"	"b2516"	"C"
"yfgB"	"b2517"	"C"
"ndk"	"b2518"	"C"
"pbpC"	"b2519"	"IM"
"yfhM"	"b2520"	"IM"
"sseA"	"b2521"	"C"
"sseB"	"b2522"	"C"
"pepB"	"b2523"	"C"
"yfhJ"	"b2524"	"C"
"fdx"	"b2525"	"C"
"hscA"	"b2526"	"C"
"hscB"	"b2527"	"C"
"iscA"	"b2528"	"C"
"iscU"	"b2529"	"C"
"iscS"	"b2530"	"C"
"iscR"	"b2531"	"C"
"yfhQ"	"b2532"	"C"
"suhB"	"b2533"	"C"
"yfhR"	"b2534"	"IM"
"csiE"	"b2535"	"C"
"hcaT"	"b2536"	"IM"
"hcaR"	"b2537"	"C"
"hcaE"	"b2538"	"C"
"hcaF"	"b2539"	"C"
"hcaC"	"b2540"	"C"
"hcaB"	"b2541"	"C"
"hcaD"	"b2542"	"C"
"yphA"	"b2543"	"IM"
"yphB"	"b2544"	"C"
"yphC"	"b2545"	"C"
"yphD"	"b2546"	"IM"
"yphE"	"b2547"	"IM"
"yphF"	"b2548"	"P"
"yphG"	"b2549"	"C"
"yphH"	"b2550"	"C"
"glyA"	"b2551"	"C"
"hmpA"	"b2552"	"C"
"glnB"	"b2553"	"C"
"yfhA"	"b2554"	"C"
"yfhG"	"b2555"	"IM"
"yfhK"	"b2556"	"IM"
"purL"	"b2557"	"C"
"insA-19"		"C"
"insB-19"		"C"
"tadA"	"b2559"	"C"
"yfhB"	"b2560"	"IM"
"yfhH"	"b2561"	"C"
"yfhL"	"b2562"	"C"
"acpS"	"b2563"	"C"
"pdxJ"	"b2564"	"C"
"recO"	"b2565"	"C"
"era"	"b2566"	"C"
"rncS"	"b2567"	"C"
"lepB"	"b2568"	"IM"
"lepA"	"b2569"	"C"
"rseC"	"b2570"	"C"
"rseB"	"b2571"	"OM"
"rseA"	"b2572"	"C"
"rpoE"	"b2573"	"C"
"nadB"	"b2574"	"C"
"yfiC"	"b2575"	"C"
"srmB"	"b2576"	"C"
"yfiE"	"b2577"	"C"
"yfiK"	"b2578"	"IM"
"yfiD"	"b2579"	"C"
"ung"	"b2580"	"C"
"yfiF"	"b2581"	"C"
"trxC"	"b2582"	"IM"
"yfiP"	"b2583"	"C"
"yfiQ"	"b2584"	"C"
"pssA"	"b2585"	"C"
"yfiM"	"b2586"	"C"
"kgtP"	"b2587"	"IM"
"clpB"	"b2592"	"C"
"yfiH"	"b2593"	"C"
"rluD"	"b2594"	"C"
"yfiO"	"b2595"	"OM"
"yfiA"	"b2597"	"C"
"pheL"	"b2598"	"C"
"pheA"	"b2599"	"C"
"tyrA"	"b2600"	"C"
"aroF"	"b2601"	"C"
"yfiL"	"b2602"	"C"
"yfiR"	"b2603"	"C"
"yfiN"	"b2604"	"IM"
"yfiB"	"b2605"	"OM"
"rplS"	"b2606"	"C"
"trmD"	"b2607"	"C"
"rimM"	"b2608"	"C"
"rpsP"	"b2609"	"C"
"ffh"	"b2610"	"C"
"ypjD"	"b2611"	"IM"
"yfjD"	"b4461"	"IM"
"grpE"	"b2614"	"C"
"ppnK"	"b2615"	"C"
"recN"	"b2616"	"C"
"smpA"	"b2617"	"OM"
"yfjF"	"b2618"	"C"
"yfjG"	"b2619"	"C"
"smpB"	"b2620"	"C"
		"C"
		"C"
		"C"
		"C"
"insA-20"		"C"
"insB-20"		"C"
"csiD"	"b2659"	"C"
"ygaF"	"b2660"	"C"
"gabD"	"b2661"	"C"
"gabT"	"b2662"	"C"
"gabP"	"b2663"	"IM"
"ygaE"	"b2664"	"C"
"ygaU"	"b2665"	"IM"
"yqaE"	"b2666"	"IM"
"ygaV"	"b2667"	"C"
"ygaP"	"b2668"	"C"
"stpA"	"b2669"	"C"
"ygaW"	"b2670"	"IM"
"ygaC"	"b2671"	"C"
"ygaM"	"b2672"	"C"
"nrdH"	"b2673"	"C"
"nrdI"	"b2674"	"C"
"nrdE"	"b2675"	"C"
"nrdF"	"b2676"	"C"
"proV"	"b2677"	"C"
"proW"	"b2678"	"IM"
"proX"	"b2679"	"P"
"ygaXY"	"b2680-b2681"	"IM"
"ygaZ"	"b2682"	"IM"
"ygaH"	"b2683"	"IM"
"emrR"	"b2684"	"C"
"emrA"	"b2685"	"IM"
"emrB"	"b2686"	"IM"
"ygaG"	"b2687"	"C"
"gshA"	"b2688"	"C"
"yqaA"	"b2689"	"IM"
"yqaB"	"b2690"	"C"
"csrA"	"b2696"	"C"
"alaS"	"b2697"	"C"
"recX"	"b2698"	"C"
"recA"	"b2699"	"C"
"ygaD"	"b2700"	"C"
"mltB"	"b2701"	"OM"
"srlA"	"b2702"	"IM"
"srlE"	"b2703"	"IM"
"srlB"	"b2704"	"C"
"srlD"	"b2705"	"C"
"gutM"	"b2706"	"IM"
"srlR"	"b2707"	"C"
"gutQ"	"b2708"	"C"
"ygaA"	"b2709"	"C"
"norV"	"b2710"	"C"
"ygbD"	"b2711"	"C"
"hypF"		"C"
"hydN"	"b2713"	"IM"
"ascG"	"b2714"	"C"
"ascF"	"b2715"	"IM"
"ascB"	"b2716"	"C"
"hycI"	"b2717"	"C"
"hycH"	"b2718"	"C"
"hycG"	"b2719"	"P"
"hycF"	"b2720"	"P"
"hycE"	"b2721"	"IM"
"hycD"	"b2722"	"IM"
"hycC"	"b2723"	"IM"
"hycB"	"b2724"	"IM"
"hycA"	"b2725"	"C"
"hypA"	"b2726"	"C"
"hypB"	"b2727"	"C"
"hypC"	"b2728"	"C"
"hypD"	"b2729"	"C"
"hypE"	"b2730"	"C"
"fhlA"	"b2731"	"C"
"ygbA"	"b2732"	"C"
"mutS"	"b2733"	"C"
"pphB"	"b2734"	"C"
"ygbI"	"b2735"	"C"
"ygbJ"	"b2736"	"C"
"ygbK"	"b2737"	"C"
"ygbL"	"b2738"	"C"
"ygbM"	"b2739"	"C"
"ygbN"	"b2740"	"IM"
"rpoS"	"b2741"	"C"
"nlpD"	"b2742"	"E"
"pcm"	"b2743"	"C"
"surE"	"b2744"	"C"
"ygbO"	"b2745"	"C"
"ispF"	"b2746"	"C"
"ispD"	"b2747"	"C"
"ftsB"	"b2748"	"IM"
"ygbE"	"b2749"	"IM"
"cysC"	"b2750"	"C"
"cysN"	"b2751"	"C"
"cysD"	"b2752"	"C"
"iap"	"b2753"	"E"
"insL-5"		"C"
"insK-3"		"C"
"insJ-3"		"C"
"cysH"	"b2762"	"C"
"cysI"	"b2763"	"C"
"cysJ"	"b2764"	"C"
"ygcM"	"b2765"	"C"
"ygcN"	"b2766"	"C"
"ygcO"	"b2767"	"C"
"ygcP"	"b2768"	"C"
"ygcQ"	"b2769"	"C"
"ygcR"	"b2770"	"C"
"ygcS"	"b2771"	"IM"
"ygcU"	"b4463"	"C"
"ygcW"	"b2774"	"C"
"yqcE"	"b2775"	"IM"
"ygcE"	"b2776"	"C"
		"C"
"ygcF"	"b2777"	"C"
"ygcG"	"b2778"	"IM"
"eno"	"b2779"	"C"
"pyrG"	"b2780"	"C"
"mazG"	"b2781"	"C"
"chpA"	"b2782"	"C"
"chpR"	"b2783"	"C"
"relA"	"b2784"	"C"
"rumA"	"b2785"	"C"
"barA"	"b2786"	"IM"
"gudD"	"b2787"	"C"
"gudX"	"b2788"	"C"
"gudP"	"b2789"	"IM"
"yqcA"	"b2790"	"C"
"yqcB"	"b2791"	"C"
"yqcC"	"b2792"	"C"
"syd"	"b2793"	"C"
"yqcD"	"b2794"	"C"
"ygdH"	"b2795"	"C"
"sdaC"	"b2796"	"IM"
"sdaB"	"b2797"	"C"
"xni"	"b2798"	"C"
"fucO"	"b2799"	"C"
"insB-21"		"C"
"insA-21"		"C"
		"C"
		"C"
		"P"
		"IM"
		"IM"
"fucI"	"b2802"	"C"
"fucK"	"b2803"	"C"
"fucU"	"b2804"	"C"
"fucR"	"b2805"	"C"
"ygdE"	"b2806"	"C"
"ygdD"	"b2807"	"IM"
"gcvA"	"b2808"	"C"
"ygdI"	"b2809"	"IM"
"csdA"	"b2810"	"C"
"ygdK"	"b2811"	"C"
"ygdL"	"b2812"	"C"
"mltA"	"b2813"	"OM"
"amiC"	"b2817"	"E"
"argA"	"b2818"	"C"
"recD"	"b2819"	"C"
"recB"	"b2820"	"C"
"ptr"	"b2821"	"P"
"recC"	"b2822"	"C"
"ppdC"	"b2823"	"IM"
"ygdB"	"b2824"	"IM"
"ppdB"	"b2825"	"IM"
"ppdA"	"b2826"	"IM"
"thyA"	"b2827"	"C"
"lgt"	"b2828"	"IM"
"ptsP"	"b2829"	"C"
"ygdP"	"b2830"	"C"
"mutH"	"b2831"	"C"
"ygdQ"	"b2832"	"IM"
"ygdR"	"b2833"	"IM"
"tas"	"b2834"	"C"
"ygeD"	"b2835"	"IM"
"aas"	"b2836"	"IM"
"galR"	"b2837"	"C"
"lysA"	"b2838"	"C"
"lysR"	"b2839"	"C"
"ygeA"	"b2840"	"C"
