"Name"	"Blattner number"	"Location E coli B"
"yahK"	"b0325"	"C"
"yahL"	"b0326"	"C"
"yahM"	"b0327"	"C"
"yahN"	"b0328"	"IM"
"yahO"	"b0329"	"P"
"prpR"	"b0330"	"C"
"prpB"	"b0331"	"C"
"prpC"	"b0333"	"C"
"prpD"	"b0334"	"C"
"prpE"	"b0335"	"C"
"codB"	"b0336"	"IM"
"codA"	"b0337"	"C"
"cynR"	"b0338"	"C"
"cynT"	"b0339"	"C"
"cynS"	"b0340"	"C"
"cynX"	"b0341"	"IM"
"lacA"	"b0342"	"C"
"lacY"	"b0343"	"IM"
"lacZ"	"b0344"	"C"
"lacI"	"b0345"	"IM"
"mhpR"	"b0346"	"C"
"mhpA"	"b0347"	"C"
"mhpB"	"b0348"	"C"
"mhpC"	"b0349"	"C"
"mhpD"	"b0350"	"C"
"mhpF"	"b0351"	"C"
"mhpE"	"b0352"	"C"
"mhpT"	"b0353"	"IM"
"yaiL"	"b0354"	"C"
"frmB"	"b0355"	"C"
"frmA"	"b0356"	"C"
"frmR"	"b0357"	"C"
"yaiO"	"b0358"	"P"
"insB-4"		"C"
"insA-4"		"C"
"tauA"	"b0365"	"P"
"tauB"	"b0366"	"C"
"tauC"	"b0367"	"IM"
"tauD"	"b0368"	"C"
"hemB"	"b0369"	"C"
	"b0370"	"C"
"yaiT"	"b0371-b0374"	"OM"
"yaiV"	"b0375"	"C"
"ampH"	"b0376"	"P"
"sbmA"	"b0377"	"IM"
"yaiW"	"b0378"	"P"
"yaiY"	"b0379"	"IM"
"yaiZ"	"b0380"	"IM"
"ddlA"	"b0381"	"C"
"yaiB"	"b0382"	"C"
"phoA"	"b0383"	"P"
"psiF"	"b0384"	"P"
"yaiC"	"b0385"	"IM"
"proC"	"b0386"	"C"
"yaiI"	"b0387"	"C"
"aroL"	"b0388"	"C"
"yaiA"	"b0389"	"C"
"aroM"	"b0390"	"C"
"yaiE"	"b0391"	"C"
"ykiA"	"b0392"	"C"
"insB-5"		"C"
"insA-5"		"C"
"rdgC"	"b0393"	"C"
"yajF"	"b0394"	"C"
"araJ"	"b0396"	"IM"
"sbcC"	"b0397"	"C"
"sbcD"	"b0398"	"C"
"phoB"	"b0399"	"C"
"phoR"	"b0400"	"IM"
"brnQ"	"b0401"	"IM"
"proY"	"b0402"	"IM"
"malZ"	"b0403"	"C"
"queA"	"b0405"	"C"
"tgt"	"b0406"	"C"
"yajC"	"b0407"	"IM"
"secD"	"b0408"	"IM"
"secF"	"b0409"	"IM"
"yajD"	"b0410"	"C"
"tsx"	"b0411"	"OM"
"yajI"	"b0412"	"OM"
"ybaD"	"b0413"	"C"
"ribD"	"b0414"	"C"
"ribH"	"b0415"	"C"
"nusB"	"b0416"	"C"
"thiL"	"b0417"	"C"
"pgpA"	"b0418"	"IM"
"yajO"	"b0419"	"C"
"dxs"	"b0420"	"C"
"ispA"	"b0421"	"C"
"xseB"	"b0422"	"C"
"thiI"	"b0423"	"C"
"thiJ"	"b0424"	"C"
"apbA"	"b0425"	"C"
"yajQ"	"b0426"	"C"
"yajR"	"b0427"	"IM"
		"P"
		"C"
		"C"
"cyoE"	"b0428"	"IM"
"cyoD"	"b0429"	"IM"
"cyoC"	"b0430"	"IM"
"cyoB"	"b0431"	"IM"
"cyoA"	"b0432"	"IM"
"ampG"	"b0433"	"IM"
"yajG"	"b0434"	"P"
"bolA"	"b0435"	"C"
"tig"	"b0436"	"C"
"clpP"	"b0437"	"C"
"clpX"	"b0438"	"C"
"insL-2"		"C"
"lon"	"b0439"	"C"
"hupB"	"b0440"	"C"
"ppiD"	"b0441"	"P"
"ybaV"	"b0442"	"P"
"ybaW"	"b0443"	"C"
"ybaX"	"b0444"	"C"
"ybaE"	"b0445"	"P"
"cof"	"b0446"	"C"
"ybaO"	"b0447"	"C"
"mdlA"	"b0448"	"IM"
"mdlB"	"b0449"	"IM"
"glnK"	"b0450"	"C"
"amtB"	"b0451"	"IM"
"tesB"	"b0452"	"C"
"ybaY"	"b0453"	"P"
"ybaZ"	"b0454"	"C"
"ybaA"	"b0456"	"C"
"ylaB"	"b0457"	"IM"
"ylaC"	"b0458"	"IM"
"maa"	"b0459"	"C"
"hha"	"b0460"	"C"
"ybaJ"	"b0461"	"C"
"acrB"	"b0462"	"IM"
"acrA"	"b0463"	"IM"
"acrR"	"b0464"	"C"
"kefA"	"b0465"	"IM"
"ybaM"	"b0466"	"C"
"priC"	"b0467"	"C"
"ybaN"	"b0468"	"IM"
"apt"	"b0469"	"C"
"dnaX"	"b0470"	"C"
"ybaB"	"b0471"	"C"
"recR"	"b0472"	"C"
"htpG"	"b0473"	"C"
"adk"	"b0474"	"C"
"hemH"	"b0475"	"C"
"aes"	"b0476"	"C"
"gsk"	"b0477"	"C"
"ybaL"	"b0478"	"IM"
"fsr"	"b0479"	"IM"
"ushA"	"b0480"	"P"
"ybaK"	"b0481"	"C"
"ybaP"	"b0482"	"C"
"ybaQ"	"b0483"	"C"
"copA"	"b0484"	"IM"
"ybaS"	"b0485"	"C"
"ybaT"	"b0486"	"IM"
"cueR"	"b0487"	"C"
"ybbJ"	"b0488"	"IM"
"ybbK"	"b0489"	"C"
"ybbL"	"b0490"	"IM"
"ybbM"	"b0491"	"IM"
"ybbN"	"b0492"	"C"
"ybbO"	"b0493"	"C"
"tesA"	"b0494"	"P"
"ybbA"	"b0495"	"C"
"ybbP"	"b0496"	"IM"
"rhsD"	"b0497"	"OM"
"ybbC"	"b0498"	"P"
"ylbH"	"b0499"	"C"
"ybbD"	"b0500"	"IM"
"ylbG"	"b0502"	"C"
"ybbB"	"b0503"	"C"
"ybbS"	"b0504"	"C"
"allA"	"b0505"	"C"
"allR"	"b0506"	"C"
"gcl"	"b0507"	"C"
"hyi"	"b0508"	"C"
"glxR"	"b0509"	"C"
"ybbV"	"b0510"	"IM"
"allP"	"b0511"	"IM"
"allB"	"b0512"	"C"
"ybbY"	"b0513"	"IM"
"glxK"	"b0514"	"C"
"ylbA"	"b0515"	"C"
"allC"	"b0516"	"C"
"allD"	"b0517"	"C"
"fdrA"	"b0518"	"C"
"ylbE"	"b4507-b0519(b4582)"	"C"
"ylbF"	"b0520"	"C"
"arcC"	"b0521"	"C"
"purK"	"b0522"	"C"
"purE"	"b0523"	"C"
"ybbF"	"b0524"	"C"
"ppiB"	"b0525"	"C"
"cysS"	"b0526"	"C"
"ybcI"	"b0527"	"IM"
"ybcJ"	"b0528"	"C"
"folD"	"b0529"	"C"
"sfmA"	"b0530"	"E"
"sfmC"	"b0531"	"P"
"sfmD"	"b0532"	"OM"
"sfmH"	"b0533"	"F"
"sfmF"	"b0534"	"E"
"fimZ"	"b0535"	"C"
"intD"	"b0537"	"C"
		"C"
		"C"
		"C"
		"C"
"renD"	"b0542"	"C"
"emrE"	"b0543"	"IM"
"ybcK"	"b0544"	"C"
"ybcL"	"b0545"	"P"
"ybcM"	"b0546"	"C"
"ybcN"	"b0547"	"C"
"ninE"	"b0548"	"C"
"ybcO"	"b0549"	"C"
"rus"	"b0550"	"C"
"ylcG"	"b4509"	"C"
"ybcQ"	"b0551"	"C"
"insB-6"		"C"
"insA-6"		"C"
"ybcR"	"b0554"	"IM"
"ybcS"	"b0555"	"IM"
"ybcT"	"b0556"	"IM"
"ybcU"	"b0557"	"IM"
		"C"
"nohB"	"b0560"	"C"
		"C"
		"C"
		"C"
		"C"
		"IM"
		"C"
"appY"	"b0564"	"C"
"ompT"	"b0565"	"OM"
"envY"	"b0566"	"C"
"ybcH"	"b0567"	"P"
"nfrA"	"b0568"	"OM"
		"C"
"yhhI-2"	"b3484"	"C"
		"C"
		"C"
		"C"
		"C"
		"C"
"cusS"	"b0570"	"IM"
"cusR"	"b0571"	"C"
"cusC"	"b0572"	"OM"
"ylcC"	"b0573"	"P"
"cusB"	"b0574"	"IM"
"cusA"	"b0575"	"IM"
"pheP"	"b0576"	"IM"
"ybdG"	"b0577"	"IM"
"nfnB"	"b0578"	"C"
"ybdF"	"b0579"	"C"
"ybdJ"	"b0580"	"IM"
"ybdK"	"b0581"	"C"
"insJ-1"		"C"
"insB-7"		"C"
"insA-7"		"C"
"hokE"	"b4415"	"IM"
"insL-3"		"C"
"entD"	"b0583"	"C"
"fepA"	"b0584"	"OM"
"fes"	"b0585"	"C"
"ybdZ"	"b4511"	"C"
"entF"	"b0586"	"C"
"fepE"	"b0587"	"IM"
"fepC"	"b0588"	"C"
"fepG"	"b0589"	"IM"
"fepD"	"b0590"	"IM"
"ybdA"	"b0591"	"IM"
"fepB"	"b0592"	"P"
"entC"	"b0593"	"C"
"entE"	"b0594"	"C"
"entB"	"b0595"	"C"
"entA"	"b0596"	"C"
"ybdB"	"b0597"	"C"
"ybdD"	"b4512"	"C"
"ybdH"	"b0599"	"C"
"ybdL"	"b0600"	"C"
"ybdM"	"b0601"	"C"
"ybdN"	"b0602"	"C"
"insB-8"		"C"
"insA-8"		"C"
"dsbG"	"b0604"	"P"
"ahpC"	"b0605"	"C"
"ahpF"	"b0606"	"C"
"ybdQ"	"b0607"	"C"
"ybdR"	"b0608"	"C"
"rnk"	"b0610"	"C"
"rna"	"b0611"	"P"
"citT"	"b0612"	"IM"
"citG"	"b0613"	"C"
"citX"	"b0614"	"C"
"citF"	"b0615"	"C"
"citE"	"b0616"	"C"
"citD"	"b0617"	"C"
"citC"	"b0618"	"C"
"insB-9"		"C"
"insA-9"		"C"
"citA"	"b0619"	"IM"
"citB"	"b0620"	"C"
"dcuC"	"b0621"	"IM"
"crcA"	"b0622"	"OM"
"cspE"	"b0623"	"C"
"ccrB"	"b0624"	"IM"
"ybeM"	"b0625-b0626"	"C"
"tatE"	"b0627"	"C"
"lipA"	"b0628"	"C"
"ybeF"	"b0629"	"C"
"lipB"	"b0630"	"C"
"ybeD"	"b0631"	"C"
"dacA"	"b0632"	"IM"
"rlpA"	"b0633"	"OM"
"mrdB"	"b0634"	"IM"
"mrdA"	"b0635"	"IM"
"ybeA"	"b0636"	"C"
"ybeB"	"b0637"	"C"
"phpB"	"b0638"	"C"
"nadD"	"b0639"	"C"
"holA"	"b0640"	"C"
"rlpB"	"b0641"	"OM"
"leuS"	"b0642"	"C"
"ybeL"	"b0643"	"C"
"ybeR"	"b0645"	"C"
"ybeV"	"b0649"	"C"
"hscC"	"b0650"	"C"
"rihA"	"b0651"	"C"
"insJ-2"		"C"
"insK-2"		"C"
"gltK"	"b0653"	"IM"
"gltJ"	"b0654"	"IM"
"gltI"	"b0655"	"P"
		"IM"
"lnt"	"b0657"	"IM"
"ybeX"	"b0658"	"C"
"ybeY"	"b0659"	"C"
"ybeZ"	"b0660"	"C"
"yleA"	"b0661"	"C"
"ubiF"	"b0662"	"C"
"asnB"	"b0674"	"C"
"nagD"	"b0675"	"C"
"nagC"	"b0676"	"C"
"nagA"	"b0677"	"C"
"nagB"	"b0678"	"C"
"nagE"	"b0679"	"IM"
"glnS"	"b0680"	"C"
"ybfM"	"b0681"	"OM"
"ybfN"	"b0682"	"P"
"fur"	"b0683"	"C"
"fldA"	"b0684"	"C"
"ybfE"	"b0685"	"C"
"ybfF"	"b0686"	"C"
"seqA"	"b0687"	"C"
"pgm"	"b0688"	"C"
"ybfP"	"b0689"	"P"
"ybfGH"	"b0690-b0691"	"C"
"potE"	"b0692"	"IM"
"speF"	"b0693"	"C"
		"C"
"kdpE"	"b0694"	"C"
"kdpD"	"b0695"	"IM"
"kdpC"	"b0696"	"IM"
"kdpB"	"b0697"	"IM"
"kdpA"	"b0698"	"IM"
"kdpF"	"b4513"	"IM"
"ybfA"	"b0699"	"IM"
"rhsC"	"b0700"	"C"
"ybfB"	"b0702"	"IM"
"ybfO"	"b0703"	"C"
"ybfC"	"b0704"	"P"
		"C"
		"C"
		"C"
"ybfD"	"b0706"	"C"
"ybgA"	"b0707"	"C"
"phrB"	"b0708"	"C"
"ybgH"	"b0709"	"IM"
"ybgI"	"b0710"	"C"
"ybgJ"	"b0711"	"C"
"ybgK"	"b0712"	"C"
"ybgL"	"b0713"	"C"
"nei"	"b0714"	"C"
"abrB"	"b0715"	"IM"
"ybgO"	"b0716"	"IM"
"ybgP"	"b0717"	"P"
"ybgQ"	"b0718"	"OM"
"ybgD"	"b0719"	"E"
"gltA"	"b0720"	"C"
"sdhC"	"b0721"	"IM"
"sdhD"	"b0722"	"IM"
"sdhA"	"b0723"	"C"
"sdhB"	"b0724"	"IM"
"sucA"	"b0726"	"C"
"sucB"	"b0727"	"C"
"sucC"	"b0728"	"C"
"sucD"	"b0729"	"C"
"farR"	"b0730"	"C"
"hrsA"	"b0731"	"IM"
"ybgG"	"b0732"	"C"
"cydA"	"b0733"	"IM"
"cydB"	"b0734"	"IM"
"ybgT"	"b4515"	"IM"
"ybgE"	"b0735"	"IM"
"ybgC"	"b0736"	"C"
"tolQ"	"b0737"	"IM"
"tolR"	"b0738"	"IM"
"tolA"	"b0739"	"IM"
"tolB"	"b0740"	"P"
"pal"	"b0741"	"OM"
"ybgF"	"b0742"	"P"
"nadA"	"b0750"	"C"
"pnuC"	"b0751"	"IM"
"ybgR"	"b0752"	"IM"
"ybgS"	"b0753"	"OM"
"aroG"	"b0754"	"C"
"gpmA"	"b0755"	"C"
"galM"	"b0756"	"P"
"galK"	"b0757"	"C"
"galT"	"b0758"	"C"
"galE"	"b0759"	"C"
"modF"	"b0760"	"IM"
"modE"	"b0761"	"C"
"ybhT"	"b0762"	"IM"
"modA"	"b0763"	"P"
"modB"	"b0764"	"IM"
"modC"	"b0765"	"C"
"ybhA"	"b0766"	"C"
"ybhE"	"b0767"	"C"
"ybhD"	"b0768"	"C"
"ybhH"	"b0769"	"C"
"ybhI"	"b0770"	"IM"
"ybhJ"	"b0771"	"C"
"ybhC"	"b0772"	"E"
		"C"
		"C"
		"C"
		"C"
		"IM"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"IM"
		"C"
		"IM"
"ybhB"	"b0773"	"C"
"bioA"	"b0774"	"C"
"bioB"	"b0775"	"C"
"bioF"	"b0776"	"C"
"bioC"	"b0777"	"C"
"bioD"	"b0778"	"C"
"uvrB"	"b0779"	"C"
"ybhK"	"b0780"	"C"
"moaA"	"b0781"	"C"
"moaB"	"b0782"	"C"
"moaC"	"b0783"	"C"
"moaD"	"b0784"	"C"
"moaE"	"b0785"	"C"
"ybhL"	"b0786"	"IM"
"ybhM"	"b0787"	"IM"
"ybhN"	"b0788"	"IM"
"ybhO"	"b0789"	"C"
"ybhP"	"b0790"	"C"
"ybhQ"	"b0791"	"IM"
"ybhR"	"b0792"	"IM"
"ybhS"	"b0793"	"IM"
"ybhF"	"b0794"	"C"
"ybhG"	"b0795"	"IM"
"ybiH"	"b0796"	"C"
"rhlE"	"b0797"	"C"
"ybiA"	"b0798"	"C"
"dinG"	"b0799"	"C"
"ybiB"	"b0800"	"C"
"ybiC"	"b0801"	"C"
"ybiJ"	"b0802"	"P"
"ybiI"	"b0803"	"C"
"ybiX"	"b0804"	"C"
"ybiL"	"b0805"	"OM"
"ybiM"	"b0806"	"P"
"ybiN"	"b0807"	"C"
"ybiO"	"b0808"	"IM"
"glnQ"	"b0809"	"C"
"glnP"	"b0810"	"IM"
"glnH"	"b0811"	"P"
"dps"		"C"
"ybiF"	"b0813"	"IM"
"ompX"	"b0814"	"OM"
"ybiP"	"b0815"	"IM"
	"b0816"	"C"
