"kch"	"EG11606"		"b1250"	"ECK1244"
"aqpZ"	"EG13270"	("bniP")	"b0875"	"ECK0866"
"glpF"	"EG10396"		"b3927"	"ECK3919"
"mscK"	"G6255"	("aefA" "kefA")	"b0465"	"ECK0459"
"mscL"	"EG11180"	("yhdC")	"b3291"	"ECK3277"
"mscS"	"EG11160"	("yggB")	"b2924"	"ECK2920"
"clcA"	"EG12331"	("eriC" "yadQ")	"b0155"	"ECK0154"
"motB"	"EG10602"	("flaJ")	"b1889"	"ECK1890"
"motA"	"EG10601"	("flaJ")	"b1890"	"ECK1891"
"kdpF"	"G0-10439"		"b4513"	"ECK0687"
"mgtA"	"EG12525"	("atmA" "corB" "mgt" "mtg")	"b4242"	"ECK4237"
"kdpC"	"EG10515"	("kac")	"b0696"	"ECK0684"
"kdpA"	"EG10513"	("kac")	"b0698"	"ECK0686"
"zntA"	"EG12215"	("yhhO")	"b3469"	"ECK3453"
"kdpB"	"EG10514"	("kac")	"b0697"	"ECK0685"
"copA"	"G6260"	("ybaR")	"b0484"	"ECK0478"
"secD"	"EG10938"		"b0408"	"ECK0402"
"yajC"	"EG11096"		"b0407"	"ECK0401"
"secF"	"EG10940"		"b0409"	"ECK0403"
"secE"	"EG10939"	("mbrC" "prlG")	"b3981"	"ECK3972"
"secA"	"EG10936"	("azi" "pea" "prlD")	"b0098"	"ECK0099"
"ffh"	"EG10300"		"b2610"	"ECK2607"
"ftsY"	"EG10346"		"b3464"	"ECK3448"
"hofQ"	"EG12113"	("hopQ")	"b3391"	"ECK3378"
"secY"	"EG10766"	("prlA")	"b3300"	"ECK3287"
"secB"	"EG10937"		"b3609"	"ECK3599"
"secG"	"EG12095"	("prlH")	"b3175"	"ECK3164"
"atpD"	"EG10101"	("papB" "uncD")	"b3732"	"ECK3725"
"atpH"	"EG10105"	("papE" "uncH")	"b3735"	"ECK3728"
"atpI"	"EG10106"	("uncI")	"b3739"	"ECK3732"
"atpA"	"EG10098"	("papA" "uncA")	"b3734"	"ECK3727"
"atpE"	"EG10102"	("papH" "uncE")	"b3737"	"ECK3730"
"atpF"	"EG10103"	("papF" "uncF")	"b3736"	"ECK3729"
"atpG"	"EG10104"	("papC" "uncG")	"b3733"	"ECK3726"
"atpC"	"EG10100"	("papG" "uncC")	"b3731"	"ECK3724"
"atpB"	"EG10099"	("papD" "uncB")	"b3738"	"ECK3731"
"afuC"	"EG12340"	("fbpC" "yagC")	"b0262"	"ECK0264"
"lptG"	"G7889"	("yjgQ")	"b4262"	"ECK4255"
"ybbP"	"G6270"		"b0496"	"ECK0490"
"yojI"	"EG12070"	("yojJ")	"b2211"	"ECK2203"
"msbA"	"EG10613"		"b0914"	"ECK0905"
"sbmA"	"EG10928"		"b0377"	"ECK0372"
"macB"	"G6462"	("ybjZ")	"b0879"	"ECK0870"
"mdlB"	"EG11622"	("mdl")	"b0449"	"ECK0443"
"cydD"	"EG11405"	("htrD")	"b0887"	"ECK0878"
"yddA"	"EG11742"		"b1496"	"ECK1490"
"cydC"	"EG10012"	("mdrA" "mdrH" "surB" "ycaB")	"b0886"	"ECK0877"
"yehX"	"EG12010"		"b2129"	"ECK2122"
"ccmA"	"EG12059"	("yejW")	"b2201"	"ECK2193"
"lolD"	"G6574"	("ycfV")	"b1117"	"ECK1103"
"alsA"	"EG11959"	("yjcW")	"b4087"	"ECK4080"
"thiQ"	"EG11572"	("sfuC" "yabJ")	"b0066"	"ECK0067"
