asr	TU0-1701	(PM0-1881)	(TERM041)	(G6855)
astCADBE	TU0-1003	(PM0-1163)		(G6940 G6941 G6942 G6943 G6944)
astCADBE	TU0-1002	(PM0-1162)		(G6940 G6941 G6942 G6943 G6944)
astCADBE	TU0-1004	(PM0-1164)		(G6940 G6941 G6942 G6943 G6944)
astE	TU0-41850	(PM0-45065)		(G6940)
atoDAEB	TU00114	(PM00155)		(EG11672 EG11669 EG11670 EG11671)
atoSC	TU0-13562			(EG11668 EG11667)
atpBEFHAGDC	TU0-6635	(PM00472)	(TERM70)	(EG10100 EG10101 EG10104 EG10098 EG10105 EG10103 EG10102 EG10099)
atpBEFHAGDC	TU0-6636	(PM00471)	(TERM70)	(EG10100 EG10101 EG10104 EG10098 EG10105 EG10103 EG10102 EG10099)
atpC	TU0-42328	(PM0-45901)	(TERM70)	(EG10100)
atpIBEFHAGDC	TU00243	(PM00473)	(TERM70)	(EG10100 EG10101 EG10104 EG10098 EG10105 EG10103 EG10102 EG10099 EG10106)
avtA	TU0-13984	(PM0-10149)		(EG10107)
azoR	TU0-41764	(PM0-44906)		(G6731)
azoR	TU0-41763	(PM0-44905)		(G6731)
azoR	TU0-42461	(PM0-46157)		(G6731)
azoR	TU0-8771	(PM0-44904)		(G6731)
azuC	TU0-14767	(PM0-10449)		(G0-10653)
bacA	TU0-3425	(PM0-3625)		(EG11665)
baeSR	TU00244			(EG11617 EG11618)
bamA	TU0-4204	(PM0-4444)		(G6093)
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	TU0-8373	(PM0-8756)		(EG10238 EG10861 EG10546 EG10545 EG11284 EG10316 EG10455 G6093)
bamB-der	TU-8385	(PM-8768)		(G7319 G7320)
bamC	TU0-4161	(PM0-4401)	(TERM0161)	(EG10658)
bamD	TU-8391	(PM-8774)		(G7352)
bamD	TU0-4221	(PM0-4461)		(G7352)
barA	TU0-8337			(EG11367)
basRS	TU00245			(EG11614 EG11615)
basS	TU0-42389	(PM0-46011)		(EG11614)
bax	TU0-14231	(PM0-45844)		(EG11360)
bax	TU0-42293	(PM0-45845)		(EG11360)
bcp	TU0-6483	(PM325)		(EG10108)
bcr	TU0-13554			(EG11419)
bcsABZC	TU0-8365			(EG12257 EG12258 EG12259 EG12260)
bcsBZ	TU0-8354	(PM0-8735)		(EG12258 EG12259)
bcsEFG	TU0-42284	(PM0-45825)		(EG12264 EG12265 EG12263)
bcsEFG	TU0-13972	(PM0-45824)		(EG12265 EG12264 EG12263)
bcsQ	TU0-8366			(EG12261)
bdcA	TU0-14171	(PM0-10435)		(G7880)
bdcR	TU0-14172	(PM0-46047)		(G7882)
bdm-sra	TU0-7141	(PM0-7481)		(EG11508 G6776)
betA	TU0-41498	(PM0-44448)		(EG10109)
betA	TU0-41497	(PM0-44447)		(EG10109)
betIBA	TU00115	(PM00156)		(EG10109 EG10110 EG10111)
betT	TU00116	(PM00157)		(EG10112)
bfd-bfr	TU0-13914			(EG11181 EG10113)
bfr	TU0-42225	(PM0-45731)		(EG10113)
bglA	TU-8439			(G495)
bglG	TU0-42515	(PM0-5042)	(TERM0344)	(EG10116)
bglGFB	TU0-4802	(PM0-5042)	(TERM0564 TERM0563)	(EG10114 EG10115 EG10116)
bglH-yieLK	TU0-14028			(EG11364 EG11729 EG11728)
bglX	TU0-7501	(PM0-7861)	(TERM0782)	(EG12013)
bhsA	TU0-41672	(PM0-44752)		(G6570)
bhsA	TU0-41673	(PM0-44753)		(G6570)
bioA	TU00013	(PM00015)		(EG10117)
bioBFCD	TU00117	(PM00016)		(EG10118 EG10121 EG10119 EG10120)
bioH	TU0-8772	(PM0-36255)		(EG10122)
bisC	TU0-42288	(PM0-45833)		(EG10124)
bisC	TU0-42287	(PM0-45832)		(EG10124)
bisC	TU0-8773	(PM0-45830)		(EG10124)
bisC	TU0-42286	(PM0-45831)		(EG10124)
blc	TU0-6484	(PM524)		(G7837)
blr	TU0-13351	(PM0-10409)		(G0-9561)
bluF	TU0-42501	(PM0-46215)		(G6603)
bluF	TU0-13159	(PM0-44793)		(G6603)
bluR	TU0-13158	(PM0-10022)		(G6602)
bolA	TU00386	(PM00527)	(BOLA)	(EG10125)
bolA	TU0-14251	(PM0-9325)	(BOLA)	(EG10125)
borD	TU0-7783	(PM0-8163)		(G6312)
brnQ-proY	TU0-12918	(PM0-9977)		(G6233 EG12168)
bsmA	TU0-14156			(G7852)
bssR	TU0-13065	(PM0-44647)		(G6436)
bssS	TU0-14621	(PM0-10017)		(G6557)
bssS	TU0-8352	(PM0-8733)		(G6557)
bssS	TU0-8351	(PM0-8732)		(G6557)
btuB-murI	TU0-6281	(PM00494)		(EG11204 EG10126)
btuCED	TU00246			(EG10128 EG10129 EG10127)
C0067	TU0-12845			(G0-8896)
C0293	TU0-13146			(G0-8897)
C0299	TU0-14329			(G0-8898)
C0362	TU0-14338			(G0-8902)
C0465	TU0-14240			(G0-8903)
C0614	TU0-14236			(G0-8907)
C0664	TU0-14337			(G0-8911)
C0719	TU0-14234			(G0-8912)
cadA	TU0-14513	(PM0-9793)		(EG10131)
cadBA	TU00467	(PM00622)		(EG10131 EG10132)
cadC	TU00118	(PM00159)		(EG10133)
caiCDE	TU0-14529	(PM0-9812)		(EG12608 EG11557 EG11558)
caiE	TU0-41433	(PM0-44344)		(EG12608)
caiE	TU0-41435	(PM0-44346)		(EG12608)
caiE	TU0-41434	(PM0-44345)		(EG12608)
caiF	TU141	(PM338)		(G6088)
caiTABCDE	TU00247	(PM00528)		(EG12608 EG11557 EG11558 EG11559 EG11560 EG11561)
can	TU0-8774	(PM0-9710)		(EG12319)
carAB	TU00110	(PM00151)		(EG10134 EG10135)
carAB	TU00109	(PM00017)		(EG10134 EG10135)
carB	TU0-6884	(PM00319)		(EG10135)
cas3	TU0-13726			(EG12634)
casABCDE12	TU0-13725	(PM0-10544)		(G7430 G7429 G7428 G7427 G7426 G7425 EG12845)
casDE-ygbTF	TU0-14558	(PM0-9859)		(EG12845 G7425 G7426 G7427)
cbl	TU0-1342	(PM326)		(G7071)
cbpA-cbpM	TU0-42533	(PM0-46271)		(EG12194 EG12193)
cbpA-cbpM	TU0-42532	(PM0-46270)		(EG12194 EG12193)
cbpAM	TU00387	(PM00530)		(EG12194 EG12193)
cbpAM	TU0-36443	(PM0-36262)		(EG12194 EG12193)
cbrA	TU0-42468			(EG11714)
cbrA	TU0-8599	(PM0-45892)		(EG11714)
cbrB	TU0-14026			(EG11726)
cbrBC	TU0-36404	(PM0-45896)		(EG11727 EG11726)
cbrC	TU0-14027			(EG11727)
ccmABCDEFGH	TU0-5261	(PM0-5501)		(EG12052 EG12053 EG12054 EG12055 EG12169 EG12057 EG12058 EG12059)
ccmH	TU0-41967	(PM0-45277)		(EG12052)
cdaR	TU0-4501	(PM0-4741)		(EG12335)
cdd	TU841	(PM1001)		(EG10137)
cdh	TU0-6485	(PM00484)	(TERM0-1109)	(EG10138)
cdsA	TU0-41459	(PM0-44382)		(EG10139)
cdsA	TU0-14340	(PM0-44381)		(EG10139)
cedA	TU781	(PM922)		(G6936)
cfa	TU502	(PM602)		(EG11531)
cfa	TU503	(PM603)		(EG11531)
chaA	TU0-8777			(EG11753)
chaBC	TU00249			(EG12402 EG12403)
chaC	TU0-14458	(PM0-9702)		(EG12403)
chbBCARFG	TU00248	(PM183)		(EG12198 EG10144 EG10143 EG10142 EG10141 EG10140)
chbG	TU0-41848	(PM0-45063)		(EG12198)
chbG	TU0-41849	(PM0-45064)		(EG12198)
cheW	TU0-41891	(PM0-45144)		(EG10149)
chiA	TU0-3141	(PM0-3321)		(EG11237)
cho	TU0-8267	(PM0-10248)		(G6937)
chpSB	TU00250	(PM0-1421)		(EG11250 EG12096)
