TERM0541	TERM0541	4054013	4054032	(TU0-5903 TU0-5901)
TERM0563	TERM0563	3900272	3900315	(TU0-4802)
TERM0564	TERM0564	3904616	3904657	(TU0-4802)
TERM0582	TERM0582	423710	423732	(TU0-5402)
TERM0583	TERM0583	423754	423777	(TU0-5402)
TERM061	TERM061	3662938	3662958	(TU586 TU0-2261)
TERM0621	TERM0621	2354745	2354774	(TU00030)
TERM0641	TERM0641	3375778	3375804	(TU0-42202 TU00336)
TERM0661	TERM0661	3056666	3056682	(TU0-7341)
TERM0681	TERM0681	714434	714465	(TU0-4444)
TERM0702	TERM0702	1066056	1066080	(TU0-7401)
TERM0703	TERM0703	138801	138816	(TU0-7001 TU0-2042)
TERM0741	TERM0741	2506446	2506469	(TU0-14640 TU0-7421)
TERM0761	TERM0761	2005666	2005698	(TU0-7461)
TERM0781	TERM0781	4112550	4112571	(TU0-42364 TU00173)
TERM0782	TERM0782	2217682	2217704	(TU0-7501)
TERM0801	TERM0801	2840499	2840523	(TU0-42066 TU00153)
TERM081	TERM081	3148574	3148598	(TU00265 TU0-2562)
TERM0821	TERM0821	705162	705188	(TU0-4421)
TERM0841	TERM0841	1814282	1814306	(TU0-6507)
TERM0862	TERM0862	707177	707201	(TU0-14467 TU0-6504)
TERM0881	TERM0881	3553817	3553842	(TU00091)
TERM0902	TERM0902	3069453	3069472	(TU0-14817 TU0-14814 TU0-8083 TU00443)
TERM0921	TERM0921	1942297	1942327	(TU0-41886 TU0-41885 TU0-41884 TU00353 TU0-6661)
TERM0923	TERM0923	1942243	1942272	(TU0-41886 TU0-41885 TU0-41884 TU00353 TU0-6661)
TERM0924	TERM0924	1946686	1946717	(TU0-14634 TU0-8084)
TERM0941	TERM0941	9199	9226	(TU0-8121)
TERM0961	TERM0961	602600	602632	(TU0-8149)
TERM1	TERM1	925385	925409	(TU-8390 TU-8389)
TERM101	TERM101	127590	127619	(TU0-6634)
TERM102	TERM102	1566928	1566954	(TU0-41793 TU0-41792 TU0-41791 TU369)
TERM121	TERM121	3557776	3557853	(TU401 TU402 TU403 TU404)
TERM141	TERM141	884133	884161	(TU0-14699 TU423)
TERM161	TERM161	3267981	3268014	(TU482)
TERM162	TERM162	4198605	4198624	(TU486)
TERM163	TERM163	460954	460966	(TU490 TU489 TU488 TU487)
TERM164	TERM164	460983	461002	(TU490 TU489 TU488 TU487)
TERM165	TERM165	3954990	3955008	(TU0-6651 TU524 TU525 TU526)
TERM167	TERM167	3954906	3954932	(TU00033)
TERM168	TERM168	1344966	1344992	(TU582 TU583)
TERM169	TERM169	473487	473525	(TU587)
TERM181	TERM181	4336233	4336260	(TU00235)
TERM2	TERM2	1332869	1332898	(TU00077)
TERM201	TERM201	1085294	1085318	(TU866 TU864)
TERM202	TERM202	426980	427010	(TU870)
TERM21	TERM21	3752929	3752964	(TU00138)
