"Name"	"Blattner number"	"Location E coli K-12"
"serC"	"b0907"	"C"
"skp"	"b0178"	"?"
"slyB"	"b1641"	"IM"
"slyD"	"b3349"	"C"
"sodA"	"b3908"	"?"
"speA"	"b2938"	"?"
"speD"	"b0120"	"?"
"speE"	"b0121"	"C"
"sspA"	"b3229"	"C"
"sthA"	"b3962"	"?"
"sucA"	"b0726"	"?"
"sucB"	"b0727"	"C"
"sucC"	"b0728"	"?"
"sucD"	"b0729"	"C"
"surA"	"b0053"	"P"
"talB"	"b0008"	"C"
"tas"	"b2834"	"?"
"thiB"	"b0068"	"?"
"thiC"	"b3994"	"?"
"thiE"	"b3993"	"C"
"thiG"	"b3991"	"C"
"thrB"	"b0003"	"C"
"thrS"	"b1719"	"?"
"tig"	"b0436"	"C"
"tktA"	"b2935"	"C"
"tktB"	"b2465"	"?"
"tldD"	"b3244"	"C"
"tolB"	"b0740"	"P"
"tolC"	"b3035"	"OM"
"topA"	"b1274"	"?"
"tpx"	"b1324"	"C"
"trmH"	"b3651"	"?"
"trmU"	"b1133"	"?"
"trpA"	"b1260"	"C"
"trpB"	"b1261"	"C"
"trpS"	"b3384"	"C"
"trxA"	"b3781"	"C"
"trxB"	"b0888"	"C"
"tsf"	"b0170"	"C"
"tufA/tufB"	"b3339"	"IM"
"tyrA"	"b2600"	"?"
"ubiD"	"b3843"	"?"
"udp"	"b3831"	"C"
"ugpQ"	"b3449"	"?"
"usg"	"b2319"	"C"
"uspA"	"b3495"	"IM"
"uvrA"	"b4058"	"?"
"valS"	"b4258"	"?"
"vioA"	"-"	"?"
"visC"	"b2906"	"?"
"waaA"	"b3633"	"?"
"yaeT"	"b0177"	"IM"
"ybbN"	"b0492"	"C"
"ybcJ"	"b0528"	"?"
"ybeB"	"b0637"	"?"
"ybgI"	"b0710"	"C"
"ybgK"	"b0712"	"?"
"ybiT"	"b0820"	"?"
"ybjX"	"b0877"	"?"
"ycaO"	"b0905"	"?"
"ycbL"	"b0927"	"C"
"ycdO"	"b1018"	"P"
"yceD"	"b1088"	"C"
"yceI"	"b1056"	"?"
"ycfD"	"b1128"	"?"
"ycfP"	"b1108"	"C"
"ycgL"	"b1179"	"?"
"ychN"	"b1219"	"?"
"yciT"	"b1284"	"C"
"ydcL"	"b1431"	"?"
"ydfG"	"b1539"	"?"
"ydgH"	"b1604"	"C"
"ydjA"	"b1765"	"C"
"yeaD"	"b1780"	"C"
"yeeN"	"b1983"	"?"
"yeiP"	"b2171"	"C"
"yfcB"	"b2330"	"C"
