"Gene Name"	"Accession-1"	"Object ID"
EG12146	"b3205"	"EG12146"
EG12096	"b4225"	"EG12096"
EG11879	"b3929"	"EG11879"
EG11730	"b3745"	"EG11730"
EG10983	"b2533"	"EG10983"
EG10018	"b3252"	"EG10018"
EG12191	"b0450"	"EG12191"
EG11731	"b3746"	"EG11731"
G7715	"b3346"	"G7715"
EG11208	"b4017"	"EG11208"
G6444	"b0846"	"G6444"
EG11733	"b3755"	"EG11733"
EG11431	"b2398"	"EG11431"
G7467	"b2847"	"G7467"
G6273	"b0502"	"G6273"
EG11162	"b2929"	"EG11162"
EG10735	"b3724"	"EG10735"
EG11554	"b2669"	"EG11554"
G7689	"b3244"	"G7689"
EG11356	"b1921"	"EG11356"
G7571	"b3021"	"G7571"
G6337	"b0610"	"G6337"
G0-10592	"b4597"	"G0-10592"
EG11861	"b3897"	"EG11861"
EG11103	"b0535"	"EG11103"
EG12630	"b3438"	"EG12630"
EG10517	"b0694"	"EG10517"
EG11514	"b3214"	"EG11514"
EG10672	"b3405"	"EG10672"
EG10490	"b2916"	"EG10490"
EG10223	"b0840"	"EG10223"
G6276	"b0506"	"G6276"
G7678	"b3226"	"G7678"
EG11929	"b4046"	"EG11929"
EG11146	"b2405"	"EG11146"
G7326	"b2531"	"G7326"
EG10291	"b4293"	"EG10291"
G7003	"b1827"	"G7003"
EG12356	"b3422"	"EG12356"
EG11519	"b3481"	"EG11519"
EG10731	"b1130"	"EG10731"
EG10491	"b4018"	"EG10491"
EG12278	"b3574"	"EG12278"
EG10636	"b0676"	"EG10636"
G7913	"b4300"	"G7913"
G6346	"b0620"	"G6346"
EG11335	"b4390"	"EG11335"
EG10588	"b3938"	"EG10588"
EG10029	"b2213"	"EG10029"
G7072	"b1988"	"G7072"
EG11042	"b1323"	"EG11042"
EG10268	"b0566"	"EG10268"
EG12301	"b1013"	"EG12301"
EG11449	"b4480"	"EG11449"
G6395	"b0761"	"G6395"
EG12123	"b2289"	"EG12123"
EG10591	"b3828"	"EG10591"
EG10123	"b3973"	"EG10123"
EG11966	"b4116"	"EG11966"
EG11218	"b4398"	"EG11218"
EG10359	"b0683"	"EG10359"
EG10235	"b3702"	"EG10235"
EG11366	"b4396"	"EG11366"
EG10728	"b0399"	"EG10728"
EG12335	"b0162"	"EG12335"
EG10200	"b3934"	"EG10200"
EG11849	"b3884"	"EG11849"
EG11738	"b3995"	"EG11738"
EG10896	"b3067"	"EG10896"
G6852	"b1594"	"G6852"
EG10164	"b3357"	"EG10164"
G6869	"b1625"	"G6869"
G6804	"b1517"	"G6804"
G6577	"b1120"	"G6577"
G6500	"b0966"	"G6500"
G0-10574	"b4603"	"G0-10574"
G0-10201	"b4616"	"G0-10201"
EG12402	"b1217"	"EG12402"
EG11236	"b0315"	"EG11236"
EG10711	"b4108"	"EG10711"
EG12331	"b0155"	"EG12331"
EG10671	"b0929"	"EG10671"
G7814	"b3875"	"G7814"
G6657	"b1319"	"G6657"
G6370	"b0681"	"G6370"
EG10729	"b0241"	"EG10729"
G6700	"b1377"	"G6700"
EG11124	"b1256"	"EG11124"
EG10670	"b2215"	"EG10670"
G6762	"b1451"	"G6762"
G6531	"b1024"	"G6531"
EG11364	"b3720"	"EG11364"
EG11009	"b3035"	"EG11009"
G7921	"b4311"	"G7921"
G6543	"b1037"	"G6543"
G6142	"b0270"	"G6142"
G7235	"b2372"	"G7235"
EG11724	"b3714"	"EG11724"
G7503	"b4464"	"G7503"
G6934	"b1729"	"G6934"
G7833	"b4141"	"G7833"
EG11512	"b0010"	"EG11512"
EG11919	"b4020"	"EG11919"
EG11159	"b2923"	"EG11159"
EG12283	"b3579"	"EG12283"
EG11639	"b1533"	"EG11639"
EG13174	"b2775"	"EG13174"
G6411	"b0794"	"G6411"
