"Gene Name"	"Accession-1"	"Object ID"
G7840	"b4159"	"G7840"
G7595	"b3072"	"G7595"
EG11113	"b0970"	"EG11113"
G7330	"b2536"	"G7330"
G7171	"b2258"	"G7171"
G6987	"b1801"	"G6987"
EG10740	"b4041"	"EG10740"
G6863	"b1607"	"G6863"
EG10654	"b3367"	"EG10654"
G6666	"b1330"	"G6666"
G6492	"b0952"	"G6492"
G6400	"b0770"	"G6400"
EG10397	"b3424"	"EG10397"
G6248	"b0448"	"G6248"
EG10298	"b0589"	"EG10298"
EG20110	"b3350"	"EG20110"
EG10198	"b2423"	"EG10198"
EG12720	"b3078"	"EG12720"
EG10139	"b0175"	"EG10139"
EG12380	"b3415"	"EG12380"
EG12230	"b3493"	"EG12230"
EG12129	"b2497"	"EG12129"
EG12057	"b2199"	"EG12057"
EG11737	"b0198"	"EG11737"
EG11665	"b3057"	"EG11665"
EG11608	"b1249"	"EG11608"
EG11463	"b3816"	"EG11463"
EG11367	"b2786"	"EG11367"
G7806	"b3836"	"G7806"
EG11233	"b1609"	"EG11233"
G7549	"b2983"	"G7549"
G7309	"b2492"	"G7309"
G7130	"b2098"	"G7130"
G6962	"b1775"	"G6962"
EG10730	"b4399"	"EG10730"
G6857	"b1599"	"G6857"
G6643	"b1296"	"G6643"
EG10597	"b1175"	"EG10597"
G6476	"b0934"	"G6476"
EG10516	"b0695"	"EG10516"
G6227	"b0378"	"G6227"
EG10289	"b4288"	"EG10289"
EG13283	"b2367"	"EG13283"
EG12525	"b4242"	"EG12525"
EG12367	"b0575"	"EG12367"
EG12217	"b3471"	"EG12217"
EG12125	"b2308"	"EG12125"
EG12052	"b2194"	"EG12052"
EG11942	"b4067"	"EG11942"
EG11840	"b3874"	"EG11840"
EG11706	"b3679"	"EG11706"
EG11637	"b1529"	"EG11637"
EG11566	"b0045"	"EG11566"
EG11343	"b1053"	"EG11343"
G7686	"b3241"	"G7686"
G7507	"b2888"	"G7507"
EG10952	"b2617"	"EG10952"
G7113	"b2074"	"G7113"
EG10781	"b2585"	"EG10781"
G6916	"b1690"	"G6916"
EG10706	"b1912"	"EG10706"
G6802	"b1515"	"G6802"
G6575	"b1118"	"G6575"
G6462	"b0879"	"G6462"
EG10513	"b0698"	"EG10513"
G6345	"b0619"	"G6345"
EG10271	"b3006"	"EG10271"
EG12626	"b3542"	"EG12626"
EG12475	"b4156"	"EG12475"
EG10014	"b2470"	"EG10014"
EG12282	"b3578"	"EG12282"
EG12178	"b4136"	"EG12178"
EG11914	"b3955"	"EG11914"
EG11821	"b0451"	"EG11821"
EG11700	"b0751"	"EG11700"
EG11541	"b3747"	"EG11541"
EG11419	"b2182"	"EG11419"
EG11327	"b0336"	"EG11327"
G7664	"b3199"	"G7664"
EG11194	"b3654"	"EG11194"
G7258	"b2412"	"G7258"
EG10938	"b0408"	"EG10938"
EG10766	"b3300"	"EG10766"
G6877	"b1634"	"G6877"
EG10685	"b3258"	"EG10685"
G6786	"b1492"	"G6786"
G6561	"b1069"	"G6561"
G6440	"b0842"	"G6440"
EG10345	"b3462"	"EG10345"
EG10264	"b0586"	"EG10264"
EG12853	"b1336"	"EG12853"
EG12591	"b4359"	"EG12591"
EG12442	"b4461"	"EG12442"
EG10007	"b2307"	"EG10007"
EG12268	"b3547"	"EG12268"
EG12166	"b0920"	"EG12166"
EG12017	"b2136"	"EG12017"
EG11891	"b2008"	"EG11891"
EG11798	"b0106"	"EG11798"
EG11689	"b3662"	"EG11689"
EG11622	"b0449"	"EG11622"
EG11499	"b3184"	"EG11499"
EG11393	"b1185"	"EG11393"
G7933	"b4336"	"G7933"
G7642	"b3147"	"G7642"
EG11180	"b3291"	"EG11180"
G7352	"b2595"	"G7352"
G7243	"b2380"	"G7243"
G7007	"b1834"	"G7007"
G6874	"b1630"	"G6874"
EG10613	"b0914"	"EG10613"
G6544	"b1038"	"G6544"
G6418	"b0815"	"G6418"
EG10462	"b1829"	"EG10462"
G6265	"b0489"	"G6265"
G0-9981	"b4613"	"G0-9981"
EG10260	"b0595"	"EG10260"
EG12802	"b3196"	"EG12802"
EG10167	"b0598"	"EG10167"
EG12563	"b4321"	"EG12563"
EG10002	"b0764"	"EG10002"
EG12241	"b3514"	"EG12241"
EG12077	"b3478"	"EG12077"
EG11980	"b2037"	"EG11980"
EG11754	"b0070"	"EG11754"
EG11686	"b3657"	"EG11686"
EG11614	"b4112"	"EG11614"
EG11479	"b3839"	"EG11479"
G7849	"b4184"	"G7849"
EG11262	"b3364"	"EG11262"
EG11123	"b1255"	"EG11123"
G7337	"b2543"	"G7337"
G7190	"b2298"	"G7190"
G6999	"b1821"	"G6999"
EG10744	"b1603"	"EG10744"
G6871	"b1627"	"G6871"
EG10658	"b2477"	"EG10658"
G6744	"b1433"	"G6744"
G6508	"b0987"	"G6508"
EG10530	"b2568"	"EG10530"
G6404	"b0787"	"G6404"
G6255	"b0465"	"G6255"
EG10303	"b0153"	"EG10303"
G0-10460	"b4544"	"G0-10460"
EG10224	"b4042"	"EG10224"
EG12392	"b1206"	"EG12392"
EG12231	"b3494"	"EG12231"
EG12134	"b0813"	"EG12134"
EG12058	"b2200"	"EG12058"
EG11610	"b2370"	"EG11610"
G7808	"b3838"	"G7808"
EG11242	"b0898"	"EG11242"
G7559	"b3002"	"G7559"
EG11096	"b0407"	"EG11096"
G7310	"b2493"	"G7310"
G7138	"b2106"	"G7138"
EG10802	"b1015"	"EG10802"
G6975	"b1789"	"G6975"
EG10732	"b1129"	"EG10732"
G6858	"b1600"	"G6858"
G6649	"b1311"	"G6649"
EG10598	"b1174"	"EG10598"
G6490	"b0950"	"G6490"
EG10521	"b0047"	"EG10521"
G6384	"b0715"	"G6384"
G6241	"b0427"	"G6241"
EG10296	"b0590"	"EG10296"
EG12709	"b1958"	"EG12709"
EG10127	"b1711"	"EG10127"
EG12539	"b4265"	"EG12539"
EG12368	"b1859"	"EG12368"
EG12219	"b3473"	"EG12219"
EG12127	"b4240"	"EG12127"
EG12053	"b2195"	"EG12053"
EG11841	"b3876"	"EG11841"
EG11720	"b3710"	"EG11720"
EG11640	"b1534"	"EG11640"
EG11573	"b0067"	"EG11573"
EG11459	"b3795"	"EG11459"
EG11354	"b2685"	"EG11354"
G7705	"b3327"	"G7705"
EG10987	"b1885"	"EG10987"
G7114	"b2075"	"G7114"
EG10782	"b3726"	"EG10782"
G6917	"b1691"	"G6917"
G6817	"b1543"	"G6817"
G6620	"b1191"	"G6620"
G6464	"b0890"	"G6464"
EG10514	"b0697"	"EG10514"
EG10272	"b3005"	"EG10272"
EG12631	"b4476"	"EG12631"
EG10109	"b0311"	"EG10109"
EG12504	"b4208"	"EG12504"
EG10042	"b0111"	"EG10042"
EG12315	"b0117"	"EG12315"
EG12095	"b3175"	"EG12095"
EG12038	"b2178"	"EG12038"
EG11939	"b4064"	"EG11939"
EG11703	"b0463"	"EG11703"
EG11555	"b0007"	"EG11555"
G7679	"b3227"	"G7679"
EG11197	"b3705"	"EG11197"
G7465	"b2845"	"G7465"
EG11046	"b3452"	"EG11046"
EG10939	"b3981"	"EG10939"
G7070	"b1985"	"G7070"
EG10772	"b2678"	"EG10772"
G6885	"b1645"	"G6885"
EG10704	"b0418"	"EG10704"
G6790	"b1500"	"G6790"
G6565	"b1105"	"G6565"
G6323	"b0577"	"G6323"
EG10346	"b3464"	"EG10346"
G436	"b3224"	"G436"
EG10267	"b3266"	"EG10267"
EG12883	"b2987"	"EG12883"
EG12623	"b0478"	"EG12623"
EG12462	"b4115"	"EG12462"
EG12029	"b2161"	"EG12029"
EG11896	"b2014"	"EG11896"
EG11691	"b3664"	"EG11691"
EG11502	"b0196"	"EG11502"
EG11405	"b0887"	"EG11405"
G7942	"b4354"	"G7942"
EG11305	"b0627"	"EG11305"
G7655	"b3173"	"G7655"
EG11183	"b3388"	"EG11183"
G7421	"b2740"	"G7421"
EG11021	"b3849"	"EG11021"
G7251	"b2389"	"G7251"
G6875	"b1631"	"G6875"
EG10675	"b1244"	"EG10675"
G6779	"b1485"	"G6779"
G6552	"b1047"	"G6552"
EG10548	"b0027"	"EG10548"
G6432	"b0832"	"G6432"
G6267	"b0491"	"G6267"
EG10339	"b0094"	"EG10339"
EG10262	"b0583"	"EG10262"
EG12835	"b3269"	"EG12835"
EG12799	"b3193"	"EG12799"
EG10168	"b0657"	"EG10168"
EG12576	"b4337"	"EG12576"
EG10003	"b2413"	"EG10003"
EG12249	"b3523"	"EG12249"
EG12009	"b2128"	"EG12009"
EG11883	"b1429"	"EG11883"
EG11767	"b3485"	"EG11767"
EG11687	"b3659"	"EG11687"
EG11616	"b4148"	"EG11616"
EG11486	"b3792"	"EG11486"
G7888	"b4261"	"G7888"
EG11266	"b3615"	"EG11266"
G7617	"b3103"	"G7617"
EG11141	"b1959"	"EG11141"
G7340	"b2546"	"G7340"
G7198	"b2322"	"G7198"
EG10928	"b0377"	"EG10928"
G7004	"b1828"	"G7004"
EG10745	"b1602"	"EG10745"
G6872	"b1628"	"G6872"
EG10664	"b2964"	"EG10664"
G6753	"b1442"	"G6753"
EG10607	"b0634"	"EG10607"
G6409	"b0792"	"G6409"
G6256	"b0479"	"G6256"
G0-10594	"b4602"	"G0-10594"
EG10145	"b4400"	"EG10145"
EG12393	"b3063"	"EG12393"
EG12232	"b3496"	"EG12232"
EG12136	"b2077"	"EG12136"
EG12070	"b2211"	"EG12070"
EG11742	"b1496"	"EG11742"
EG11612	"b4111"	"EG11612"
EG11469	"b3824"	"EG11469"
EG11371	"b2560"	"EG11371"
EG11257	"b0385"	"EG11257"
G7586	"b3047"	"G7586"
EG11104	"b0591"	"EG11104"
G7320	"b2512"	"G7320"
G7159	"b2246"	"G7159"
EG10807	"b0945"	"EG10807"
G6977	"b1791"	"G6977"
EG10733	"b0400"	"EG10733"
G6861	"b1605"	"G6861"
EG10652	"b0019"	"EG10652"
G6650	"b1312"	"G6650"
EG10601	"b1890"	"EG10601"
G6491	"b0951"	"G6491"
G6393	"b0752"	"G6393"
EG10396	"b3927"	"EG10396"
G6242	"b0441"	"G6242"
EG10297	"b0587"	"EG10297"
EG20053	"b3691"	"EG20053"
EG10197	"b2424"	"EG10197"
EG12713	"b1473"	"EG12713"
EG10132	"b4132"	"EG10132"
EG12544	"b4279"	"EG12544"
EG10062	"b3210"	"EG10062"
EG12369	"b1769"	"EG12369"
EG12220	"b3474"	"EG12220"
EG12128	"b2828"	"EG12128"
EG12054	"b2196"	"EG12054"
EG11842	"b3877"	"EG11842"
EG11732	"b3754"	"EG11732"
EG11606	"b1250"	"EG11606"
G7753	"b3434"	"G7753"
EG10988	"b1886"	"EG10988"
G7115	"b2076"	"G7115"
EG10784	"b3727"	"EG10784"
G6950	"b1755"	"G6950"
EG10722	"b4095"	"EG10722"
G6854	"b1596"	"G6854"
EG10642	"b1223"	"EG10642"
G6466	"b0899"	"G6466"
EG10515	"b0696"	"EG10515"
G6361	"b0658"	"G6361"
EG10288	"b4289"	"EG10288"
EG13270	"b0875"	"EG13270"
EG10623	"b0090"	"EG10623"
EG10125	"b0435"	"EG10125"
EG12183	"b0433"	"EG12183"
EG10620	"b0088"	"EG10620"
EG11823	"b2435"	"EG11823"
EG10605	"b0149"	"EG10605"
EG11363	"b4169"	"EG11363"
EG10544	"b1677"	"EG10544"
G7322	"b2519"	"G7322"
EG11204	"b3967"	"EG11204"
EG10214	"b0092"	"EG10214"
EG10748	"b3396"	"EG10748"
EG10202	"b3182"	"EG10202"
EG12440	"b4233"	"EG12440"
EG10621	"b0085"	"EG10621"
EG10040	"b4150"	"EG10040"
EG10606	"b0635"	"EG10606"
EG10580	"b2328"	"EG10580"
G7458	"b2817"	"G7458"
EG11205	"b3972"	"EG11205"
EG10341	"b0084"	"EG10341"
EG10622	"b0086"	"EG10622"
EG10041	"b0110"	"EG10041"
EG12015	"b2134"	"EG12015"
EG10619	"b0091"	"EG10619"
EG10604	"b0087"	"EG10604"
G7668	"b3208"	"G7668"
EG11358	"b3189"	"EG11358"
G6968	"b1782"	"G6968"
EG10213	"b0381"	"EG10213"
EG11923	"b4026"	"EG11923"
EG10614	"b1855"	"EG10614"
G7241	"b2378"	"G7241"
G0-10455	"b4537"	"G0-10455"
EG11553	"b3176"	"EG11553"
EG11352	"b3627"	"EG11352"
G0-10450	"b4529"	"G0-10450"
G7047	"b1954"	"G7047"
EG11456	"b3791"	"EG11456"
G0-10475	"b4568"	"G0-10475"
EG11341	"b3632"	"EG11341"
EG12411	"b2040"	"EG12411"
G0-10466	"b4551"	"G0-10466"
EG11453	"b3788"	"EG11453"
EG11295	"b3785"	"EG11295"
G0-10458	"b4541"	"G0-10458"
EG11982	"b2035"	"EG11982"
EG11426	"b3624"	"EG11426"
G0-10453	"b4535"	"G0-10453"
EG10840	"b3784"	"EG10840"
EG11978	"b2039"	"EG11978"
G0-10606	"b4620"	"G0-10606"
EG11423	"b3623"	"EG11423"
EG10820	"b1951"	"EG10820"
G0-10467	"b4553"	"G0-10467"
G7800	"b4481"	"G7800"
EG11353	"b3626"	"EG11353"
G0-10459	"b4542"	"G0-10459"
EG10545	"b0181"	"EG10545"
G7090	"b2027"	"G7090"
G0-10454	"b4536"	"G0-10454"
EG11457	"b3793"	"EG11457"
EG11350	"b3629"	"EG11350"
G0-10469	"b4555"	"G0-10469"
EG10382	"b3729"	"EG10382"
EG12412	"b2041"	"EG12412"
G0-10462	"b4546"	"G0-10462"
EG11454	"b3789"	"EG11454"
EG11339	"b3631"	"EG11339"
EG10265	"b0096"	"EG10265"
EG12210	"b3620"	"EG12210"
EG11451	"b3786"	"EG11451"
EG11189	"b3621"	"EG11189"
EG11979	"b2038"	"EG11979"
EG11424	"b3622"	"EG11424"
EG11361	"b2064"	"EG11361"
EG10546	"b0182"	"EG10546"
EG11458	"b3794"	"EG11458"
EG11351	"b3628"	"EG11351"
EG10464	"b1054"	"EG10464"
EG12666	"b0524"	"EG12666"
EG11455	"b3790"	"EG11455"
EG11340	"b3630"	"EG11340"
EG10316	"b0179"	"EG10316"
EG12274	"b3561"	"EG12274"
EG11452	"b3787"	"EG11452"
EG11198	"b3730"	"EG11198"
EG11981	"b2036"	"EG11981"
EG11425	"b3625"	"EG11425"
G370	"b1879"	"G370"
EG11656	"b1940"	"EG11656"
EG10319	"b1891"	"EG10319"
G365	"b1080"	"G365"
EG11389	"b1926"	"EG11389"
G362	"b1077"	"G362"
EG11347	"b1938"	"EG11347"
G359	"b1074"	"G359"
EG10841	"b1924"	"EG10841"
G6562	"b1070"	"G6562"
EG11977	"b1950"	"EG11977"
EG10323	"b1945"	"EG10323"
EG11967	"b1082"	"EG11967"
EG10320	"b1892"	"EG10320"
G366	"b1081"	"G366"
EG11545	"b1083"	"EG11545"
G363	"b1078"	"G363"
EG11355	"b1922"	"EG11355"
G360	"b1075"	"G360"
EG11224	"b1947"	"EG11224"
G7028	"b1880"	"G7028"
G357	"b1072"	"G357"
EG10324	"b1946"	"EG10324"
G378	"b1942"	"G378"
EG11975	"b1948"	"EG11975"
EG10321	"b1923"	"EG10321"
G369	"b1071"	"G369"
EG11654	"b1939"	"EG11654"
EG10229	"b2321"	"EG10229"
G364	"b1079"	"G364"
EG11388	"b1925"	"EG11388"
G361	"b1076"	"G361"
EG11346	"b1937"	"EG11346"
G358	"b1073"	"G358"
EG10602	"b1889"	"EG10602"
G379	"b1943"	"G379"
EG11976	"b1949"	"EG11976"
EG10322	"b1944"	"EG10322"
G6485	"b0943"	"G6485"
EG11974	"b4315"	"EG11974"
G6480	"b0938"	"G6480"
EG10315	"b4320"	"EG10315"
EG12388	"b0534"	"EG12388"
EG10312	"b4313"	"EG10312"
G7210	"b2339"	"G7210"
EG12328	"b0141"	"EG12328"
EG10309	"b4312"	"EG10309"
G7204	"b2333"	"G7204"
EG12107	"b0108"	"EG12107"
G6547	"b1041"	"G6547"
EG11987	"b2108"	"EG11987"
G6483	"b0941"	"G6483"
EG11156	"b2825"	"EG11156"
G6164	"b0293"	"G6164"
EG10313	"b4318"	"EG10313"
G7637	"b3142"	"G7637"
EG12359	"b0719"	"EG12359"
EG10310	"b4316"	"EG10310"
G7205	"b2334"	"G7205"
EG12325	"b0136"	"EG12325"
G6793	"b1503"	"G6793"
EG11990	"b2111"	"EG11990"
G6484	"b0942"	"G6484"
EG11678	"b0135"	"EG11678"
G6290	"b0530"	"G6290"
EG10314	"b4319"	"EG10314"
G7640	"b3145"	"G7640"
EG12363	"b3043"	"EG12363"
EG10311	"b4317"	"EG10311"
G7206	"b2335"	"G7206"
EG12327	"b0138"	"EG12327"
EG10308	"b4314"	"EG10308"
G6794	"b1504"	"G6794"
EG12081	"b2826"	"EG12081"
EG10866	"b3320"	"EG10866"
EG50001	"b3186"	"EG50001"
EG30077	"b3854"	"EG30077"
EG10975	"b2576"	"EG10975"
EG10905	"b4200"	"EG10905"
EG10882	"b3315"	"EG10882"
EG10879	"b3304"	"EG10879"
EG10835	"b2784"	"EG10835"
EG30090	"b0201"	"EG30090"
EG30074	"b4010"	"EG30074"
EG10918	"b3316"	"EG10918"
EG10902	"b3314"	"EG10902"
EG10876	"b3301"	"EG10876"
EG10210	"b1343"	"EG10210"
EG30087	"b3278"	"EG30087"
EG30071	"b3971"	"EG30071"
EG10915	"b2609"	"EG10915"
EG10892	"b3703"	"EG10892"
EG10873	"b3986"	"EG10873"
EG30084	"b3851"	"EG30084"
EG12794	"b3180"	"EG12794"
EG10912	"b3298"	"EG10912"
EG10889	"b3936"	"EG10889"
EG10870	"b4203"	"EG10870"
G7841	"b4161"	"G7841"
EG30081	"b4009"	"EG30081"
G6740	"b1425"	"G6740"
EG11231	"b1717"	"EG11231"
G14		"G14"
EG10909	"b3321"	"EG10909"
G0-8893		"G0-8893"
EG10886	"b3637"	"EG10886"
G7881	"b4250"	"G7881"
EG10867	"b3319"	"EG10867"
G6678	"b1354"	"G6678"
EG50002	"b3185"	"EG50002"
G0-9384		"G0-9384"
EG30078	"b3970"	"EG30078"
G0-10587	"b4591"	"G0-10587"
EG11151	"b2597"	"EG11151"
G7692	"b3254"	"G7692"
EG10906	"b3341"	"EG10906"
G6419	"b0816"	"G6419"
EG10883	"b3318"	"EG10883"
G0-8908		"G0-8908"
EG10880	"b2606"	"EG10880"
EG11213	"b4223"	"EG11213"
EG10864	"b3984"	"EG10864"
G7388	"b2653"	"G7388"
EG30091	"b3272"	"EG30091"
G6294	"b0538"	"G6294"
EG30075	"b2588"	"EG30075"
G0-8904	"b4434"	"G0-8904"
EG10919	"b0023"	"EG10919"
G7149	"b2191"	"G7149"
EG10903	"b3296"	"EG10903"
G6091	"b0165"	"G6091"
EG10877	"b3313"	"EG10877"
G0-8898		"G0-8898"
EG10215	"b3162"	"EG10215"
G6748	"b1437"	"G6748"
EG30088	"b4007"	"EG30088"
G6084	"b0017"	"G6084"
EG30072	"b3759"	"EG30072"
G0-8894		"G0-8894"
EG10916	"b3311"	"EG10916"
G7896	"b4274"	"G7896"
EG10900	"b0911"	"EG10900"
G6687	"b1364"	"G6687"
EG10874	"b3231"	"EG10874"
G0-9387		"G0-9387"
EG30085	"b3968"	"EG30085"
G0-10597	"b4607"	"G0-10597"
EG30027	"b0455"	"EG30027"
G7818	"b3975"	"G7818"
EG10913	"b3307"	"EG10913"
G6516	"b1005"	"G6516"
EG10890	"b1089"	"EG10890"
G0-8911		"G0-8911"
EG10871	"b3985"	"EG10871"
EG11273	"b0079"	"EG11273"
EG30082	"b2589"	"EG30082"
G7561	"b3004"	"G7561"
EG11232	"b3299"	"EG11232"
G6336	"b0609"	"G6336"
EG10910	"b3297"	"EG10910"
G0-8906		"G0-8906"
EG10887	"b3312"	"EG10887"
G7353	"b2596"	"G7353"
EG10868	"b3308"	"EG10868"
G6179	"b0309"	"G6179"
EG50004	"b0953"	"EG50004"
G0-8902		"G0-8902"
EG30079	"b3758"	"EG30079"
G7034	"b1903"	"G7034"
EG11153	"b2608"	"EG11153"
G6089	"b0100"	"G6089"
EG10907	"b3306"	"EG10907"
G0-8896		"G0-8896"
EG10884	"b3309"	"EG10884"
G8203	"b0701"	"G8203"
EG10865	"b3317"	"EG10865"
G6690	"b1367"	"G6690"
EG30100	"b2621"	"EG30100"
G0-9961	"b4617"	"G0-9961"
EG30076	"b0205"	"EG30076"
G0-8869	"b4448"	"G0-8869"
EG10920	"b3065"	"EG10920"
G7878	"b4247"	"G7878"
EG10904	"b3303"	"EG10904"
G6553	"b1052"	"G6553"
EG10881	"b1716"	"EG10881"
G0-8912		"G0-8912"
EG10878	"b3294"	"EG10878"
G7562	"b3007"	"G7562"
EG10437	"b4173"	"EG10437"
G6388	"b0725"	"G6388"
EG30089	"b2591"	"EG30089"
G0-8907		"G0-8907"
EG30073	"b3274"	"EG30073"
EG11163	"b3036"	"EG11163"
EG10917	"b4202"	"EG10917"
G7386	"b2651"	"G7386"
EG10901	"b0169"	"EG10901"
G6221	"b0370"	"G6221"
EG10875	"b3310"	"EG10875"
G0-8903		"G0-8903"
EG30086	"b3756"	"EG30086"
G7121	"b2084"	"G7121"
EG30070	"b3855"	"EG30070"
G6090	"b0105"	"G6090"
EG10914	"b3165"	"EG10914"
G0-8897		"G0-8897"
EG10891	"b3636"	"EG10891"
EG10872	"b3983"	"EG10872"
EG30083	"b0204"	"EG30083"
EG11508	"b1480"	"EG11508"
EG10911	"b3342"	"EG10911"
EG10888	"b3302"	"EG10888"
EG10869	"b3305"	"EG10869"
G7319	"b2511"	"G7319"
EG30080	"b3275"	"EG30080"
EG11179	"b3170"	"EG11179"
EG10908	"b3230"	"EG10908"
EG10885	"b2185"	"EG10885"
EG11787	"b2053"	"EG11787"
EG10822	"b2218"	"EG10822"
EG10520	"b3633"	"EG10520"
EG11788	"b2052"	"EG11788"
G7091	"b2028"	"G7091"
EG11409	"b0915"	"EG11409"
EG10821	"b2217"	"EG10821"
EG10162	"b2048"	"EG10162"
G7239	"b2376"	"G7239"
G7292	"b2462"	"G7292"
G7287	"b2457"	"G7287"
G7146	"b2174"	"G7146"
G6415	"b0806"	"G6415"
G6161	"b0290"	"G6161"
EG12257	"b3530"	"EG12257"
EG11972	"b0139"	"EG11972"
G7367	"b2632"	"G7367"
G7273	"b2443"	"G7273"
G7086	"b2006"	"G7086"
G6829	"b1556"	"G6829"
G6597	"b1153"	"G6597"
G6315	"b0561"	"G6315"
G6152	"b0281"	"G6152"
G6129	"b0254"	"G6129"
EG12877	"b1154"	"EG12877"
EG11740	"b0568"	"EG11740"
EG10507	"b0537"	"EG10507"
G7899	"b4277"	"G7899"
G7364	"b2629"	"G7364"
G7231	"b2362"	"G7231"
G7083	"b2003"	"G7083"
G6826	"b1553"	"G6826"
G6689	"b1366"	"G6689"
G6593	"b1149"	"G6593"
G6312	"b0557"	"G6312"
G6149	"b0278"	"G6149"
G6125	"b0250"	"G6125"
EG12344	"b1303"	"EG12344"
EG11634	"b1548"	"EG11634"
G7380	"b2645"	"G7380"
G7361	"b2626"	"G7361"
G7228	"b2359"	"G7228"
G7080	"b2000"	"G7080"
G6823	"b1550"	"G6823"
G6684	"b1360"	"G6684"
G6590	"b1146"	"G6590"
G6309	"b0554"	"G6309"
G6144	"b0272"	"G6144"
G6122	"b0247"	"G6122"
EG12205	"b1558"	"EG12205"
EG11302	"b1573"	"EG11302"
EG10778	"b1306"	"EG10778"
G7377	"b2642"	"G7377"
G7280	"b2450"	"G7280"
G7225	"b2356"	"G7225"
G6836	"b1578"	"G6836"
G6820	"b1546"	"G6820"
G6681	"b1357"	"G6681"
G6587	"b1143"	"G6587"
G6306	"b0550"	"G6306"
G6140	"b0268"	"G6140"
G0-9621	"b4501"	"G0-9621"
EG12154	"b1353"	"EG12154"
EG11130	"b1562"	"EG11130"
EG10737	"b1158"	"EG10737"
EG10226	"b1570"	"EG10226"
G7372	"b2637"	"G7372"
G7277	"b2447"	"G7277"
G7220	"b2351"	"G7220"
G6833	"b1566"	"G6833"
G6698	"b1375"	"G6698"
G6677	"b1346"	"G6677"
G6583	"b1138"	"G6583"
G6303	"b0547"	"G6303"
G0-10449	"b4528"	"G0-10449"
EG11901	"b1347"	"EG11901"
EG10573	"b1159"	"EG10573"
EG10050	"b0564"	"EG10050"
G7916	"b4306"	"G7916"
G7368	"b2633"	"G7368"
G7274	"b2444"	"G7274"
G7119	"b2082"	"G7119"
G6830	"b1559"	"G6830"
G6695	"b1372"	"G6695"
G6598	"b1155"	"G6598"
G6317	"b0563"	"G6317"
G6300	"b0544"	"G6300"
G6130	"b4587"	"G6130"
EG31115	"b1574"	"EG31115"
EG11783	"b2622"	"EG11783"
EG10528	"b4036"	"EG10528"
G7902	"b4281"	"G7902"
G7232	"b2363"	"G7232"
G7084	"b2004"	"G7084"
G6827	"b1554"	"G6827"
G6691	"b1368"	"G6691"
G6594	"b1150"	"G6594"
G6313	"b0558"	"G6313"
G6150	"b0279"	"G6150"
G6127	"b0252"	"G6127"
EG12364	"b4271"	"EG12364"
EG11635	"b0560"	"EG11635"
EG10898	"b3202"	"EG10898"
G7381	"b2646"	"G7381"
G7362	"b2627"	"G7362"
G7229	"b2360"	"G7229"
G7081	"b2001"	"G7081"
G6824	"b1551"	"G6824"
G6685	"b1361"	"G6685"
G6591	"b1147"	"G6591"
G6310	"b0555"	"G6310"
G6147	"b0276"	"G6147"
G6123	"b0248"	"G6123"
EG12338	"b0267"	"EG12338"
EG11303	"b1576"	"EG11303"
EG10779	"b1307"	"EG10779"
G7378	"b2643"	"G7378"
G7359	"b2623"	"G7359"
G7226	"b2357"	"G7226"
G6837	"b1579"	"G6837"
G6821	"b1547"	"G6821"
G6682	"b1358"	"G6682"
G6588	"b1144"	"G6588"
G6307	"b0551"	"G6307"
G6120	"b0245"	"G6120"
EG12155	"b1352"	"EG12155"
EG11300	"b1571"	"EG11300"
EG10776	"b1304"	"EG10776"
EG10227	"b1575"	"EG10227"
G7373	"b2638"	"G7373"
G7278	"b2448"	"G7278"
G7221	"b2352"	"G7221"
G6834	"b1567"	"G6834"
G6818	"b1544"	"G6818"
G6679	"b1355"	"G6679"
G6585	"b1141"	"G6585"
G6304	"b0548"	"G6304"
G6135	"b0260"	"G6135"
G0-10452	"b4533"	"G0-10452"
EG12112	"b2624"	"EG12112"
EG11120	"b1156"	"EG11120"
G7917	"b4307"	"G7917"
G7369	"b2634"	"G7369"
G7275	"b2445"	"G7275"
G7218	"b2349"	"G7218"
G6831	"b1560"	"G6831"
G6696	"b1373"	"G6696"
G6599	"b1157"	"G6599"
G6301	"b0545"	"G6301"
G0-10435	"b4509"	"G0-10435"
EG11899	"b1349"	"EG11899"
EG11011	"b0738"	"EG11011"
EG10535	"b1139"	"EG10535"
G7907	"b4286"	"G7907"
G7366	"b2631"	"G7366"
G7272	"b2442"	"G7272"
G7085	"b2005"	"G7085"
G6828	"b1555"	"G6828"
G6692	"b4570"	"G6692"
G6595	"b1151"	"G6595"
G6314	"b0559"	"G6314"
G6151	"b0280"	"G6151"
G6128	"b0253"	"G6128"
EG12370	"b1140"	"EG12370"
EG11739	"b0569"	"EG11739"
EG10438	"b4172"	"EG10438"
G7363	"b2628"	"G7363"
G7230	"b2361"	"G7230"
G7082	"b2002"	"G7082"
G6825	"b1552"	"G6825"
G6688	"b1365"	"G6688"
G6592	"b1148"	"G6592"
G6311	"b0556"	"G6311"
G6148	"b0277"	"G6148"
G6124	"b0249"	"G6124"
EG12339	"b0266"	"EG12339"
EG11304	"b1577"	"EG11304"
EG10813	"b1351"	"EG10813"
EG10416	"b2614"	"EG10416"
G7379	"b2644"	"G7379"
G7360	"b2625"	"G7360"
G7227	"b2358"	"G7227"
G7079	"b1999"	"G7079"
G6822	"b1549"	"G6822"
G6683	"b1359"	"G6683"
G6589	"b1145"	"G6589"
G6121	"b0246"	"G6121"
