This file contains columns C, BY, BZ, and CA from Supplementary Data 7 of Covert et al. 2004. “Integrating high-throughput and computational data elucidates bacterial networks”. Nature. May 2004.			
			
	WT -- aerobic		
			
Accession	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c
b2182	229.381	194.251	182.266
b2183	1262.19	1138.78	1086.89
	145.093	109.237	150.181
b2184	251.784	251.222	263.697
	5593.31	4655.58	4872.8
b2185	6852.03	6910.37	6931.54
	276.042	280.736	388.789
b2186	920.51	839.363	902.465
	69.89	61.7652	75.457
b2187	1995.37	1874.93	1977.17
b2188	800.214	738.275	817.571
	475.466	512.619	606.15
b2189	233.586	175.897	264.119
	175.091	187.734	232.372
b2190	736.376	861.83	871.595
	2062.95	1714.73	1692.16
	235.234	186.543	135.883
b2192	6593.95	6026.5	6870.77
	65.0022	60.8896	77.1446
b2193	693.568	616.714	609.66
	44.3657	40.211	45.0757
b2194	307.27	323.023	367.896
b2195	534.471	575.6	586.291
b2196	624.689	687.448	663.313
b2197	201.053	158.69	162.058
b2198	276.206	220.153	189.459
b2199	633.176	565.696	576.304
	226.9	152.564	167.073
b2200	538.438	669.814	544.796
b2201	292.007	307.972	395.857
b2202	562.853	585.75	528.554
b2203	695.304	719.317	647.17
b2204	530.215	534.043	505.871
b2205	793.599	833.152	810.844
b2206	770.8	733.656	492.244
b2207	583.606	668.934	468.998
b2208	178.712	216.448	165.973
	474.189	488.307	466.223
b2209	1244.76	1485.64	1166.51
	75.9886	81.7305	83.9393
b2210	515.669	486.136	426.216
	826.358	933.648	842.875
b2211	810.017	1159.51	882.868
	698.582	717.405	794.016
b2212	488.557	569.862	417.176
b2213	1277.11	1462.6	991.117
	161.036	138.235	91.5892
b2214	195.933	215.388	166.503
	127.829	129.101	164.78
b2215	6011.62	5920.22	5707.59
	82.8877	78.393	80.3241
b2216	2490.72	2775.67	2202.43
b2217	2377.28	2466.45	2319.07
	91.4115	32.9525	45.1916
b2218	585.567	643.52	543.563
	139.641	127.487	111.527
b2219	233.39	282.733	338.335
b2220	508.086	585.967	583.614
	63.8804	46.8856	41.9965
b2221	164.36	111.165	111.303
b2222	652.259	841.828	666.051
b2223	195.102	217.222	231.759
b2224	154.831	175.316	171.967
	65.4879	65.9272	60.6499
b2225	348.838	381.409	367.105
b2226	1219.34	1407.63	1408.48
b2227	630.178	641.78	707.956
b2228	1080.43	1076.57	1111.6
b2229	215.241	206.158	209.565
b2230	350.468	441.931	371.886
	113.972	71.7683	73.6491
b2231	1239.16	1059.58	1167.15
	1489.3	1362.77	1603.8
b2232	1394.79	1222.3	1297.65
	257.738	204.054	178.618
b2233	765.949	859.026	864.776
	346.656	220.344	252.847
b2234	1412.23	1214.16	1186.7
	2130.8	1882.09	1824.93
b2235	1515.78	1309.26	1400.43
b2236	420.254	357.165	389.733
	62.0456	60.1144	70.4268
b2237	657.913	625.69	635.865
	65.1975	88.8146	63.928
b2238	71.4617	101.212	84.6365
	32.7917	41.9238	32.0636
b2239	278.758	295.417	313.643
b2240	392.451	439.863	450.964
	111.136	81.348	85.7499
b2241	267.17	319.567	322.337
b2242	352.756	426.646	281.994
b2243	208.943	256.218	169.076
	129.886	118.309	98.212
b2244	1128.32	1192.36	1028.51
	137.465	116.879	133.486
b2245	250.486	304.985	197.148
b2246	90.9928	84.7575	74.2658
b2247	519.693	784.774	438.037
b2248	114.231	169.079	143.381
	670.881	592.003	557.707
b2249	363.004	434.663	308.088
	23.6105	13.0293	9.56628
b2250	367.399	464.006	364.541
	66.1859	58.6592	50.3671
b2251	250.977	262.806	178.135
	78.4595	77.2242	70.894
b2252	17.3271	18.6549	11.3804
	55.5338	52.1037	50.3633
b2253	303.999	258.126	251.802
b2254	366.755	419.554	375.328
b2255	711.695	774.458	777.768
b2256	92.5961	111.659	116.121
b2257	311.349	466.278	430.218
	72.8436	58.6265	51.3385
b2258	79.8863	71.5253	56.11
b2259	800.989	856.764	884.216
	118.938	81.4584	88.3924
	71.1757	47.7556	39.8621
b2260	487.099	414.713	440.954
b2261	1185.99	1152.74	1110.45
b2262	1519.87	1437.16	1471.62
b2263	1164.81	1170.24	1256.39
b2264	662.652	620.053	645.091
	415.171	334.174	289.426
b2265	640.899	578.234	621.669
	1288.06	1105.91	981.115
b2266	4081.53	3830.84	4524.24
	367.512	263.348	392.429
b2267	1032.65	1027.3	1064.13
	176.646	159.181	197.015
b2268	737.759	717.771	803.581
	57.8215	52.9477	40.5979
b2269	28.5314	21.5698	20.7446
	43.7293	54.6884	70.2923
b2270	95.2453	130.741	186.775
	58.0126	69.6403	65.4914
b2271	90.7636	99.944	77.0829
	4.94459	3.78082	4.33015
b2272	51.8459	42.9158	49.0777
	50.7276	56.3495	63.0096
b2273	31.5205	40.2504	52.7892
	42.4784	44.5521	47.4437
b2274	125.047	125.099	122.539
b2275	134.709	140.05	164.71
	271.917	198.019	217.566
b2276	1605.06	1220.06	1334.45
	1640.32	1393.48	1558.89
b2277	1742.29	1362.75	1536.18
	1790.85	1316.8	1301.08
b2278	2222.56	2218.42	1784.93
b2279	1870.41	1676.69	1178.48
b2280	2209.2	2329.79	1799.42
b2281	2463.36	2740.59	2274.62
b2282	2199.9	2550.73	1777.07
b2283	2488.43	2475.2	2191.14
	1074.59	897.672	910.325
b2284	2487.91	2688.34	2441.35
b2285	3934	4177.24	4077.01
b2286	3097.12	3510.66	2826.42
	1918.02	1879.54	1998.24
b2287	3372.66	3718.05	3112.06
b2288	3329.39	3318.59	2649.07
	1556.88	1494.71	1664.55
b2289	862.581	862.553	796.419
	173.615	139.34	146.781
b2290	523.514	435.193	450.425
	167.41	127.167	146.996
b2291	558.754	565.546	585.975
	367.219	261.074	231.181
b2292	455.162	440.019	411.223
	240.495	204.597	214.005
b2293	1237.31	1013.41	1056.5
b2294	3009.27	2854.46	2553.26
	419.857	307.353	223.071
b2295	682.239	635.061	646.622
	1141.59	1229.58	1395.86
b2296	2167.04	2165.95	2097.52
	1104.41	873.727	845.406
b2297	749.899	565.966	666.31
	14.3353	10.6803	15.9795
b2298	532.286	590.356	495.606
	113.375	70.655	67.4726
b2299	1190.63	1288.77	1317.81
	1943.73	1672.18	1770.83
b2300	1603.14	1475.02	1439.5
	677.689	543.54	512.012
b2301	491.135	527.276	552.554
	392.203	323.851	281.911
b2302	480.435	392.943	452.814
	173.95	111.621	85.7997
b2303	2680.87	2444.21	2430.58
b2304	1468.61	1409.81	1438.59
	258.981	165.33	215.009
b2305	446.696	503.11	533.159
	181.163	143.362	143.502
b2306	1419.82	1393.97	1396.7
b2307	950.008	736.552	771.166
b2308	1541.22	1449.65	1476.46
	2198.43	1809.88	2237.88
b2309	4032.6	3455.89	3830.74
	1426.38	1195.93	997.999
b2310	1472.76	1272.01	1329.94
	1645.84	1479.27	1414.12
b2311	216.842	168.472	197.787
	808.367	624.139	573.006
b2312	1393	1247.76	1283.42
	6843.11	6136.2	6633.2
b2313	2960.61	2784.85	2821.63
	3290.93	2878.04	2996.04
b2314	1247.22	1206.5	969.341
b2315	1207.04	1292.17	781.255
	1575.76	1274.26	1191.36
b2316	1973.01	2160.62	1624.83
	3292.56	2851.54	2820.81
b2317	1050.91	1032.48	642.55
	1055.4	695.708	740.977
b2318	1501.4	1560.86	1230.94
b2319	1113.93	1056.91	841.2
	648.951	411.879	437.16
b2320	815.641	699.342	580.445
	817.116	604.516	472.767
b2321	933.248	1165.52	821.203
b2322	366.071	391.793	293.182
	120.631	124.031	132.054
	1114.84	891.173	905.904
b2323	3238.78	3608.27	3192.1
	282.69	249.901	346.323
b2324	216.159	234.886	187.237
	290.126	174.125	179.643
b2325	694.495	639.19	581.253
	959.278	656.559	706.719
b2326	785.851	697.854	655.912
b2327	1443.06	1379.02	1371.14
b2328	758.75	743.878	789.227
b2329	1984.8	1957.65	2002.38
	2571.17	2493.98	2832.64
b2330	2093.74	2102.84	2083.81
b2331	1033.25	993.347	896.875
	164.231	141.966	122.737
	86.3279	87.2694	97.2119
b2332	806.668	739.923	739.462
b2333	194.242	226.191	232.753
b2334	177.48	166.058	226.101
b2335	142.31	162.546	162.021
b2336	454.806	446.777	507.922
b2337	413.729	464.061	458.703
b2338	175.124	198.761	209.054
	55.6162	55.4327	63.9784
b2339	29.719	29.0573	29.8616
	68.8055	73.7489	98.9964
b2340	1448.77	1364.65	1400.86
	631.368	668.267	699.023
b2341	777.75	810.897	811.933
b2342	714.673	702.233	768.22
	9.66144	12.543	17.378
b2343	509.729	477.681	557.458
	152.566	153.6	215.131
b2344	318.954	236.847	306.322
	18.0151	20.0835	24.544
b2345	112.868	129.517	129.956
	120.877	119.156	111.305
b2346	1629.53	1404.82	1418.38
	142.677	154.014	159.655
b2347	642.71	647.768	618.14
	280.531	259.695	310.433
b2348	81.799	56.0067	84.0813
	61.6989	95.0839	100.217
b2349	209.329	206.915	225.768
	97.6278	76.2893	75.3704
b2350	774.107	625.929	685.199
b2351	1670.56	1554.83	1538.6
b2352	442.685	300.886	164.2
	56.7447	33.794	43.1181
b2353	583.398	734.471	574.053
b2354	207.794	249.687	168.17
	88.3828	68.1526	73.1288
b2355	19.933	28.0111	16.0373
	105.976	68.4206	89.0188
b2356	324.591	428.853	286.987
b2357	75.8995	115.329	82.9279
b2358	218.977	292.677	265.439
	84.1051	94.321	92.6923
b2359	86.3397	118.864	82.7369
	27.8668	24.438	7.77843
b2360	80.5918	81.5008	81.1188
	116.936	107.567	97.3245
b2361	1184.43	1131.96	773.269
b2362	59.9182	63.449	49.1047
b2363	231.358	282.816	262.158
	61.2467	56.871	54.198
b2364	91.2218	89.5377	90.1001
	64.1748	81.7231	71.8015
b2365	123.299	133.485	130.537
b2366	400.465	447.003	479.176
	818.743	763.69	618.11
b2367	64.1532	69.2277	54.7272
b2368	48.2743	44.5719	47.6874
	33.1368	31.0929	27.5553
b2369	1909.73	1665.39	1520.48
b2370	151.96	158.472	129.493
	26.0854	27.7306	23.4125
b2371	73.0745	62.8578	71.7308
	4.67211	0.416935	1.76909
b2372	108.093	111.559	121.822
	32.2039	37.0853	27.6996
b2373	140.151	107.323	157.269
	10.425	12.7627	7.15723
b2374	167.493	187.537	227.316
	17.6337	28.3761	19.3645
b2375	412.377	501.177	479.426
	164.476	121.409	140.76
b2376	58.8323	76.0441	82.5745
	272.947	240.158	238.8
b2377	667.14	563.922	626.7
	56.9861	48.9316	46.3291
b2378	164.837	181.429	186.931
	167.659	147.252	72.4004
b2379	1246.09	1089.94	1126.38
	264.757	267.392	230.691
b2380	397.194	321.269	334.035
b2381	516.023	397.016	426.473
b2382	394.63	463.171	473.119
	159.7	139.19	111.767
b2383	141.773	155.819	146.853
b2384	1296.91	1248.89	1133.5
b2385	257.02	292.094	299.827
b2386	203.239	204.987	188.946
b2387	106.314	121.847	66.8861
	129.593	142.142	142.46
b2388	846.432	845.409	560.185
	275.268	200.952	232.309
b2389	267.026	295.846	119.843
	516.724	475.186	567.821
b2390	177.683	231.77	143.316
	223.017	163.885	147.268
b2392	433.498	400.007	346.945
	582.51	507.105	493.063
b2393	1383.95	1349.87	1083.26
	2077.51	1470.36	1111.8
	119.766	107.831	95.339
b2395	298.094	342.118	296.626
	210.592	152.918	135.155
b2396	2626.63	2194.18	2086.58
	671.595	684.459	653.327
b2397	2801.12	2654.17	2342.88
	47.0778	45.4166	45.6945
b2398	429.443	498.372	413.076
b2399	399.786	396.11	373.379
	38.2708	30.7352	26.281
b2400	1793.6	2061.63	1992.02
	646.337	325.924	538.089
	7205.61	5437.71	6343.51
b2402	6246.05	5878.46	6549.46
	1599.62	1148.98	1294.02
b2403	6420.67	5560.71	5854
	135.712	130.728	149.839
b2405	271.242	272.868	216.291
	175.667	116.647	151.42
b2406	68.7365	74.3233	47.8077
	670.971	733.779	833.642
b2407	286.285	296.753	272.866
	127.117	93.0646	129.983
b2408	375.308	449.093	451.341
	32.4938	33.728	34.4358
b2409	146.115	150.107	134.61
	71.3085	51.2464	74.2226
b2410	622.698	628.493	581.687
	99.1556	77.4817	99.3004
b2411	1021.04	1150.34	1042.34
	26.5225	20.0272	7.95215
b2412	851.695	672.527	681.987
	287.606	181.441	187.581
b2413	359.805	289.128	278.916
	49.3688	47.0063	42.0988
b2414	7539.51	7094.84	7600.52
	4176.99	4019.19	3866.98
b2415	6788.41	5905.88	6537.72
	5185.53	4484.29	3087.22
b2416	6109.85	5514.19	6042.43
	5838.45	4528.37	4165.28
b2417	4833.52	4325.69	4719.46
	140.141	155.342	172.84
b2418	826.037	716.039	687.471
	732.325	638.151	728.059
b2419	194.941	214.949	261.783
	311.674	285.678	297.58
b2420	281.629	252.941	298.49
	85.2608	69.1661	69.8491
b2421	1395.12	1171.49	1230.29
	2217.94	2423.97	2483.13
b2422	1499.14	1209.53	1349.83
b2423	1374.44	1384.72	1428.61
	1228.05	1112.2	1159.29
b2424	1761.37	1462.13	1583.77
b2425	2694.46	2402.48	2521.78
	30.2793	23.0123	28.6711
b2426	803.583	773.162	759.282
	144.521	138.578	128.557
b2427	1126.29	1138.02	1084.21
	380.731	387.861	432.635
b2428	479.725	492.357	482.189
b2429	540.273	625.274	630.849
b2430	968.996	989.407	978.269
	269.032	199.639	169.908
b2431	684.311	602.501	477.03
	1238.85	1082.23	1092.91
b2432	856.454	891.716	673.865
	804.113	608.193	650.39
b2433	753.643	880.402	543.696
b2434	834.831	752.404	738.99
	29.3324	21.4574	19.0232
b2435	915.421	950.556	871.129
b2436	400.264	371.73	351.843
	205.805	172.048	169.851
b2437	422.603	554.435	347.814
	341.982	346.15	365.824
b2438	637.225	748.595	548.979
b2439	354.481	344.946	291.911
b2440	574.245	483.224	387.342
b2441	1097.13	1163.13	1035.52
	337.009	284.607	337.816
b2442	432.292	423.981	420.273
	33.9288	22.1286	13.9976
b2443	322.536	353.794	346.16
	66.9951	72.6924	79.7108
b2444	102.008	107.949	124.765
b2445	94.6372	92.9478	89.9125
	93.0399	68.049	42.1524
b2446	376.601	380	365.637
b2447	701.745	824.801	735.885
	81.8197	80.3589	76.7565
b2448	126.936	138.761	106.62
b2449	625.848	595.249	640.402
	57.8155	43.6209	29.2546
b2450	1199.35	1204.67	1261.07
	69.6685	59.8142	57.0739
b2451	283.429	255.378	274.618
b2452	691.251	802.365	870.259
	34.1066	41.2784	34.2236
b2453	301.032	294.525	309.781
b2454	738.841	862.211	807.035
b2455	233.196	265.121	293.389
b2456	244.104	256.706	276.106
	96.012	95.9834	45.5365
b2457	567.13	599.632	509.811
b2458	273.308	321.401	317.498
b2459	316.888	351.294	323.501
b2460	496.611	477.942	553.629
b2461	89.0086	95.4624	117.548
b2462	52.1951	56.1637	44.0487
	22.201	12.4287	8.35972
b2463	1573.23	1336.74	1303.81
	792.836	681.329	528.141
b2464	3175.03	2899.45	3158.97
b2465	2020.56	1727.37	1867.44
	247.337	220.204	216.71
b2466	157.454	144.883	187.571
	120.922	99.2837	96.4593
b2467	543.607	537.005	316.843
	460.61	398.774	360.282
b2468	639.444	829.917	493.511
	47.8492	33.0137	42.6398
b2469	224.343	247.106	180.801
	159.029	134.016	133.456
b2470	1813.98	2274.18	1651.76
	105.386	87.7445	73.2823
b2471	1000.29	1050.39	727.61
b2472	517.527	473.53	397.988
	149.58	126.979	158.414
b2473	380.051	372.017	266.241
	497.329	410.483	436.963
b2474	393.827	467.267	386.533
b2475	972.292	1082.55	1026.3
	696.109	491.333	471.691
b2476	2919.52	3153.8	2738.33
	2181.76	2169.54	2633.78
b2477	1767.45	1783.87	1745.15
b2478	3455.71	3544.13	3475.03
	191.884	167.016	211.894
b2479	2712.7	2953.26	2995.17
b2480	4247.23	4083.61	4477.57
	16.7755	11.4455	12.0851
b2481	2357.58	2708.66	3000.88
b2482	467.337	466.161	433.415
b2483	243.268	298.504	281.989
b2484	533.728	441.672	476.396
b2485	239.442	257.588	239.749
b2486	307.876	395.84	319.453
b2487	457.186	586.593	543.359
b2488	193.289	173.567	208.005
b2489	160.178	172.375	189.917
b2490	450.808	491.79	508.373
	78.7926	93.7722	80.3617
b2491	430.163	420.028	421.12
b2492	285.567	258.685	277.601
	473.169	453.242	441.545
b2493	728.79	804.303	683.076
	138.77	99.8149	129.373
b2494	1223.34	1145.8	1269.99
b2495	827.863	766.264	850.216
	129.106	98.1276	111.043
b2496	1219	1052.96	1166.54
	316.067	210.107	292.663
b2497	1608.18	1357.08	1461.51
	3346.82	3233.67	3533.93
b2498	3739.57	3404.65	3637.68
	73.1552	75.9312	87.0024
b2499	2627.26	2267.66	2415.97
b2500	2378.18	2128.73	2170.62
	749.285	705.131	586.712
b2501	1826.48	1629.11	1589.49
b2502	835.826	707.206	758.951
	106.407	125.454	135.192
b2503	63.7842	65.8106	40.8293
	63.2048	50.1722	54.4765
b2504	1177.75	1174.56	1048.59
	214.02	146.446	127.764
b2505	65.0821	65.1188	44.6357
b2506	206.397	220.199	159.034
	862.629	534.022	686.246
b2507	2183.15	2282.07	1773.25
	5373.52	4803.49	5228.64
b2508	3259.75	3709.56	3352.12
	42.0067	45.3597	45.2785
b2509	779.266	814.825	682.995
b2510	299.14	314.661	236.26
	156.933	104.67	115.124
	511.596	407.845	386.67
b2511	853.798	825.66	662.343
	1691.19	1481.33	1505.51
b2512	1425.81	1369.49	1290.05
b2513	1786.74	1688.63	1940.11
b2514	1938.96	1866.85	1894.51
	2125.94	1936.81	1822.38
b2515	1263.04	1223.6	1197.14
b2516	1677.57	1600.7	1527.39
	1357.93	1289.6	1253.67
b2517	779.518	681.245	690.026
	1233.02	1052.33	1224.03
b2518	3347.67	3406.15	3710.44
	4338.37	4130.1	4721.75
b2519	385.019	413.462	345.655
b2520	905.752	875.375	811.842
	650.413	697.102	627.261
b2521	1179.2	1078.86	1083.69
	423.398	354.13	337.724
b2522	1075.85	856.339	995.756
	1041.98	827.577	977.368
b2523	1339.51	1154.46	1289.04
	543.381	436.978	435.72
b2524	1849.53	1900.21	2065.68
b2525	1539.99	1419.27	1407.34
b2526	2082.54	2056.62	1973.08
b2527	1694.96	1581.86	1716.2
	1144.69	888.007	845.973
b2528	4155.33	3649.23	4393.59
b2529	3718.29	3452.91	3952.82
b2530	3387.74	2925.48	3465.39
	3161.28	2549.27	2480.6
b2531	2462.42	2345.92	2630.68
	1070.68	889.759	801.231
b2532	1440.18	1264.53	1321.81
	66.1344	71.8656	70.605
b2533	607.59	520.965	559.452
	24.1725	21.1268	18.6103
b2534	230.502	244.135	224.388
	43.9335	37.2251	35.9501
b2535	138.198	130.145	132.543
b2536	469.461	423.483	446.28
	60.6629	57.7844	62.021
	182.489	158.877	176.43
b2537	411.196	386.847	379.825
	863.899	916.823	929.607
b2538	301.769	256.016	279.854
b2539	227.931	253.078	176.468
b2540	691.012	686.875	497.005
b2541	603.535	737.684	475.953
b2542	408.35	414.711	293.393
b2543	817.077	776.321	583.214
	1154.45	832.315	834.973
b2544	722.584	834.24	656.437
b2545	164.111	183.66	123.043
	99.7644	129.117	197.025
b2546	128.972	148.139	87.7037
b2547	74.1234	82.6403	76.1078
b2548	144.191	178.823	142.519
	756.178	768.232	817.754
b2549	1459.16	1885.27	1740.69
	559.383	363.305	445.762
b2550	370.594	428.407	491.871
	81.571	59.7805	74.3619
b2551	4155.57	4221.95	4542.69
	918.442	865.999	843.516
b2552	537.071	530.03	522.737
	135.101	148.463	155.241
b2553	1158.38	1209.04	1059.35
	1729.18	1460.21	1412.21
b2554	859.56	923.562	932.298
b2555	1186.11	1327.87	1448.44
	169.722	109.639	115.627
b2556	642.687	594.116	570.809
	2991.55	3298.44	3778.39
b2557	1442.64	1291.92	1475.47
	78.4247	75.4595	96.5753
b2558	91.0518	91.9062	99.2597
b2559	719.438	777.685	775.533
	52.4882	53.7484	50.6119
b2560	546.625	427.785	498.92
	199.208	239.572	262.145
b2561	329.82	333.144	370.569
	299.587	243.26	232.571
b2562	1449.02	1644.59	1556.69
	110.607	95.3158	110.743
b2563	1301.69	1203.68	1101.95
b2564	1327.16	1239.93	1245.91
b2565	440.363	369.24	367.296
b2566	797.209	612.154	671.046
b2567	1647.72	1485.45	1485.6
	1023.82	984.903	1216.4
b2568	835.313	723.557	721.035
b2569	1405.36	1144.62	1191.4
	1142.05	1110.72	1318.73
b2570	719.793	626.73	570.853
b2571	1087.88	892.971	919.493
b2572	2358.82	2192.56	2137.79
	3579.63	3552.68	3650.55
b2573	1925.04	1909.73	1711.34
	1193.75	1239.6	1340.81
b2574	1044.47	826.889	846.015
b2575	961.574	949.719	689.63
	38.2559	29.2093	38.7712
b2576	927.572	793.453	660.284
	40.7951	36.8909	33.153
b2577	260.938	229.131	146.261
	91.7364	107.867	113.442
b2578	857.456	985.04	413.193
	16.7031	14.5635	14.0081
b2579	1516.74	1546.49	843.048
	72.8796	70.988	63.7139
b2580	850.694	939.843	622.066
	75.2005	52.4252	32.7599
b2581	816.734	811.195	718.997
	275.24	282.01	307.928
b2582	650.726	618.948	515.07
	89.6767	81.7501	72.1938
b2583	219.421	238.057	171.598
	200.966	193.657	169.243
b2584	661.23	611.481	555.668
	1396.83	1143.84	1212.33
b2585	1351.3	1415.95	1296.6
	319.808	195.555	211.026
b2586	288.71	324.068	343.745
b2587	3854.2	3827.26	3921.77
	83.0861	42.1504	42.5258
	70.7996	46.3106	60.886
b2588	7495.8	9625.91	9660.59
	5877.62	5694.23	6013.98
b2589	4003.84	7265.9	7406.28
	6048.61	5478.65	5483.72
b2590	6584.37	5001.96	5684.29
	4903.99	4662.79	4638.9
b2591	3417.08	7562.61	6415.12
	7092.58	6482.75	6434.52
b2592	1038.38	963.265	927.985
	1531.05	1393.12	2772.17
b2593	558.193	710.612	630.698
b2594	1357.19	1271.74	1319.45
	171.843	156.433	175.704
b2595	2218.28	2124.65	2179.49
b2596	70.9272	81.8245	64.8709
b2597	3208.31	3143.52	3463.18
	328.457	243.55	286.489
b2598	287.155	195.909	133.262
	1098.37	956.371	773.948
b2599	2258.19	2298.47	2276.12
	64.9712	37.8035	54.3174
b2600	1126.13	1029.54	1109.97
b2601	2803.62	2566.53	2723.29
	143.007	116.011	136.688
b2602	173.469	181.128	197.988
	258.554	250.993	206.538
b2603	540.824	532.918	555.099
b2604	541.445	531.59	496.24
b2605	532.889	479.376	455.543
	372.298	260.089	331.216
b2606	3799.86	3111.49	3568.55
	6389.08	5914.6	6364.94
b2607	6525.61	6578.48	6659.46
b2608	6698.39	6568.06	6576.46
b2609	5119.92	4550.05	4843.51
	2004.86	1726.99	1821.85
b2610	1490.21	1260.65	1338.78
	303.062	291.061	289.378
b2611	899.398	818.835	828.805
	329.957	201.318	176.308
b2612	592.707	522.692	501.978
b2613	455.64	430.961	439.799
	810.525	675.015	643.14
b2614	1807.68	1473.25	1599.57
	135.726	119.628	111.665
b2615	557.94	439.407	470.214
	89.5209	58.0557	42.2585
b2616	458.46	404.962	334.925
	1782.86	1552.91	1527.65
b2617	1303.38	1023.15	733.902
	1233.56	981.934	883.71
b2618	684.487	648.818	588.233
b2619	771.422	759.346	563.646
	53.1074	51.5628	54.2597
b2620	1732.59	1914.98	1452.83
	755.462	775.935	870.187
b2621	6696.17	6790.41	7212.85
	426.722	368.118	361.664
b2622	574.104	561.952	441.35
	58.9533	61.8016	77.6417
b2623	60.064	58.8336	22.6562
	129.607	118.49	89.9187
b2624	30.2061	52.2082	32.8129
	15.2017	19.6498	25.5188
b2625	113.183	160.819	109.409
	20.966	20.3558	22.6099
b2626	64.1726	79.0624	61.4242
	110.457	117.262	125.733
b2627	225.193	220.561	222.224
b2628	356.463	329.696	297.692
	745.755	661.028	736.513
b2629	102.159	110.656	125.097
	85.7068	75.1657	96.8028
b2630	1317.37	1321.84	1279.27
	312.548	219.793	198.203
b2631	561.347	482.507	470.195
	72.9817	87.8561	77.8491
b2632	213.275	205.082	209.462
	26.4547	33.6002	28.7547
b2633	340.754	401.67	375.491
	140.977	168.668	147.779
b2634	1711.41	1917.34	1733.66
b2636	69.87	64.6884	78.0918
b2637	117.283	112.54	134.843
	112.289	110.034	107.441
b2638	821.629	689.246	759.163
b2639	376.24	352.895	369.771
	335.52	296.686	341.5
b2640	599.716	553.988	421.075
b2641	32.2268	37.2153	30.0363
	63.4845	61.2536	63.4837
b2642	121.902	105.792	106.755
	108.218	143.327	133.114
b2643	405.76	459.16	496.245
b2644	247.255	253.913	304.312
	105.551	94.4335	89.5227
b2645	42.9962	38.1255	40.3384
b2646	94.1564	99.6617	105.468
	311.147	225.695	273.341
b2647	304.867	334.752	304.229
	51.8868	41.6651	47.8751
b2648	91.1869	97.3969	79.644
	424.397	449.874	512.807
b2649	41.8029	49.4433	40.7652
	4.48417	4.48682	1.54969
b2650	563.7	631.668	640.734
	17.1259	21.107	19.4661
b2651	101.241	119.975	93.7628
	21.9896	17.058	23.3748
b2652	161.319	127.642	138.183
b2653	43.9581	62.5207	58.3433
	273.256	185.552	211.195
b2654	69.219	85.6569	77.4009
b2655	56.8508	80.8569	42.6489
b2656	471.633	493.303	264.24
	2.73802	3.30824	8.61474
b2657	64.4044	88.3144	59.0059
	14.4492	9.52967	10.4778
b2658	28.745	40.4845	29.1535
	6.66337	8.05398	5.91169
b2659	369.268	399.702	262.442
b2660	766.555	743.701	467.189
b2661	1190.81	1274.34	914.574
b2662	843.31	770.387	640.838
	397.797	323.219	299.885
b2663	388.11	472.563	346.631
b2664	2824.56	3137.2	3064.91
b2665	1479.78	1623.22	1742.48
	91.5171	87.128	72.8282
	183.093	155.836	118.055
b2666	813.554	788.368	855.287
	276.338	251.556	257.701
b2667	286.278	299.681	330.708
b2668	250.724	219.579	250.132
	104.254	98.7279	90.6303
b2669	2885.36	3028.35	3181.06
	53.0715	55.1963	53.7323
b2670	17.4129	17.3712	13.4298
	35.4451	37.9331	27.1229
b2671	592.378	661.704	644.443
	193.578	143.058	146.205
b2672	3245.45	3163.05	3594.97
	26.0071	28.131	18.1166
b2673	855.974	804.464	771.154
b2674	437.194	389.971	427.894
b2675	375.775	314.568	339.694
b2676	172.03	171.125	196.972
	236.765	197.872	201.853
b2677	875.569	697.911	782.901
b2678	764.622	788.389	643.321
	437.395	423.469	335.814
b2679	771.443	723.084	747.511
	68.915	58.5681	58.2022
b2680	99.1465	78.6528	80.8766
b2681	27.7177	24.169	36.8111
	17.4756	10.0111	11.7312
b2682	947.59	877.29	839.714
b2683	1781.31	1597.64	1669.41
	1844.15	1424.13	1450.83
b2684	2958.5	2667.05	2721.56
	1074.45	634.991	741.886
b2685	867.642	849.01	853.932
b2686	164.901	146.62	178
	104.877	83.0417	97.0186
b2687	3035.13	2468.02	2646.94
	1907.5	1260.21	1497.48
b2688	2926.97	2648.06	2824.02
	1342.51	1039.85	1011.7
b2689	1382.62	1326.71	1251.22
b2690	808.55	642.637	719.179
	23.5599	12.6236	17.5353
b2691	1807.92	1384.71	1266.03
	3257.07	2993.43	3438.63
b2692	1616.14	1186.64	988.813
	3031.87	2706.51	2853.89
	2729.61	2022.29	2728.71
b2694	2049.13	1421.52	1421.84
b2695	3639.21	3212.57	3485.61
	33.3699	19.6816	38.0066
b2696	2378.29	2661.29	1898.53
	2751	2419.09	3188.14
b2697	3609.62	3957.78	3043.09
	2002.43	1750.51	1954.08
b2698	110.285	130.427	93.7602
	48.9753	39.6196	53.6387
b2699	1656.47	1855.46	1610.03
	1211.62	1009.4	1253.11
b2700	818.388	768.321	587.709
	232.765	181.394	238.255
b2701	837.919	911.711	577.198
	43.5093	37.2496	46.3779
b2702	582.046	589.614	429.957
b2703	380.014	431.541	442.288
b2704	146.261	148.568	125.444
b2705	340.311	377.784	304.77
	102.399	100.059	84.7425
b2706	286.599	252.81	200.042
	181.339	156.742	103.732
b2707	516.013	516.092	561.79
	268.914	272.409	313.366
b2708	1349.64	1481.58	1408.34
b2709	310.025	335.581	362.526
