This file contains columns C, BY, BZ, and CA from Supplementary Data 7 of Covert et al. 2004. “Integrating high-throughput and computational data elucidates bacterial networks”. Nature. May 2004.			
			
	WT -- aerobic		
			
Accession	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c
b0171	2817.63	2950.12	3316.19
	2748.95	2472.67	2707.49
b0172	2457.23	2053.95	2650.58
	2203.3	2397.32	2295.21
b0173	947.321	1109.29	1138.29
	649.809	509.75	459.217
b0174	1422.98	1169.74	1515.3
	802.854	553.74	585.096
b0175	733.746	686.08	634.324
b0176	2366.27	2768.04	2703.25
b0177	2691.68	2955.71	2671.85
	5253.17	4723.73	4913.72
b0178	5990.75	5860.93	6167.82
b0179	3148.03	3194.89	3224.56
	2118.56	1913.75	1627.51
b0180	3181.4	3299.78	3170.36
b0181	1766.71	1917.05	1923.7
b0182	825.604	788.124	749.711
b0183	1245.41	1239.52	1314.58
	556.03	414.983	463.189
b0184	2457.61	2406.92	2436.25
b0185	2088.51	2008.21	2053.63
	220.076	231.131	219.821
b0186	657.259	666.933	695.392
b0187	639.087	631.617	663.181
	618.6	528.046	526.29
b0188	875.481	988.55	1001.37
	295.703	251.83	261.999
b0189	927.242	866.882	935.887
	257.288	227.367	299.199
b0190	1291.95	1373.06	1454.68
b0191	1461.84	1576.81	1631.1
b0192	1153.86	1197.26	1191.24
	66.3111	58.8961	56.1165
b0193	487.422	465.746	522.106
b0194	2319.5	2113.39	2276.49
	1704.53	1751.37	1700.94
b0195	603.784	591.815	622.267
b0196	1776.62	1687.6	1725.26
	604.331	450.693	507.082
b0197	4934.5	4485.68	4695.35
	2265.42	1734.42	1626.04
b0198	2343.01	2204.48	2138.65
b0199	1545.43	1643.32	1653.19
	147.227	113.659	142.722
b0200	1297.46	1575.72	1517.27
	4631.76	4471.85	4302.49
b0201	5700.7	7013.43	6730.71
	3284.39	2777.39	3172.2
	167.643	125.229	137.488
	9301.06	8904.7	8951.43
b0204	3976.82	7630.03	8194.55
	5907.38	5787.18	5370.89
b0205	10267	10980.1	9912.73
	3158.51	2709.11	2529.91
b0206	3970.59	3301.07	3258.51
	46.6268	46.9226	46.806
b0207	326.448	387.734	360.59
b0208	239.439	228.709	265.612
	33.6284	21.6785	29.6182
	31.9004	33.6717	28.9203
b0209	424.76	353.05	421.595
b0210	174.748	190.846	237.907
	196.623	196.802	198.496
b0211	1298.69	1366.27	1661.03
	389.296	361.551	359.905
b0212	476.774	458.508	548.776
b0213	449.114	482.387	514.853
b0214	937.122	855.379	1068.69
	729.579	617.795	638.406
	17.8053	18.1064	18.0999
b0215	1026.74	874.851	1109.04
	222.75	189.263	200.586
b0216	3764.2	3332.79	2774.81
	28.1423	28.8822	24.1516
b0217	87.2911	77.6963	93.3541
	34.4186	34.744	26.4341
b0218	100.011	135.848	136.465
	120.927	130.319	155.625
b0219	493.612	551.992	502.515
	67.0842	87.8448	100.152
b0220	2232.5	2359.47	2322.84
	91.516	90.2217	85.5011
b0221	384.591	426.325	362.849
	298.374	305.639	386.932
b0222	1658.63	1614.01	1507.57
	1579.98	1199.75	1163.27
b0223	1238.02	1324.72	1211.66
b0224	1773.37	1704.15	1716.8
	78.4738	77.0731	75.0889
	1083.66	995.978	775.901
b0225	813.383	717.892	707.36
b0226	1150.2	1102.01	1184.52
	148.6	138.978	158.508
b0227	344.582	384.709	358.557
	83.7997	76.3982	66.8929
b0228	313.294	381.082	373.013
	1290.72	841.657	755.128
b0229	139.315	167.499	195.243
b0230	258.431	287.911	334.108
	41.3211	34.59	36.6535
	67.3231	42.9108	52.1554
b0231	297.455	334.383	372.724
	136.299	131.219	168.789
b0232	295.117	266.674	322.948
b0233	293.613	291.192	333.925
b0234	268.756	283.936	315.323
	15.1895	13.8299	21.543
b0235	100.797	113.233	143.748
b0236	151.353	184.448	169.036
	267.665	225.604	303.3
b0237	1591.66	1415.85	1480.78
	109.815	97.8335	79.3663
b0238	1986.16	1911.8	1950.84
	384.167	343.358	356.409
b0239	693.834	579.674	632.968
	148.184	145.738	145.548
b0240	3590.51	3300.49	3687.78
	268.841	296.394	301.853
b0241	150.648	146.515	146.381
	71.8148	63.8445	42.125
b0242	1410.52	1508.52	1637.25
b0243	1858.14	2330.99	2569.06
	420.598	412.192	454.095
b0244	2879.06	3350.98	3934.04
	219.074	216.443	249.886
b0245	70.2789	106.628	107.066
b0246	841.118	1186.53	1089.25
	660.905	594.878	525.62
b0247	233.578	275.583	286.193
b0248	93.722	128.543	145.493
	25.5929	28.9341	26.8729
b0249	446.371	576.162	548.15
	82.7477	102.633	83.0415
b0250	279.675	305.281	348.145
b0251	141.941	152.023	173.625
	96.3174	66.9957	58.4576
b0252	151.093	122.557	135.149
	116.124	148.127	228.131
b0253	535.896	502.968	570.55
	51.7125	49.1726	67.0758
b0254	373.95	339.703	406.514
	29.6058	35.8961	35.4003
b0255	549.072	633.654	689.2
	332.889	279.335	272.064
b0257	319.902	312.991	330.634
	390.504	407.765	321.528
b0258	584.102	673.718	573.721
	10.1312	5.55959	4.68659
	330.859	359.529	467.563
b0260	667.559	801.268	676.903
b0261	892.994	1035.53	970.352
	351.129	319.128	290.028
b0262	514.075	575.278	436.574
b0263	338.538	437.589	365.772
b0265	669.865	450.997	495.477
	491.494	449.622	493.543
b0266	391.566	341.378	375.05
	1567.81	1593.25	1584.96
b0267	404.75	479.582	473.791
	23.6969	24.8268	30.2904
b0268	141.659	156.541	167.483
b0269	799.035	955.601	951.267
	114.132	113.607	115.476
b0270	159.734	162.515	192.714
b0271	590.341	633.242	680.867
	111.713	91.4422	85.572
b0272	478.391	473.791	544.393
	822.825	673.143	713.191
b0273	2529.79	2450.55	2729.95
	890.635	976.419	973.093
	77.6143	73.5398	69.9891
b0276	212.46	215.044	226.873
	60.2578	46.8436	41.3133
b0277	108.679	116.616	137.004
	46.7504	70.4552	52.5316
b0278	102.236	115.152	122.195
b0279	48.4836	90.3342	85.4416
	75.9227	71.0285	105.157
b0280	1519.67	1543.78	1537.63
	145.9	141.833	145.84
b0281	715.915	661.747	670.328
	-163.033	-167.281	-177.857
b0282	184.617	196.692	207.404
b0283	231.263	245.097	273.111
b0284	307.551	265.078	296.395
b0285	625.496	767.231	794.045
b0286	359.569	369.761	394.335
	63.237	74.8533	77.0116
b0287	1726.08	1905.96	1593.58
	50.9083	56.0348	48.8224
b0288	335.144	393.428	442.499
	100.095	101.404	101.654
b0289	124.484	181.691	167.781
b0290	677.043	799.304	782.111
b0291	340.325	370.136	398.996
b0292	206.069	180.182	173.281
	34.5155	45.661	83.7656
b0293	161.58	169.08	174.913
	162.086	141.844	142.963
b0294	99.4723	112.833	142.5
	117.135	115.93	155.827
b0295	77.6879	73.9575	67.8806
	21.4157	22.9512	18.2271
b0296	103.405	102.408	122.788
	53.5273	30.6385	42.8994
b0297	256.85	311.231	274.118
b0300	599.914	385.519	327.046
	10.0804	9.05431	4.99385
	13.8732	14.2631	14.0399
b0301	260.04	357.266	270.125
b0302	116.277	147.184	134.202
b0303	67.5833	73.8893	59.6377
	19.7623	19.2564	34.3036
	72.7169	73.9707	87.5389
b0304	209.703	190.654	200.156
	28.1405	28.1872	24.9362
b0305	178.096	179.449	181.061
	41.0875	40.5827	62.4038
b0306	798.321	814.698	826.833
b0307	284.63	320.939	274.66
b0308	557.798	611.946	589.514
b0309	63.1227	49.5455	59.5386
	16.5358	21.7473	20.7352
	13.2711	18.6742	13.1587
b0310	101.023	136.776	122.208
	46.6003	42.1162	26.6753
b0311	594.709	592.034	633.47
b0312	802.793	775.664	816.91
b0313	1865.52	1870.83	1892.4
	134.298	138.297	158.465
b0314	795.721	823.399	884.444
	157.93	149.283	161.481
b0315	418.402	470.139	519.285
	30.2193	35.0591	32.3091
b0316	268.936	304.572	316.245
	38.4184	38.8477	32.2962
b0317	347.307	396.645	372.481
	43.8393	46.9062	49.5083
b0318	504.139	528.878	494.257
	68.0538	69.313	56.7562
b0319	164.19	177.471	185.159
b0320	132.833	147.27	158.623
b0321	574.927	612.877	661.91
b0322	1117.12	989.079	1132.56
	91.2603	108.8	86.3718
b0323	308.486	356.989	346.026
b0324	394.364	501.032	427.232
	664.673	616.628	688.06
b0325	1231.93	1297.1	1458.84
	20.7653	17.6235	22.3342
b0326	26.9892	29.8994	28.1387
	168.48	184.739	199.171
b0327	47.3167	63.1807	51.3311
	29.1211	46.0189	25.5642
b0328	232.732	285.222	260.324
	20.5368	22.1215	26.6247
b0329	1757.73	2431	2656.85
	79.3306	56.9375	39.8811
b0330	333.077	384.879	360.947
	22.1114	22.2861	28.9713
b0331	284.444	383.611	379.952
b0332	153.193	210.877	221.676
	110.768	104.511	75.8749
	55.8766	53.7843	58.011
b0333	395.111	396.44	431.299
b0334	61.2547	63.4259	63.0439
	108.877	169.689	38.8959
b0335	560.221	538.298	581.329
	849.105	925.597	845.596
b0336	2989.1	3129.59	3283.9
b0337	3069.08	3347.84	3492.97
	418.375	319.532	322.488
