"id"	"_comments"
"TU00493"	"RNA type not supported (tRNA)"
"TU00494"	"RNA type not supported (tRNA)"
"TU00495"	"RNA type not supported (tRNA)"
"TU00496"	"RNA type not supported (tRNA)"
"TU00497"	"RNA type not supported (tRNA)"
"TU00498"	"RNA type not supported (tRNA)"
"TU00499"	"RNA type not supported (tRNA)"
"TU00500"	"RNA type not supported (tRNA)"
"TU00501"	"RNA type not supported (tRNA)"
"TU00502"	"RNA type not supported (tRNA)"
"TU00503"	"RNA type not supported (tRNA)"
"TU00504"	"Contains two or more different types of RNA cistrons"
"TU00505"	"RNA type not supported (tRNA)"
"TU00506"	"RNA type not supported (tRNA)"
"TU00507"	"RNA type not supported (tRNA)"
"TU00508"	"RNA type not supported (tRNA)"
"TU00509"	"RNA type not supported (tRNA)"
"TU00510"	"RNA type not supported (tRNA)"
"TU00511"	"Contains two or more different types of RNA cistrons"
"TU00512"	"Contains two or more different types of RNA cistrons"
"TU00513"	"RNA type not supported (tRNA)"
"TU00514"	"RNA type not supported (tRNA)"
"TU00515"	"RNA type not supported (tRNA)"
"TU00516"	"RNA type not supported (tRNA)"
"TU00517"	"Contains two or more different types of RNA cistrons"
"TU00518"	"RNA type not supported (tRNA)"
"TU00519"	"RNA type not supported (tRNA)"
"TU00520"	"RNA type not supported (tRNA)"
"TU00521"	"RNA type not supported (tRNA)"
"TU00524"	"Contains two or more different types of RNA cistrons"
"TU341"	"Contains two or more different types of RNA cistrons"
"TU343"	"RNA type not supported (tRNA)"
"TU401"	"Contains two or more different types of RNA cistrons"
"TU402"	"Contains two or more different types of RNA cistrons"
"TU482"	"Contains two or more different types of RNA cistrons"
"TU524"	"Contains two or more different types of RNA cistrons"
"TU525"	"Contains two or more different types of RNA cistrons"
