# Generated by reconstruction/ecoli/scripts/rna_half_lives/convert_to_flat.py on Wed Apr 20 16:52:03 2022
"id"	"half_life (units.min)"
"EG10165"	5.3
"EG10166"	6.9
"EG10167"	4.6
"EG10169"	4.0
"EG10170"	0.6
"EG10172"	1.4
"EG10173"	3.7
"EG10174"	3.9
"EG10175"	4.5
"EG10176"	5.7
"EG10177"	12.9
"EG10178"	3.2
"EG10179"	3.3
"EG10180"	3.2
"EG10181"	4.3
"EG10182"	5.2
"EG10183"	2.8
"EG10184"	3.0
"EG10185"	1.9
"EG10186"	2.5
"EG10187"	1.9
"EG10188"	7.6
"EG10190"	1.9
"EG10191"	4.9
"EG10192"	8.7
"EG10193"	2.9
"EG10194"	1.9
"EG10195"	7.3
"EG10196"	2.5
"EG10197"	3.9
"EG10198"	3.0
"EG10200"	1.0
"EG10201"	2.2
"EG10202"	0.9
"EG10203"	1.4
"EG10204"	3.1
"EG10205"	2.6
"EG10206"	3.7
"EG10207"	3.7
"EG10208"	3.5
"EG10209"	3.3
"EG10211"	3.4
"EG10212"	4.2
"EG10213"	2.5
"EG10214"	12.4
"EG10215"	2.7
"EG10217"	2.5
"EG10218"	3.6
"EG10219"	15.8
"EG10220"	13.7
"EG10222"	9.7
"EG10223"	0.7
"EG10224"	2.0
"EG10225"	4.2
"EG10226"	3.2
"EG10227"	9.0
"EG10228"	9.6
"EG10229"	4.2
"EG10230"	4.7
"EG10231"	3.9
"EG10233"	5.9
"EG10234"	6.7
"EG10235"	1.9
"EG10236"	0.8
"EG10237"	4.8
"EG10239"	2.2
"EG10240"	2.5
"EG10241"	2.4
"EG10242"	2.4
"EG10243"	1.0
"EG10244"	5.5
"EG10245"	1.4
"EG10246"	1.2
"EG10247"	4.2
"EG10248"	5.2
"EG10249"	7.4
"EG10251"	4.0
"EG10253"	7.5
"EG10254"	2.1
"EG10255"	4.7
"EG10256"	8.6
"EG10257"	7.3
"EG10258"	4.7
"EG10259"	2.8
"EG10260"	2.7
"EG10261"	2.3
"EG10262"	2.8
"EG10263"	2.3
"EG10264"	1.9
"EG10265"	6.9
"EG10266"	10.9
"EG10268"	7.9
"EG10269"	4.6
"EG10270"	2.9
"EG10271"	2.4
"EG10272"	1.9
"EG10273"	2.4
"EG10274"	2.5
"EG10275"	3.3
"EG10276"	2.6
"EG10277"	2.4
"EG10278"	4.8
"EG10279"	6.8
"EG10280"	5.1
"EG10281"	1.2
"EG10282"	7.2
"EG10283"	3.3
"EG10284"	5.4
"EG10286"	2.7
"EG10287"	4.6
"EG10288"	5.9
"EG10289"	7.0
"EG10290"	8.5
"EG10291"	2.5
"EG10292"	2.4
"EG10293"	1.8
"EG10294"	2.8
"EG10295"	3.6
"EG10297"	5.1
"EG10298"	6.0
"EG10300"	1.4
"EG10301"	3.0
"EG10302"	2.1
"EG10303"	4.4
"EG10304"	4.4
"EG10305"	3.3
"EG10306"	1.9
"EG10307"	2.4
"EG10308"	6.3
"EG10309"	6.1
"EG10310"	3.7
"EG10311"	5.1
"EG10312"	7.4
"EG10313"	4.4
"EG10314"	4.9
"EG10316"	3.1
"EG10317"	3.3
"EG10318"	2.7
"EG10319"	5.1
"EG10320"	6.7
"EG10321"	8.1
"EG10322"	8.4
"EG10323"	7.0
"EG10324"	12.2
"EG10325"	1.2
"EG10326"	1.2
"EG10327"	5.0
"EG10328"	3.2
"EG10329"	5.6
"EG10330"	6.2
"EG10331"	5.6
"EG10332"	8.4
"EG10333"	8.3
"EG10334"	1.9
"EG10335"	3.8
"EG10336"	5.3
"EG10337"	3.5
"EG10338"	1.2
"EG10340"	4.3
"EG10341"	5.9
"EG10342"	22.9
"EG10343"	5.0
"EG10345"	3.4
"EG10346"	3.4
"EG10349"	9.8
"EG10351"	9.5
"EG10352"	13.5
"EG10353"	4.8
"EG10355"	11.2
"EG10356"	8.0
"EG10357"	12.4
"EG10359"	2.4
"EG10360"	5.4
"EG10361"	13.8
"EG10362"	4.5
"EG10363"	4.7
"EG10364"	1.1
"EG10365"	4.8
"EG10366"	4.6
"EG10367"	6.7
"EG10368"	2.8
"EG10369"	2.6
"EG10370"	1.9
"EG10371"	6.0
"EG10372"	1.9
"EG10374"	9.0
"EG10375"	2.5
"EG10376"	4.5
"EG10378"	2.5
"EG10379"	4.7
"EG10381"	2.3
"EG10382"	2.8
"EG10383"	3.1
"EG10384"	4.8
"EG10385"	3.8
"EG10386"	5.7
