Gene Name	Mean_Protein
intC	3.601
dsdA	1.887
evgS	5.08
oxc	2.869
b2384	0.918
b2385	0.062
yfeR	2.465
lig	22.029
cysM	10.097
ucpA	8.279
yfeU	4.785
hemF	12.758
eutB	6.341
b2443	0.177
eutI	0.168
b2459	0.707
b2463	46.601
tktB	77.395
yffH	14.4
ypfI	2.615
dapA	1.106
b2496	12.201
ppk	27.721
guaA	335.577
b2511	23.971
hisS	75.695
gcpE	39.344
yfgA	12.797
yfgB	27.658
ndk	178.237
b2520	0.716
pepB	49.951
b2529	462.18
b2530	826.119
yphE	1.44
glyA	1640.447
glnB	83.224
yfhA	9.277
purL	39.44
yfhC	10.129
acpS	11.815
recO	0.286
era	0.779
rnc	69.417
lepA	64.087
yfiD	119.553
ung	14.487
yfiF	17.936
yfiQ	11.377
pssA	94.049
clpB	115.102
sfhB	21.145
yfiA	555.169
tyrA	12.826
yfjB	16.726
recN	11.842
smpB	14.608
yfjK	0.616
yfjL	2.996
gabD	35.302
b2667	20.164
ygaP	76.627
nrdH	72.6
gshA	24.934
yqaB	14.264
csrA	473.979
alaS	86.147
mltB	0.157
hycI	11.311
hycE	1.628
hycA	2.634
hypA	1.855
hypB	3.38
hypC	2.249
hypD	3.857
hypE	0.307
ygbO	9.883
ygbB	36.76
cysN	3.897
ygbT	2.352
ygcM	18.614
ygcW	0.371
ygcE	1.077
ygcF	23.48
eno	567.312
barA	2.179
syd	11.303
exo	4.156
fucK	11.823
fucU	5.008
b2810	10.741
mltA	1.732
recD	4.761
recB	0.607
thyA	46.834
ygdP	35.789
mutH	1.131
lysA	11.292
kduI	1.355
yqeF	9.613
b2865	0.335
b2866	1.087
ygeV	1.041
hyuA	0.859
yqeA	4.488
yqeB	1.281
ygfT	0.572
ygfU	1.503
lysS	118.608
recJ	4.998
dsbC	1.016
gcvP	89.275
gcvT	40.084
visC	22.93
ubiH	12.71
pepP	103.99
ygfB	42.661
ygfA	3.221
iciA	33.368
ygfH	0.379
yggE	2.968
fba	676.369
pgk	564.396
tktA	290.091
metK	347.042
sprT	2.825
yqgE	25.114
yqgF	12.473
yggS	19.544
yggV	41.471
yggW	8.838
yggH	30.843
mutY	7.027
yggX	187.667
speC	3.562
b2971	1.701
glcB	17.56
hybD	4.163
yghA	16.686
yqhD	5.143
parC	25.585
parE	9.1
ribB	178.463
glnE	12.918
ygiF	20.325
cca	13.597
ygiP	0.682
ygjD	1.454
yqjI	77.963
ygjG	12.881
ygjH	0.964
uxaA	2.327
yqjD	424.162
yqjG	3.062
yhaJ	29.924
tdcD	0.222
yhaD	2.461
garL	1.704
yraL	12.601
yraM	3.57
yraN	0.838
yhbV	0.556
deaD	72.605
yhbM	4.596
pnp	938.13
rbfA	83.677
nusA	463.217
yhbC	44.951
argG	38.07
mrsA	146.558
hflB	83.183
ftsJ	10.389
yhbY	136.661
dacB	1.177
yhbZ	37.007
murA	50.691
yrbA	102.55
yrbB	23.886
yrbC	2.133
yrbH	15.163
yrbI	36.695
rpoN	42.382
yhbH	273.582
yhbJ	39.178
arcB	55.757
yhcC	0.233
gltB	174.805
gltD	277.748
b3223	6.814
sspB	45.473
sspA	240.998
yhcO	14.881
tldD	89.684
mreB	210.659
yhdA	7.66
prmA	11.378
yrdA	98.71
aroE	13.721
yrdC	10.37
def	52.034
fmt	25.687
rpsE	1047.083
tufA	3350.186
fusA	316.368
yheL	4.093
yheM	5.735
yheN	0.981
fkpA	3.937
slyD	482.605
yheT	0.882
prkB	10.524
yhfG	30.78
yhfR	5.759
yhfV	1.057
trpS	125.146
dam	8.907
aroB	31.075
mrcA	1.429
yrfG	16.216
yrfH	8.654
yrfI	81.892
ompR	80.769
feoA	150.981
yhgI	311.312
malQ	15.864
malP	8.255
glpD	70.686
glgP	57.187
glgC	1.458
ggt	3.027
ugpB	0.661
livJ	8.034
ftsX	28.608
yhhF	14.486
zntA	5.889
yhhP	10.855
dcrB	5.115
nikC	1.086
nikD	3.175
nikE	3.69
yhhG	21.956
yhiI	0.612
yhiR	8.781
gor	1.478
arsC	15.129
hdeB	7.761
hdeA	21.035
gadE	133.248
yhiU	0.875
gadA	674.735
kdgK	20.488
yhjJ	0.852
yhjL	2.848
yhjS	0.564
yhjU	0.322
dppA	0.294
yiaE	53.84
yiaF	0.202
cspA	714.6
yiaJ	19.032
sgbH	7.154
yiaV	2.289
aldB	11.944
selB	7.13
yibA	6.123
yibL	38.285
lctD	10.901
yibK	4.354
gpsA	26.034
secB	672.937
yibN	12.9
yibO	102.283
kbl	23.183
htrL	11.33
rfaD	147.463
kdtA	10.62
mutM	1.208
dfp	17.072
dut	119.921
gmk	39.269
rpoZ	658.288
spoT	29.004
recG	6.894
yicH	1.829
nlpA	2.178
ilvB	14.499
yidH	0.675
hslS	15.185
hslT	217.956
yidR	12.309
gyrB	147.49
dnaA	27.88
rnpA	30.117
thdF	159.266
tnaA	351.358
yieF	9.297
bglG	1.333
pstB	214.905
pstC	175.447
pstS	38.587
glmU	42.07
atpC	0.15
atpD	685.856
atpG	66.565
atpA	369.139
atpH	91.026
gidB	12.989
asnC	78.409
yieM	2.448
yieN	12.96
rbsB	0.22
ilvD	17.82
