"id"	"stoichiometry"	"direction"	"catalyzed_by"	
"2.1.1.72-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"DNA-Adenines[CCO-CYTOSOL]":-1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"DNA-Containing-N6-Methyladenine[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["EG11498-MONOMER", "EG10204-MONOMER"]	
"2.1.1.77-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"PROTEIN-L-BETA-ISOASPARTATES[CCO-CYTOSOL]":-1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS[CCO-CYTOSOL]":1}	"L2R"	["EG10689-MONOMER"]	
"2.1.1.79-RXN-S-ADENOSYLMETHIONINE/CPD-18361//CPD-18373/ADENOSYL-HOMO-CYS/PROTON.67."	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"CPD-18361[CCO-CYTOSOL]":-1,"CPD-18373[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CFA-CPLX"]	
"2.1.1.79-RXN-S-ADENOSYLMETHIONINE/CPD-18362//CPD-18406/ADENOSYL-HOMO-CYS/PROTON.67."	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"CPD-18362[CCO-CYTOSOL]":-1,"CPD-18406[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CFA-CPLX"]	
"2.1.1.79-RXN-S-ADENOSYLMETHIONINE/CPD-18367//CPD-18371/ADENOSYL-HOMO-CYS/PROTON.67."	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"CPD-18367[CCO-CYTOSOL]":-1,"CPD-18371[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CFA-CPLX"]	
"2.1.1.79-RXN-S-ADENOSYLMETHIONINE/CPD-18369//CPD-18372/ADENOSYL-HOMO-CYS/PROTON.67."	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"CPD-18369[CCO-CYTOSOL]":-1,"CPD-18372[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CFA-CPLX"]	
"2.1.1.79-RXN-S-ADENOSYLMETHIONINE/CPD-18392//CPD-18405/ADENOSYL-HOMO-CYS/PROTON.67."	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"CPD-18392[CCO-CYTOSOL]":-1,"CPD-18405[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CFA-CPLX"]	
"2.1.1.79-RXN-S-ADENOSYLMETHIONINE/CPD-18403//CPD-18404/ADENOSYL-HOMO-CYS/PROTON.67."	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"CPD-18403[CCO-CYTOSOL]":-1,"CPD-18404[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CFA-CPLX"]	
"2.3.1.118-RXN"	{"N-Hydroxy-Arylamines[CCO-CYTOSOL]":-1,"ACETYL-COA[CCO-CYTOSOL]":-1,"N-Acetoxy-Arylamines[CCO-CYTOSOL]":1,"CO-A[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-236"]	
"2.3.1.157-RXN"	{"GLUCOSAMINE-1P[CCO-CYTOSOL]":-1,"ACETYL-COA[CCO-CYTOSOL]":-1,"N-ACETYL-D-GLUCOSAMINE-1-P[CCO-CYTOSOL]":1,"CO-A[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["NAG1P-URIDYLTRANS-CPLX"]	
