"geneId"	"name"	"translationEfficiency"
"EG10179"	"cyoB"	1.07788819061
"EG10178"	"cyoA"	1.2294504653
"EG12183"	"ampG"	0.508355091022
"EG12182"	"yajG"	4.18973942374
"EG10125"	"bolA"	1.87023089881
"EG11003"	"tig"	2.90003438842
"EG10158"	"clpP"	1.91064129153
"EG10159"	"clpX"	1.19553554289
"EG10542"	"lon"	1.12429357939
"EG10467"	"hupB"	2.25975569741
"G6242"	"ppiD"	1.61434024837
"G6245"	"queC"	2.56831413249
"G6246"	"cof"	1.05541176166
"G6247"	"ybaO"	1.2807510395
"G6248"	"mdlA"	0.774504930454
"EG11622"	"mdlB"	0.640838046336
"EG10995"	"tesB"	2.54452746803
"G6250"	"ybaY"	3.05453997984
"G6252"	"ylaB"	0.636450499581
"G6253"	"ylaC"	2.61413825489
"G58"	"maa"	0.887791156476
"EG10439"	"hha"	3.79944878387
"EG12429"	"tomB"	0.0606587778978
"EG11704"	"acrB"	0.897841383593
"EG11703"	"acrA"	1.4536396518
"EG12116"	"acrR"	2.09013120371
"EG10765"	"priC"	0.891012985437
"EG12843"	"ybaN"	1.20133326053
"EG10051"	"apt"	2.311509705
"EG11100"	"ybaB"	3.24759427656
"EG10834"	"recR"	0.458714028885
"EG10461"	"htpG"	2.10634398021
"EG10032"	"adk"	4.61235229409
"EG10431"	"hemH"	1.39944597457
"EG11102"	"gsk"	2.20721233791
"EG12623"	"ybaL"	1.03373187872
"G6256"	"fsr"	1.59269344059
"EG11060"	"ushA"	1.48272011309
"EG12454"	"ybaK"	3.30416819268
"G6258"	"ybaP"	0.810857315273
"G6259"	"ybaQ"	1.65236013378
"G6260"	"copA"	1.50554509476
"G6263"	"cueR"	1.6782702713
"G6265"	"qmcA"	1.53628222464
"G6266"	"ybbL"	2.33878300003
"G6267"	"ybbM"	1.27959829213
"G6268"	"ybbN"	2.40625725192
"G6269"	"ybbO"	1.08439313352
"EG11542"	"tesA"	1.85870791919
"G6270"	"ybbP"	0.715594301055
"EG10849"	"rhsD"	1.03431284456
"G6276"	"allR"	1.74231420026
"EG10796"	"purK"	1.18953935826
"EG10793"	"purE"	1.78912087596
"EG12666"	"lpxH"	0.321659111825
"EG10758"	"ppiB"	3.29989241744
"EG10196"	"cysS"	2.44940411575
"EG12879"	"ybcJ"	1.56463220112
"EG10328"	"folD"	2.96715900746
"EG10507"	"intD"	0.211667698771
"EG10629"	"emrE"	1.75082329319
"G6312"	"borD"	3.17206245481
"EG10050"	"appY"	1.37616200505
"EG10673"	"ompT"	2.99486167519
"EG11740"	"nfrA"	0.760872194217
"EG11739"	"nfrB"	0.28395561372
"G6318"	"cusS"	1.10576237853
"G6319"	"cusR"	1.15087442447
"EG10708"	"pheP"	1.0791053976
"G7840"	"mscM"	1.33180448407
"EG50005"	"nfsB"	3.10501623602
"EG10264"	"entF"	0.62586701188
"EG11104"	"entS"	0.690764054999
"EG10294"	"fepB"	1.64457626279
"EG10167"	"cstA"	0.829047597446
"EG12692"	"ybdH"	0.471496498999
"G6329"	"ybdL"	1.04485007997
"G6333"	"dsbG"	3.12986432488
"EG11384"	"ahpC"	4.38785027382
"EG11385"	"ahpF"	2.31531081817
"G6334"	"uspG"	2.33991467598
"G6337"	"rnk"	3.44100013544
"EG10856"	"rna"	2.23231629802
"G6345"	"dpiB"	0.361529758655
"EG12179"	"cspE"	2.78855160145
"EG12209"	"crcB"	2.8405176742
"EG11305"	"tatE"	1.90944705865
"EG11306"	"lipA"	2.08763863247
"EG11591"	"lipB"	1.57270810183
"EG11592"	"ybeD"	3.25594910775
"EG10201"	"dacA"	2.07786314187
"EG10854"	"rlpA"	1.27129945241
"EG10607"	"mrdB"	0.816843346344
"EG10606"	"mrdA"	0.660480558384
"EG11254"	"rlmH"	0.65178652856
"G6349"	"cobC"	0.473952828342
"G6350"	"nadD"	0.84802160889
"EG11412"	"holA"	0.303354185726
"EG10855"	"lptE"	0.553181199483
"EG10532"	"leuS"	2.0764144933
"G6358"	"rihA"	2.45215444524
"EG12663"	"gltL"	1.56282337777
"EG12662"	"gltK"	0.84143719184
"EG12661"	"gltJ"	1.13003910077
"G6359"	"gltI"	2.13087166574
"EG10168"	"lnt"	0.759019631045
"G6361"	"ybeX"	0.684351796078
"G6362"	"ybeY"	1.14023234949
"G6363"	"ybeZ"	1.91593664482
"G6364"	"miaB"	1.93644643549
"G6365"	"ubiF"	1.58576790879
"EG10092"	"asnB"	2.14591313308
"EG10634"	"nagD"	1.90466830521
"EG10636"	"nagC"	1.36355594088
"EG10632"	"nagA"	0.860753904514
"EG10633"	"nagB"	2.73351017009
"EG10635"	"nagE"	1.16672617646
"EG10390"	"glnS"	1.98009452888
"EG10359"	"fur"	1.66209562303
"G0-10580"	"uof"	0.0692348171533
"EG10318"	"fldA"	3.64700099532
"EG11775"	"ybfE"	1.88952750878
"EG11776"	"ybfF"	2.23052842942
"EG12197"	"seqA"	2.1328478166
"EG12144"	"pgm"	1.28658273603
"EG10517"	"kdpE"	1.21462061605
"EG10516"	"kdpD"	0.742956859305
"EG11521"	"ybfA"	2.38609640712
"EG10736"	"phr"	0.636812221945
"G6378"	"dtpD"	1.4547179195
"G6379"	"ybgI"	2.40711607966
"G6380"	"ybgJ"	0.518029361498
"G6381"	"ybgK"	0.59008595828
"G6382"	"ybgL"	0.525380965063
"G6383"	"nei"	1.00975261592
"EG10402"	"gltA"	2.66153420414
"EG10933"	"sdhC"	3.20716128186
"EG10934"	"sdhD"	2.420165747
"EG10931"	"sdhA"	1.91275314889
"EG10932"	"sdhB"	2.15826064129
"EG10979"	"sucA"	1.55181118254
"EG10980"	"sucB"	2.52186191614
"EG10981"	"sucC"	1.93554655701
"EG10982"	"sucD"	2.16244605099
"EG11109"	"mngR"	1.57379584366
"EG13236"	"mngB"	0.76432207657
"EG10173"	"cydA"	0.98382948668
"EG10174"	"cydB"	0.891283331737
"G0-10441"	"ybgT"	1.62042345648
"EG12395"	"ybgE"	0.311194822745
"EG11110"	"ybgC"	0.878427678054
"EG11010"	"tolQ"	1.75397516187
"EG11011"	"tolR"	0.827670768696
"EG11007"	"tolA"	0.499255195933
"EG11008"	"tolB"	1.05310486461
"EG10684"	"pal"	2.91555477384
"EG12854"	"ybgF"	0.645842333993
"EG10630"	"nadA"	1.92669743985
"EG11700"	"pnuC"	0.9657003748
"EG10079"	"aroG"	2.37466080785
"EG11699"	"gpmA"	3.67342185102
"EG11698"	"galM"	1.1542517586
"EG10363"	"galK"	0.832754444082
"EG10366"	"galT"	1.02823140314
"EG10362"	"galE"	2.90487722632
"EG11677"	"modF"	0.763289326601
"G6395"	"modE"	2.55065885952
"EG12427"	"modA"	2.12507730311
"EG10002"	"modB"	0.575284471032
"EG10152"	"modC"	0.436438661451
"EG11239"	"ybhA"	3.04391324621
"G6397"	"pgl"	2.39825885849
"EG12875"	"ybhC"	1.67593203338
"EG11238"	"ybhB"	0.717612969222
"EG10117"	"bioA"	1.64906002385
"EG10118"	"bioB"	1.9571653599
"EG10121"	"bioF"	0.55442142234
"EG10119"	"bioC"	0.501435474082
"EG10120"	"bioD"	1.62752536799
"EG11062"	"uvrB"	0.87369691675
"G6402"	"ybhK"	1.14459713095
"EG11595"	"moaA"	0.535239468642
"EG11596"	"moaB"	1.38798110754
"EG11666"	"moaC"	1.2875426371
