"left"	"right"	"id"	"rho"	"name"
762182	762189	"TERM01022"	"1"	"TERM01022"
757667	757673	"TERM01023"	"1"	"TERM01023"
4464307	4464321	"TERM01024"	"0"	"TERM01024"
1112755	1112783	"TERM0141"	"0"	"TERM0141"
2595825	2595846	"TERM0161"	"0"	"TERM0161"
4311824	4311850	"TERM0183"	"0"	"TERM0183"
3575645	3575675	"TERM0201"	"0"	"TERM0201"
2820692	2820709	"TERM0202"	"0"	"TERM0202"
1386291	1386325	"TERM0221"	"0"	"TERM0221"
360436	360460	"TERM0222"	"0"	"TERM0222"
360364	360403	"TERM0223"	"0"	"TERM0223"
4104384	4104402	"TERM0241"	"0"	"TERM0241"
4240562	4240578	"TERM0242"	"0"	"TERM0242"
1309839	1309870	"TERM0261"	"0"	"TERM0261"
3267984	3267997	"TERM0281"	"0"	"TERM0281"
3268097	3268110	"TERM0282"	"0"	"TERM0282"
3268210	3268223	"TERM0283"	"0"	"TERM0283"
2922188	2922213	"TERM0301"	"0"	"TERM0301"
2534385	2534402	"TERM0322"	"0"	"TERM0322"
3903659	3903710	"TERM0344"	"0"	"TERM0344"
4049264	4049303	"TERM0361"	"0"	"TERM0361"
3573711	3573734	"TERM0382"	"0"	"TERM0382"
1669727	1669744	"TERM041"	"0"	"TERM041"
3575029	3575061	"TERM0421"	"0"	"TERM0421"
4547945	4547965	"TERM0441"	"0"	"TERM0441"
1930109	1930129	"TERM0461"	"0"	"TERM0461"
498169	498204	"TERM0503"	"0"	"TERM0503"
3662966	3662984	"TERM0521"	"0"	"TERM0521"
4054013	4054032	"TERM0541"	"0"	"TERM0541"
3900272	3900315	"TERM0563"	"0"	"TERM0563"
3904616	3904657	"TERM0564"	"0"	"TERM0564"
423710	423732	"TERM0582"	"0"	"TERM0582"
423754	423777	"TERM0583"	"0"	"TERM0583"
3346283	3346311	"TERM0601"	"1"	"TERM0601"
3662938	3662958	"TERM061"	"0"	"TERM061"
2354745	2354774	"TERM0621"	"0"	"TERM0621"
3375778	3375804	"TERM0641"	"0"	"TERM0641"
3056666	3056682	"TERM0661"	"0"	"TERM0661"
714434	714465	"TERM0681"	"0"	"TERM0681"
1066056	1066080	"TERM0702"	"0"	"TERM0702"
138801	138816	"TERM0703"	"0"	"TERM0703"
2506446	2506469	"TERM0741"	"0"	"TERM0741"
2005666	2005698	"TERM0761"	"0"	"TERM0761"
4112550	4112571	"TERM0781"	"0"	"TERM0781"
2217682	2217704	"TERM0782"	"0"	"TERM0782"
2840499	2840523	"TERM0801"	"0"	"TERM0801"
3148574	3148598	"TERM081"	"0"	"TERM081"
705162	705188	"TERM0821"	"0"	"TERM0821"
1814282	1814306	"TERM0841"	"0"	"TERM0841"
707177	707201	"TERM0862"	"0"	"TERM0862"
