"id"	"stoichiometry"	"direction"	"catalyzed_by"	
"1.8.1.4-RXN"	{"Dihydro-Lipoyl-Proteins[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"Lipoyl-Protein-N6-lipoyllysine[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["E3-CPLX"]	
"1.8.4.12-RXN"	{"Protein-L-methionine[CCO-CYTOSOL]":-1,"Ox-Thioredoxin[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"Protein-L-methionine-R-S-oxides[CCO-CYTOSOL]":1,"Red-Thioredoxin[CCO-CYTOSOL]":1}	"R2L"	["EG12394-MONOMER"]	
"1.8.4.13-RXN"	{"MET[CCO-CYTOSOL]":-1,"Ox-Thioredoxin[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8989[CCO-CYTOSOL]":1,"Red-Thioredoxin[CCO-CYTOSOL]":1}	"R2L"	["EG10124-MONOMER", "EG11433-MONOMER"]	
"1.8.4.13-RXN-MET/Ox-thioredoxins-1/WATER//CPD-8989/Red-thioredoxins-1.57."	{"MET[CCO-CYTOSOL]":-1,"Ox-thioredoxins-1[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8989[CCO-CYTOSOL]":1,"Red-thioredoxins-1[CCO-CYTOSOL]":1}	"R2L"	["EG10124-MONOMER", "EG11433-MONOMER"]	
"1.8.4.13-RXN-MET/Oxidized-CcmG-Proteins/WATER//CPD-8989/Reduced-CcmG-Proteins.65."	{"MET[CCO-CYTOSOL]":-1,"Oxidized-CcmG-Proteins[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8989[CCO-CYTOSOL]":1,"Reduced-CcmG-Proteins[CCO-CYTOSOL]":1}	"R2L"	["EG10124-MONOMER", "EG11433-MONOMER"]	
"1.8.4.13-RXN-MET/Oxidized-CcmH-Proteins/WATER//CPD-8989/Reduced-CcmH-Proteins.65."	{"MET[CCO-CYTOSOL]":-1,"Oxidized-CcmH-Proteins[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8989[CCO-CYTOSOL]":1,"Reduced-CcmH-Proteins[CCO-CYTOSOL]":1}	"R2L"	["EG10124-MONOMER", "EG11433-MONOMER"]	
"1.8.4.14-RXN"	{"MET[CCO-CYTOSOL]":-1,"Ox-Thioredoxin[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8990[CCO-CYTOSOL]":1,"Red-Thioredoxin[CCO-CYTOSOL]":1}	"R2L"	["EG12394-MONOMER", "CPLX0-8217"]	
"1.8.4.14-RXN-MET/Ox-thioredoxins-1/WATER//CPD-8990/Red-thioredoxins-1.57."	{"MET[CCO-CYTOSOL]":-1,"Ox-thioredoxins-1[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8990[CCO-CYTOSOL]":1,"Red-thioredoxins-1[CCO-CYTOSOL]":1}	"R2L"	["EG12394-MONOMER", "CPLX0-8217"]	
"1.8.4.14-RXN-MET/Oxidized-CcmG-Proteins/WATER//CPD-8990/Reduced-CcmG-Proteins.65."	{"MET[CCO-CYTOSOL]":-1,"Oxidized-CcmG-Proteins[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8990[CCO-CYTOSOL]":1,"Reduced-CcmG-Proteins[CCO-CYTOSOL]":1}	"R2L"	["EG12394-MONOMER", "CPLX0-8217"]	
"1.8.4.14-RXN-MET/Oxidized-CcmH-Proteins/WATER//CPD-8990/Reduced-CcmH-Proteins.65."	{"MET[CCO-CYTOSOL]":-1,"Oxidized-CcmH-Proteins[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-8990[CCO-CYTOSOL]":1,"Reduced-CcmH-Proteins[CCO-CYTOSOL]":1}	"R2L"	["EG12394-MONOMER", "CPLX0-8217"]	
"1.8.4.8-RXN"	{"3-5-ADP[CCO-CYTOSOL]":-1,"SO3[CCO-CYTOSOL]":-1,"Ox-Thioredoxin[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-2,"PAPS[CCO-CYTOSOL]":1,"Red-Thioredoxin[CCO-CYTOSOL]":1}	"R2L"	["PAPSSULFOTRANS-CPLX"]	
"1.8.4.8-RXN-3-5-ADP/SO3/Ox-thioredoxins-1/PROTON//PAPS/Red-thioredoxins-1.62."	{"3-5-ADP[CCO-CYTOSOL]":-1,"SO3[CCO-CYTOSOL]":-1,"Ox-thioredoxins-1[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-2,"PAPS[CCO-CYTOSOL]":1,"Red-thioredoxins-1[CCO-CYTOSOL]":1}	"R2L"	["PAPSSULFOTRANS-CPLX"]	
"1.8.4.8-RXN-3-5-ADP/SO3/Oxidized-CcmG-Proteins/PROTON//PAPS/Reduced-CcmG-Proteins.70."	{"3-5-ADP[CCO-CYTOSOL]":-1,"SO3[CCO-CYTOSOL]":-1,"Oxidized-CcmG-Proteins[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-2,"PAPS[CCO-CYTOSOL]":1,"Reduced-CcmG-Proteins[CCO-CYTOSOL]":1}	"R2L"	["PAPSSULFOTRANS-CPLX"]	
"1.8.4.8-RXN-3-5-ADP/SO3/Oxidized-CcmH-Proteins/PROTON//PAPS/Reduced-CcmH-Proteins.70."	{"3-5-ADP[CCO-CYTOSOL]":-1,"SO3[CCO-CYTOSOL]":-1,"Oxidized-CcmH-Proteins[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-2,"PAPS[CCO-CYTOSOL]":1,"Reduced-CcmH-Proteins[CCO-CYTOSOL]":1}	"R2L"	["PAPSSULFOTRANS-CPLX"]	
"1.97.1.4-A-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"PYRUVFORMLY-INACTIVE-CPLX[CCO-CYTOSOL]":-1,"Reduced-flavodoxins[CCO-CYTOSOL]":-1,"CH33ADO[CCO-CYTOSOL]":1,"MET[CCO-CYTOSOL]":1,"PYRUVFORMLY-CPLX[CCO-CYTOSOL]":1,"Oxidized-flavodoxins[CCO-CYTOSOL]":1}	"L2R"	["PFLACTENZ-MONOMER"]	
"2.1.1.63-RXN"	{"PROT-CYS[CCO-CYTOSOL]":-1,"DNA-6-O-Methyl-Guanines[CCO-CYTOSOL]":-1,"Protein-S-methyl-L-cysteine[CCO-CYTOSOL]":1,"DNA-Guanines[CCO-CYTOSOL]":1}	"L2R"	["PD00230", "EG10668-MONOMER"]	
"2.3.1.128-RXN"	{"ACETYL-COA[CCO-CYTOSOL]":-1,"S18-N-terminal-L-alanine[CCO-CYTOSOL]":-1,"Acetylated-S18-N-terminal-L-alanine[CCO-CYTOSOL]":1,"CO-A[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["EG10850-MONOMER"]	
"2.3.1.179-RXN"	{"Palmitoleoyl-ACPs[CCO-CYTOSOL]":-1,"MALONYL-ACP[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"3-oxo-cis-vaccenoyl-ACPs[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1,"ACP[CCO-CYTOSOL]":1}	"L2R"	["3-OXOACYL-ACP-SYNTHII-CPLX"]	
"2.3.1.180-RXN"	{"ACETYL-COA[CCO-CYTOSOL]":-1,"MALONYL-ACP[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"Acetoacetyl-ACPs[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1,"CO-A[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-252"]	
"2.3.1.41-RXN"	{"Long-Chain-Acyl-ACPs[CCO-CYTOSOL]":-1,"MALONYL-ACP[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"Long-Chain-3-oxo-ACPs[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1,"ACP[CCO-CYTOSOL]":1}	"L2R"	["FABB-CPLX"]	
"2.3.1.49-RXN"	{"HOLO-CITRATE-LYASE[CCO-CYTOSOL]":-1,"S-ACETYLPHOSPHOPANTETHEINE[CCO-CYTOSOL]":-1,"CITRATE-LYASE[CCO-CYTOSOL]":1,"PANTETHEINE-P[CCO-CYTOSOL]":1}	"L2R"	[]	
"2.7.13.1-RXN"	{"ATP[CCO-CYTOSOL]":-1,"Protein-Histidines[CCO-CYTOSOL]":-1,"Protein-pi-phospho-L-histidines[CCO-CYTOSOL]":1,"ADP[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-8288"]	
"2.7.3.9-RXN"	{"PHOSPHO-ENOL-PYRUVATE[CCO-CYTOSOL]":-1,"Hpr-Histidine[CCO-CYTOSOL]":-1,"PYRUVATE[CCO-CYTOSOL]":1,"Hpr-pi-phospho-L-histidines[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-7938"]	
"2.7.7.61-RXN"	{"2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-[CCO-CYTOSOL]":-1,"APO-CITRATE-LYASE[CCO-CYTOSOL]":-1,"HOLO-CITRATE-LYASE[CCO-CYTOSOL]":1,"PPI[CCO-CYTOSOL]":1}	"L2R"	["G6340-MONOMER"]	
"2OXOGLUTDECARB-RXN"	{"2-KETOGLUTARATE[CCO-CYTOSOL]":-1,"Oxo-glutarate-dehydrogenase-lipoyl[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"Oxo-glutarate-dehydro-suc-DH-lipoyl[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1}	"L2R"	["E1O", "2OXOGLUTARATEDEH-CPLX"]	
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76."	{"POLYMER-INST-OH-ACYL-ACP-C0-H0[CCO-CYTOSOL]":-1,"POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["FABZ-CPLX", "FABA-CPLX"]	
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60."	{"POLYMER-INST-OH-ACYL-ACP-C12-H24[CCO-CYTOSOL]":-1,"2-Hexadecenoyl-ACPs[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["FABZ-CPLX", "FABA-CPLX"]	
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76."	{"POLYMER-INST-OH-ACYL-ACP-C4-H8[CCO-CYTOSOL]":-1,"POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["FABZ-CPLX", "FABA-CPLX"]	
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxyarachidoyl-ACPs//trans-delta2-arachidoyl-ACPs/WATER.63."	{"R-3-hydroxyarachidoyl-ACPs[CCO-CYTOSOL]":-1,"trans-delta2-arachidoyl-ACPs[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["FABZ-CPLX", "FABA-CPLX"]	
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxystearoyl-ACPs//Octadec-2-enoyl-ACPs/WATER.53."	{"R-3-hydroxystearoyl-ACPs[CCO-CYTOSOL]":-1,"Octadec-2-enoyl-ACPs[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["FABZ-CPLX", "FABA-CPLX"]	
"3-OXOACYL-ACP-REDUCT-RXN-Beta-hydroxydecanoyl-ACPs/NADP//POLYMER-INST-B-KETOACYL-ACP-C6-H12/NADPH/PROTON.80."	{"Beta-hydroxydecanoyl-ACPs[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"POLYMER-INST-B-KETOACYL-ACP-C6-H12[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-8005"]	
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0/NADP//Acetoacetyl-ACPs/NADPH/PROTON.67."	{"POLYMER-INST-OH-ACYL-ACP-C0-H0[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"Acetoacetyl-ACPs[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-8005"]	
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24/NADP//3-oxo-palmitoyl-ACPs/NADPH/PROTON.73."	{"POLYMER-INST-OH-ACYL-ACP-C12-H24[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"3-oxo-palmitoyl-ACPs[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-8005"]	
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8/NADP//3-Oxo-octanoyl-ACPs/NADPH/PROTON.70."	{"POLYMER-INST-OH-ACYL-ACP-C4-H8[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"3-Oxo-octanoyl-ACPs[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-8005"]	
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxyarachidoyl-ACPs/NADP//3-oxo-arachidoyl-ACPs/NADPH/PROTON.68."	{"R-3-hydroxyarachidoyl-ACPs[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"3-oxo-arachidoyl-ACPs[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-8005"]	
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxystearoyl-ACPs/NADP//3-oxo-stearoyl-ACPs/NADPH/PROTON.64."	{"R-3-hydroxystearoyl-ACPs[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"3-oxo-stearoyl-ACPs[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-8005"]	
"3-OXOACYL-ACP-SYNTH-BASE-RXN"	{"MALONYL-ACP[CCO-CYTOSOL]":-1,"ACETYL-ACP[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"ACP[CCO-CYTOSOL]":1,"Acetoacetyl-ACPs[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1}	"L2R"	["FABB-CPLX", "3-OXOACYL-ACP-SYNTHII-CPLX"]	
"3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/Arachidoyl-ACPs/PROTON//ACP/3-oxo-behenoyl-ACPs/CARBON-DIOXIDE.75."	{"MALONYL-ACP[CCO-CYTOSOL]":-1,"Arachidoyl-ACPs[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"ACP[CCO-CYTOSOL]":1,"3-oxo-behenoyl-ACPs[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1}	"L2R"	["3-OXOACYL-ACP-SYNTHII-CPLX", "FABB-CPLX"]	
