gene symbol	hour_6_mean_protein_count
betI	3.5
bfr	17.5
bglA	121.5
bglB	1.5
bglF	1.0
bglG	0.5
bglX	278.0
bioA	18.0
bioB	194.0
bioC	0.5
bioD	66.5
bioF	21.0
bioH	49.0
bipA	390.0
birA	11.0
bisC	119.0
blc	1.0
bolA	25.0
brnQ	0.5
btuB	295.5
btuD	3.0
btuE	54.0
btuR	4.5
cadA	2.5
cadC	0.5
caiA	1.0
caiC	1.5
caiT	1.0
carA	761.0
carB	888.5
cbl	14.5
cbpA	15.5
cca	16.5
ccmA	1.0
ccmE	10.5
ccmG	3.0
ccmH	1.5
cdd	52.5
cdh	19.0
cedA	2.0
celA	1.0
celD	0.5
celF	3.0
cfa	105.0
cheB	6.0
cheR	2.5
cheY	0.5
cheZ	3.0
chiA	8.0
chpA	18.0
chpR	1.0
cirA	332.5
citC	4.0
citD	0.5
citG	1.0
clpA	1.5
clpB	682.5
clpP	228.0
clpS	4.5
clpX	399.0
cls	6.5
cmk	54.5
cmtA	5.0
coaA	52.0
coaD	81.5
coaE	6.5
cobB	5.0
cobS	2.0
cobT	12.0
cobU	0.5
codA	188.5
codB	2.0
cof	0.5
copA	88.5
corA	8.5
cpdA	6.0
cpdB	30.5
cpsB	0.5
cpsG	27.0
cpxA	14.0
cpxP	9.0
cpxR	64.5
creA	87.5
creB	4.5
creC	0.5
crl	42.5
crp	101.0
crr	160.5
csdA	45.0
csiD	6.0
cspA	253.0
cspC	960.5
cspD	23.5
cspE	46.0
cspG	65.0
csrA	4.0
cueO	106.0
cueR	12.0
cusA	22.0
cusB	67.5
cusC	82.5
cusR	3.0
cusS	7.5
cutA	11.0
cutC	57.0
cutF	8.0
cyaA	72.0
cyaY	12.0
cycA	1.0
cydA	18.0
cydC	72.5
cydD	40.5
cynR	2.5
cynS	0.5
cyoA	896.0
cyoB	53.5
cyoC	2.0
cyoD	2.0
cyoE	1.0
cysA	190.5
cysB	74.5
cysC	70.0
cysD	216.0
cysE	167.5
cysG	83.0
cysH	212.5
cysI	615.5
cysJ	495.5
cysK	2406.0
cysM	201.0
cysN	278.0
cysP	415.5
cysQ	26.0
cysS	254.5
cysU	1.0
cytR	13.5
dacA	321.0
dacB	71.0
dacC	189.5
dacD	1.0
dadA	8.5
dadX	7.0
dam	3.5
damX	163.0
dapA	209.5
dapB	183.5
dapD	91.5
dapE	153.0
dapF	17.5
dbpA	5.5
dcd	84.5
dcp	153.0
dcrB	59.0
dctA	7.5
dcuA	1.0
dcuR	1.0
ddg	0.5
ddl	86.5
ddl	62.5
deaD	273.5
dedA	0.5
dedD	50.5
def	95.0
degP	640.0
degQ	128.5
degS	48.0
deoA	31.5
deoB	98.0
deoC	62.0
deoD	149.0
deoR	10.0
dfp	103.5
dgoD	2.5
dgoR	8.0
dgt	5.5
dhaK	51.0
dhaL	64.0
dhaM	157.0
dhaR	2.5
dinB	2.0
dinD	1.0
dinG	1.0
dinI	23.5
dinJ	5.5
dipZ	11.0
djlA	57.5
dkgA	3.5
dkgB	4.5
dksA	333.0
dld	189.5
dmsB	0.5
dnaA	88.0
dnaB	120.0
dnaC	11.0
dnaE	56.0
dnaG	51.5
dnaJ	286.0
dnaK	2369.0
dnaN	53.5
dnaQ	5.0
dnaT	29.0
dnaX	38.5
dos	1.0
dppA	878.0
dppB	2.0
dppC	2.0
dppD	141.0
dppF	118.0
dps	90.0
dsbA	58.0
dsbB	3.5
dsbC	48.5
dsbG	22.5
dsdA	18.0
dsdC	1.5
dsdX	0.5
dtd	4.0
dut	71.5
dxs	153.0
ebgA	4.5
ebgC	0.5
ebgR	11.5
ecnB	17.5
ecpD	0.5
eda	177.5
edd	42.5
efp	27.5
elaA	3.5
elaC	15.5
elaD	0.5
emrA	103.5
emrK	0.5
emrR	131.0
emrY	1.0
endA	0.5
engA	194.0
engB	100.0
eno	2105.0
entB	60.0
entC	79.0
entE	51.0
entF	133.0
envY	1.5
epd	46.5
era	68.0
erfK	27.5
etp	1.0
eutC	0.5
eutH	2.0
eutL	2.0
eutP	1.5
evgS	4.0
exbB	101.0
exbD	60.5
exoX	22.0
exuR	46.5
fabA	50.5
fabB	354.0
fabD	388.5
fabF	1304.5
fabG	182.5
fabH	257.0
fabI	320.0
fabZ	161.0
fadA	2.5
fadB	5.5
fadD	42.0
fadE	2.0
fadI	11.0
fadJ	3.5
fadL	92.0
fadR	78.0
farR	9.0
fbaA	814.0
fbaB	24.5
fbp	40.5
fdhD	29.0
fdhE	22.5
fdhF	0.5
fdnG	3.0
fdnH	1.0
fdoG	36.0
fdoH	2.0
fdrA	2.0
fdx	87.5
feaR	1.0
fecA	874.0
fecB	133.0
fecC	8.0
fecE	102.5
fecI	1.5
feoA	9.0
feoB	15.5
fepA	995.5
fepB	11.0
fepC	55.5
fepD	1.0
fepE	1.0
fes	11.5
ffh	170.5
fhlA	1.5
fhuA	436.5
fhuB	2.0
fhuC	33.5
fhuD	1.0
fhuE	181.0
fhuF	31.5
fic	1.0
fieF	6.0
fimC	2.0
fis	94.0
fixA	0.5
fixB	0.5
fixC	1.0
fklB	100.0
fkpA	426.0
fkpB	18.5
fldA	190.0
fldB	40.5
flgA	14.0
flgB	193.0
flgC	96.5
flgD	105.0
flgE	550.5
flgF	132.5
flgG	126.5
flgH	151.0
flgI	92.0
flgJ	89.5
flgK	292.5
flgL	190.0
flgM	241.5
flgN	163.5
flhA	112.5
flhB	5.0
flhC	45.0
flhD	45.5
flhE	14.5
flk	8.0
flu	241.0
fmt	142.5
fnr	86.0
focA	1.0
folA	14.5
folB	13.5
folC	115.5
folD	19.0
folE	488.5
folK	22.5
folP	79.5
folX	8.0
fpr	41.5
frcK	1.5
frdA	24.0
frdB	2.5
fre	67.0
frlB	2.0
frmA	40.0
frmR	11.5
frr	206.5
frsA	42.5
fruA	12.0
fruB	64.0
fruK	6.0
fruR	47.5
frvA	1.0
frwB	1.0
frwD	1.0
fsa	4.0
ftn	113.0
ftsA	122.0
ftsE	53.5
ftsI	22.0
ftsK	141.5
ftsL	17.5
ftsN	93.0
ftsQ	14.0
ftsW	1.0
ftsX	16.5
ftsY	177.0
ftsZ	597.5
fucI	15.0
fucK	3.5
fucO	1.0
fucR	3.0
fucU	50.0
fumA	83.5
fumB	108.5
fumC	133.0
fur	255.0
fusA	2840.0
fxsA	38.0
gabD	28.0
gabP	0.5
gabT	35.5
gadX	1.5
galE	104.5
galF	189.5
galK	40.0
galM	158.5
galP	1.0
galR	6.0
galT	27.0
galU	228.0
gapA	2572.0
garD	7.5
garK	2.5
garP	0.5
garR	4.0
gatR	2.0
gcd	155.5
gcvA	8.5
gcvP	420.5
gcvR	79.0
gcvT	66.5
gdhA	986.5
gidA	120.5
glcB	72.5
glcD	0.5
glcE	7.5
glcG	15.0
gldA	1.5
glgA	56.5
glgB	19.0
glgC	33.5
glgP	65.5
glgX	8.0
glk	52.5
glmM	241.5
glmS	713.0
glmU	244.5
glnA	924.0
glnB	63.5
glnD	3.0
glnE	56.5
glnG	38.5
glnH	164.0
glnL	2.0
glnP	3.0
glnQ	48.0
glnS	354.5
gloB	47.0
glpA	0.5
glpB	0.5
glpC	1.5
glpD	18.5
glpE	16.0
glpG	2.0
glpK	188.0
glpQ	2.5
glpR	30.5
glpX	8.5
gltA	409.5
gltB	1461.5
gltD	555.0
gltI	541.0
gltJ	0.5
gltK	2.5
gltP	13.0
gltS	20.5
gltX	300.0
glxK	0.5
glyA	1172.0
glyQ	135.0
glyS	430.5
gmhA	238.5
gmhB	13.0
gmk	51.0
gnd	580.0
gnsA	23.0
gnsB	39.5
gntK	1.5
gntR	21.5
gntU	0.5
goaG	39.0
gor	145.5
gph	79.5
gpmA	345.0
gpmB	50.5
gppA	37.5
gpsA	141.5
gpt	27.5
greA	144.0
greB	1.0
groEL	4527.0
groES	229.5
grpE	228.5
grxA	24.0
grxB	64.0
grxC	74.5
gshA	130.5
gshB	197.0
gsk	143.5
gspA	4.0
gspI	0.5
gss	46.5
gst	106.5
guaA	360.5
guaB	929.0
guaC	72.0
guaD	0.5
gudD	15.0
gudP	1.5
gutQ	60.5
gyrA	397.5
gyrB	530.0
hcaD	1.0
hda	28.5
hdeA	1.0
hdfR	17.5
hdhA	3.0
helD	13.0
hemA	22.0
hemB	116.0
hemC	114.5
hemD	5.0
hemE	115.0
hemF	7.5
hemG	24.0
hemH	14.5
hemK	5.0
hemL	239.5
hemN	70.0
hemX	142.0
hemY	98.0
hepA	116.5
hflB	479.0
hflC	229.0
hflK	416.5
hflX	94.0
hfq	133.0
hha	32.0
hipA	1.5
hisA	146.0
hisB	270.5
hisC	232.0
hisD	189.0
hisF	235.0
hisG	173.5
hisH	225.0
hisI	87.5
hisJ	451.5
hisP	48.5
hisQ	6.5
hisS	363.5
hlpA	505.5
hmpA	31.5
hnr	5.5
hns	553.0
hofB	1.5
holA	15.0
holB	20.5
holC	4.0
holD	10.0
holE	14.0
hpaB	1.0
hpaD	3.0
hpaE	4.0
hpaG	0.5
hpaI	0.5
hpaR	3.0
hpaX	2.0
hpt	130.5
hrpA	46.5
hrpB	3.5
hscA	127.0
hscB	17.5
hsdM	429.5
hsdR	32.5
hsdS	59.5
hslJ	38.5
hslO	102.5
hslR	5.0
hslU	474.0
hslV	57.0
htpG	835.5
htpX	98.0
htrB	60.5
htrE	2.0
hupA	350.5
hupB	170.5
hyaB	1.5
hyaC	1.0
hyaE	0.5
hybB	1.0
hybC	2.5
hybD	5.0
hycE	1.0
hycF	1.0
hycG	0.5
hycI	1.0
hyfB	2.5
hyfD	0.5
hyfI	0.5
hypB	20.5
hypF	7.5
iadA	95.5
ibpA	82.5
ibpB	4.0
icdA	962.5
iciA	108.0
iclR	28.5
idi	8.0
idnD	1.5
ihfA	62.0
ihfB	101.5
ileS	780.5
ilvA	473.0
ilvB	391.5
ilvC	906.5
ilvD	688.0
ilvE	1214.0
ilvG	434.0
ilvH	74.0
ilvI	307.5
ilvM	32.5
ilvN	65.5
ilvY	0.5
imp	384.5
inaA	1.0
infA	160.5
infB	829.5
infC	423.5
insA-1	16.0
insA-25	2.0
insE-1	0.5
insF-1	1.0
insF-2	1.0
insF-4	1.0
insF-5	2.0
insI	0.5
insK-2	2.0
insL-1	1.0
intB	2.0
intD	0.5
ipk	13.0
iscA	52.5
iscR	110.0
iscS	616.5
iscU	181.0
ispA	72.0
ispB	123.5
ispC	22.0
ispD	21.5
ispF	17.0
ispG	229.0
ispH	55.5
ispZ	0.5
katE	6.0
katG	464.0
kbl	43.5
kch	54.0
kdgK	35.5
kdgR	49.5
kdpB	1.0
kdpD	5.5
kdpE	0.5
kdsA	246.0
kdsB	117.0
kduD	2.5
kefA	124.0
kefB	2.0
kefC	0.5
kgtP	6.0
ksgA	60.0
lacA	0.5
lacI	9.0
lacZ	3.0
lamB	77.5
lasT	1.0
ldcA	17.0
ldcC	0.5
ldhA	141.5
lepA	239.5
lepB	96.5
leuA	957.0
leuB	699.5
leuC	878.5
leuD	563.5
leuO	3.0
leuS	480.5
lexA	56.5
lgt	19.0
lhr	5.5
ligA	109.0
ligB	1.5
ligT	4.0
lipA	133.5
lipB	12.0
livF	86.0
livG	88.0
livJ	1061.5
livK	361.0
livM	3.0
lldD	1.5
lldP	1.0
lnt	41.5
lolA	125.0
lolB	80.5
lolD	71.5
lomR	1.0
lon	3.5
lpdA	973.5
lplA	20.0
lpp	18.5
lpxA	91.0
lpxB	46.5
lpxC	24.5
lpxD	125.5
lpxK	6.5
lrhA	33.0
lrp	120.5
ltaE	110.5
lysA	151.5
lysC	391.5
lysP	4.0
lysR	1.5
lysS	411.5
lysU	84.5
lyxK	1.0
maa	3.5
macA	38.5
macB	16.5
maeB	222.5
malE	540.0
malF	7.5
malI	0.5
malK	73.0
malM	61.5
malP	915.5
malQ	393.5
malS	2.5
malT	29.0
malX	2.0
malY	2.0
malZ	30.0
manA	130.5
manB	33.0
manC	4.0
manX	215.0
manY	27.0
manZ	21.0
map	172.0
marA	1.0
marR	0.5
mazG	5.5
mcrB	5.5
mdaB	51.0
mdh	777.0
mdlA	8.5
mdlB	4.0
mdoB	112.5
mdoD	174.0
mdoG	306.0
mdoH	121.0
menA	1.0
menB	101.5
menC	1.5
menD	2.5
menE	3.5
menF	3.0
menG	8.0
mepA	14.5
metA	199.0
metB	97.0
metC	92.5
metE	2307.5
metF	101.0
metG	557.0
metH	778.0
metI	18.5
metJ	55.5
metK	929.5
metL	179.5
metN	357.0
metQ	961.0
metR	28.0
mfd	141.5
mglA	8.0
mglB	192.0
mglC	0.5
mgsA	44.0
mgtA	197.5
mhpA	1.0
mhpC	0.5
mhpE	0.5
mhpR	0.5
miaA	28.0
minC	42.5
minD	157.5
minE	32.5
mioC	17.0
mipA	62.5
mlc	10.5
mltA	62.5
mltB	47.0
mltC	5.0
mltD	1.0
mltE	44.0
mnmA	97.0
mnmC	11.0
mntR	17.0
moaB	32.5
moaC	32.5
moaD	9.0
moaE	12.0
mobA	8.5
modA	5.5
modE	74.0
modF	55.0
moeA	121.0
moeB	2.5
mogA	43.5
molR	1.0
motB	0.5
mpl	117.5
mppA	39.0
mqo	72.0
mraW	99.5
mrcA	243.0
mrcB	111.0
mrdA	27.5
mreB	273.0
mreC	76.5
mrp	78.0
mrr	27.5
msbA	104.5
msbB	30.5
mscL	1.0
msrA	48.0
mtgA	1.5
mtlA	122.0
mtlD	29.0
mtlR	1.0
mtr	1.0
mukB	320.0
mukE	48.0
mukF	95.5
murA	245.5
murB	48.5
murC	134.5
murD	93.0
murE	49.5
murF	72.5
murG	78.0
murI	28.0
murQ	70.0
mutH	2.0
mutL	27.0
mutM	28.0
mutS	119.5
mutT	1.5
mutY	9.0
mviM	5.0
mviN	1.0
nadA	87.0
nadB	16.0
nadC	69.0
nadD	15.0
nadE	324.0
nadR	65.0
nagA	90.5
nagB	61.0
nagC	21.5
nagD	207.5
nagE	65.5
nagZ	26.0
nanA	3.5
nanE	1.0
nanR	76.0
napA	14.0
napG	0.5
narG	2.0
narK	1.0
narL	27.0
narP	16.5
narQ	6.0
narX	18.5
narZ	2.0
ndh	108.0
ndk	256.5
nei	0.5
nemA	88.5
nfi	3.5
nfnB	167.5
nfo	57.0
nfsA	148.0
nhaB	0.5
nhaR	3.0
nhoA	0.5
nikC	1.0
nikD	1.5
nikE	2.0
nikR	25.0
nlpA	213.0
nlpB	410.0
nlpD	8.0
nlpI	6.0
norM	1.0
norV	1.0
nrdA	289.0
nrdB	157.0
nrdD	2.5
nrdE	1.0
nrdF	2.5
nrdR	59.0
nrfA	1.0
nrfC	0.5
nrfE	2.5
nth	22.0
ntpA	2.0
nudC	13.0
nudE	94.0
nudF	20.5
nudG	17.5
nuoA	11.0
nuoB	101.0
nuoC	460.5
nuoE	115.0
nuoF	388.0
nuoG	412.5
nuoH	4.0
nuoI	111.5
nuoK	19.5
nuoL	2.0
nupC	3.0
nupG	0.5
nusA	453.0
nusB	82.0
nusG	240.0
obgE	60.5
ogrK	0.5
ogt	11.5
ompA	802.5
ompF	219.5
ompR	97.5
ompT	494.0
ompX	149.0
oppA	571.5
oppB	4.0
oppC	1.0
oppD	46.0
oppF	68.0
ordL	9.0
orn	37.0
osmB	1.0
osmC	6.0
osmE	4.0
osmY	35.5
otsA	4.0
oxyR	95.5
pabA	9.0
pabB	96.0
pal	212.0
panB	111.0
panC	187.5
panD	147.0
parC	146.0
parE	44.0
pbpC	0.5
pbpG	53.0
pckA	175.0
pcm	24.0
pcnB	171.5
pdhR	15.0
pdxA	63.0
pdxB	195.0
pdxH	73.5
pdxJ	125.0
pdxK	31.0
pdxY	61.5
pepA	353.5
pepB	201.0
pepD	344.0
pepE	5.0
pepN	216.5
pepP	119.0
pepQ	230.0
pepT	5.5
perM	0.5
pfkA	178.0
pfkB	168.5
pflA	78.0
pflB	883.5
pflC	1.5
pflD	2.0
pfs	170.5
pgaA	0.5
pgaB	3.5
pgi	473.0
pgk	1170.5
pgm	286.5
pgpB	0.5
pgsA	2.5
pheA	196.0
pheP	0.5
pheS	281.5
pheT	622.5
phnA	41.0
phnC	0.5
phnG	1.0
phnI	0.5
phnJ	2.0
phnM	1.0
phnP	1.0
phoA	1.0
phoB	27.0
phoH	1.0
phoP	143.0
phoQ	17.0
phoR	1.5
phoU	84.5
pitA	4.0
pldA	26.5
pldB	0.5
plsB	301.5
plsC	18.0
plsX	27.0
pmbA	170.5
pmrD	26.5
pncA	11.5
pncB	141.0
pnp	724.0
pntA	719.0
pntB	117.0
polA	256.5
potA	72.0
potB	3.0
potD	356.0
potF	148.5
potG	79.5
potH	0.5
poxB	4.5
ppa	275.0
ppc	1202.5
ppdA	0.5
pphA	1.0
ppiA	165.0
ppiB	260.5
ppiC	64.0
ppiD	538.0
ppk	79.5
ppnK	12.0
ppsA	361.5
ppx	68.5
pqiA	0.5
pqiB	42.5
pqqL	108.5
prc	172.5
prfA	42.0
prfB	144.0
prfC	96.0
priA	3.5
priB	0.5
priC	3.0
prkB	16.5
prlC	500.0
prmA	39.5
proA	210.5
proB	210.5
proC	96.0
proP	10.5
proQ	210.5
proS	772.5
proV	3.0
proX	0.5
proY	0.5
prpB	0.5
prpC	0.5
prpD	1.0
prsA	716.0
psd	81.0
psiF	2.0
pspA	69.0
pspB	13.0
pspE	26.0
pspF	4.5
pssA	134.0
pstB	19.5
pstS	76.5
pta	498.5
pth	69.0
ptr	146.5
ptrB	6.5
ptsA	3.5
ptsG	296.5
ptsH	351.5
ptsI	1003.0
ptsN	79.5
ptsO	0.5
ptsP	37.5
purA	636.0
purB	303.5
purC	275.0
purD	487.0
purE	211.5
purF	275.0
purH	731.0
purK	166.0
purL	1428.5
purM	387.0
purN	141.5
purR	133.0
purT	351.5
purU	196.0
putA	27.5
putP	1.5
puuD	2.5
pykA	249.5
pykF	350.5
pyrB	167.5
pyrC	220.0
pyrD	210.0
pyrE	75.5
pyrF	110.5
pyrG	287.0
pyrH	86.0
pyrI	91.5
qor	13.5
queA	35.0
queF	73.0
radC	0.5
rbfA	95.5
rbsA	194.5
rbsB	649.0
rbsC	21.5
rbsD	82.5
rbsK	136.5
rbsR	13.5
rcsC	51.0
rcsF	74.0
rdgC	120.0
recA	350.0
recB	4.5
recC	20.5
recD	11.5
recE	3.0
recF	5.0
recG	26.0
recJ	47.5
recN	1.5
recQ	4.0
recR	58.5
recT	0.5
relA	66.0
rep	26.5
rfaD	296.5
rfaE	212.0
rfaH	12.0
rfbA	76.5
rfbB	62.5
rfbD	63.0
rffG	19.5
rffH	13.0
rffT	9.5
rhaD	0.5
rhlB	217.0
rhlE	71.5
rho	870.0
rhsA	5.0
rhsB	5.5
rhsC	2.5
rhtC	1.0
ribA	28.0
ribB	9.5
ribC	78.5
ribD	61.0
ribF	63.0
ribH	55.5
rihA	18.0
rihB	3.0
rihC	7.0
rimI	3.5
rimJ	8.0
rimK	1.0
rimL	0.5
rimM	98.5
rimO	215.5
rlmL	145.5
rlpA	58.0
rlpB	87.5
rluA	6.5
rluC	15.0
rluD	49.5
rmlC	14.5
rna	33.5
rnb	630.5
rnc	86.0
rnd	12.0
rne	605.5
rnfB	22.5
rnfC	37.5
rnfG	51.5
rng	116.5
rnhA	10.5
rnhB	36.0
rnk	34.0
rnpA	18.5
rnr	102.5
rnt	67.5
rob	16.5
rof	39.0
rpe	135.5
rph	77.0
rpiA	182.0
rpiB	3.0
rpiR	4.5
rplA	1171.0
rplB	653.5
rplC	81.0
rplD	381.5
rplE	988.5
rplF	406.5
rplI	1173.5
rplJ	382.0
rplK	398.5
rplL	1550.0
rplM	30.0
rplN	401.0
rplO	173.0
rplP	270.0
rplQ	29.0
rplR	110.5
rplS	109.5
rplT	14.5
rplU	15.5
rplV	188.0
rplW	23.5
rplX	103.5
rplY	311.0
rpmA	259.5
rpmB	45.5
rpmC	70.5
rpmD	88.0
rpmE	359.5
rpmE2	7.0
rpmF	346.0
rpmG	132.5
rpmH	12.0
rpmI	17.5
rpmJ	1.0
rpoA	1015.5
rpoB	1659.0
rpoC	2166.5
rpoD	242.5
rpoE	30.0
rpoH	6.0
rpoN	94.5
rpoS	0.5
rpoZ	291.0
rpsA	1598.0
rpsB	777.0
rpsC	634.5
rpsD	1131.5
rpsE	1853.0
rpsF	394.0
rpsG	484.0
rpsH	248.0
rpsI	203.0
rpsJ	241.0
rpsK	194.0
rpsL	194.0
rpsM	695.0
rpsN	202.5
rpsO	134.5
rpsP	225.5
rpsQ	140.0
rpsR	229.0
rpsS	355.0
rpsT	509.5
rpsU	45.0
rrmA	24.5
rrmB	104.5
rrmJ	68.0
rsd	20.0
rseA	48.0
rseB	107.5
rseC	2.0
rsmC	106.0
rsmD	25.5
rstA	40.0
rstB	47.5
rsuA	81.5
rtcA	1.0
rtcB	2.0
rtcR	1.5
rtn	4.0
rumA	28.5
rumB	20.5
ruvA	32.5
ruvB	40.0
ruvC	0.5
sanA	1.5
sapA	17.5
sapB	2.0
sapD	11.0
sapF	14.5
sbcB	36.0
sbcC	33.0
sbcD	15.0
sbmA	1.5
sbmC	4.5
sbp	10.0
sdaA	2.0
sdaB	10.5
sdaC	1.5
sdhA	597.0
sdhB	172.5
sdhC	8.5
sdhD	1.5
secA	797.0
secB	108.0
secD	182.0
secE	0.5
secF	87.5
secG	58.5
secY	1.5
selA	75.5
selB	58.0
selD	107.0
seqA	41.0
serA	750.5
serB	95.5
serC	680.5
serS	423.5
setA	1.0
sfcA	158.5
sfmD	2.0
sfsA	21.0
sgaE	4.5
sgaU	1.0
sgbE	2.0
sgbU	0.5
sgcB	1.0
sgcE	0.5
shiA	24.0
sirA	15.0
sixA	72.5
slmA	20.5
slt	16.0
slyA	44.0
slyB	213.0
slyD	156.5
slyX	44.0
smp	7.0
smpA	21.5
smpB	12.5
sms	88.5
smtA	7.0
sodA	217.0
sodB	160.5
sohB	154.5
solA	282.5
speA	211.5
speB	56.5
speC	76.0
speD	305.0
speE	81.5
speG	4.0
spoT	22.5
sppA	172.5
spr	7.5
spy	4.5
srlB	13.0
srlR	3.0
srmB	129.0
ssb	112.5
sseA	38.5
sseB	22.0
ssnA	1.0
sspA	223.0
sspB	29.0
ssuA	1.0
stfR	1.0
stpA	65.5
sucA	701.5
sucB	276.0
sucC	374.5
sucD	410.0
sufA	33.0
sufB	28.5
sufC	59.5
sufD	41.0
sufI	21.0
sufS	42.5
suhB	119.5
sulA	1.0
surA	200.5
surE	27.0
syd	11.0
tadA	1.0
talA	90.5
talB	673.0
talC	2.0
tam	1.0
tap	6.0
tar	1.0
tas	56.5
tatA	8.5
tatB	40.5
tatD	2.5
tatE	25.5
tauA	55.5
tauB	2.5
tauD	13.0
tbpA	1.0
tdcA	2.0
tdcE	18.0
tdcF	2.0
tdcG	2.0
tdh	39.5
tdk	10.5
tehB	4.5
tesA	29.5
tesB	35.0
tfaE	1.0
tgt	122.0
thiC	2.0
thiD	57.5
thiE	0.5
thiG	0.5
thiH	1.0
thiI	78.0
thiJ	40.5
thiL	6.5
thiM	44.0
thiQ	1.0
thrA	901.5
thrB	238.5
thrC	1314.0
thrS	318.0
thyA	90.0
tig	1550.5
tilS	27.0
tkrA	180.0
tktA	810.5
tktB	20.5
tldD	123.5
tmk	38.5
tnaB	1.0
tolA	27.5
tolB	415.0
tolC	398.0
tolQ	24.0
tolR	27.0
tonB	27.0
topA	335.5
topB	1.5
torA	1.0
torC	1.0
torR	2.0
torT	4.0
torY	0.5
torZ	2.5
tpiA	768.0
tpx	278.0
treA	1.5
treB	0.5
treC	6.0
treF	2.5
treR	40.0
trg	0.5
trkA	10.5
trkD	3.0
trmA	75.5
trmB	48.5
trmD	10.0
trmE	82.5
trmH	26.5
trpA	378.5
trpB	496.0
trpC	279.0
trpD	272.5
trpE	361.0
trpR	25.0
trpS	320.5
truA	18.0
truB	33.0
truD	68.5
trxA	174.5
trxB	469.0
trxC	40.5
tsf	1962.0
tsx	1.0
ttdA	1.0
tufA	5258.5
tufB	983.5
tus	4.5
tyrA	239.0
tyrB	326.5
tyrR	59.5
tyrS	479.0
ubiB	21.0
ubiC	39.5
ubiD	119.5
ubiE	111.0
ubiF	9.0
ubiG	181.5
ubiH	18.0
ubiX	25.5
ucpA	5.0
udhA	106.0
udk	96.0
udp	173.0
ugpA	1.0
ugpB	8.5
ugpC	1.0
ugpQ	12.5
uhpA	0.5
uhpB	1.0
uhpT	2.0
uidR	7.0
ulaA	1.0
ulaD	2.0
umuC	1.0
ung	12.0
upp	235.0
uppS	6.5
usg	112.5
ushA	78.0
uspA	185.5
uup	43.0
uvrA	128.5
uvrB	28.0
uvrC	6.0
uvrD	28.0
uxaA	14.0
uxaC	9.0
uxuA	42.0
uxuB	7.0
uxuR	8.0
vacJ	32.5
valS	679.0
vioA	152.0
vioB	13.5
visC	28.0
waaA	46.0
waaC	14.0
waaF	40.0
waaG	13.0
waaL	0.5
waaO	1.0
waaP	6.5
waaQ	11.5
waaW	0.5
wbbA	15.0
wbbB	24.5
wbbC	68.0
wbbD	14.0
wcaA	4.5
wcaC	2.0
wcaD	1.5
wcaI	2.0
wcaJ	1.0
wcaL	4.0
wcaM	2.0
wecB	85.0
wecC	78.5
wecE	92.5
wecG	10.5
wrbA	38.0
wzc	2.0
wzzB	202.0
wzzE	46.5
xasA	14.5
xdhA	4.0
xdhC	1.5
xdhD	1.5
xerC	8.5
xerD	15.5
xni	11.5
xseA	27.5
xseB	33.0
xthA	84.5
xylB	2.0
xylE	2.5
xylF	1.0
xylR	5.5
yaaA	114.5
