# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:55:13
"id"	"common_name"	"synonyms"	"type"	"modified_forms"	"gene_id"	"monomer_ids"	"anticodon"	"coding_segments"
"EG12347_RNA"	"tcyN"	["tcyN", "yecC", "b1917", "ECK1916"]	"mRNA"	[]	"EG12347"	["EG12347-MONOMER"]	null	[]
"EG12352_RNA"	"ppiC"	["ppiC", "parvA", "b3775", "ECK3767"]	"mRNA"	[]	"EG12352"	["EG12352-MONOMER"]	null	[]
"EG12354_RNA"	"arfB"	["arfB", "yaeJ", "b0191", "ECK0191"]	"mRNA"	[]	"EG12354"	["EG12354-MONOMER"]	null	[]
"EG12356_RNA"	"rtcR"	["rtcR", "yhgB", "b3422", "ECK3408"]	"mRNA"	[]	"EG12356"	["EG12356-MONOMER"]	null	[]
"EG12357_RNA"	"fadK"	["fadK", "ydiD", "b1701", "ECK1699"]	"mRNA"	[]	"EG12357"	["EG12357-MONOMER"]	null	[]
"EG12358_RNA"	"ssuB"	["ssuB", "ycbE", "b0933", "ECK0924"]	"mRNA"	[]	"EG12358"	["YCBE-MONOMER"]	null	[]
"EG12359_RNA"	"ybgD"	["ybgD", "b0719", "ECK0708"]	"mRNA"	[]	"EG12359"	["EG12359-MONOMER"]	null	[]
"EG12360_RNA"	"yfaE"	["yfaE", "b2236", "ECK2228"]	"mRNA"	[]	"EG12360"	["EG12360-MONOMER"]	null	[]
"EG12361_RNA"	"kduD"	["kduD", "yqeD", "ygeC", "b2842", "ECK2840"]	"mRNA"	[]	"EG12361"	["KDUD-MONOMER"]	null	[]
"EG12362_RNA"	"menF"	["menF", "yfbA", "b2265", "ECK2259"]	"mRNA"	[]	"EG12362"	["MENF-MONOMER"]	null	[]
"EG12363_RNA"	"ygiL"	["ygiL", "b3043", "ECK3034"]	"mRNA"	[]	"EG12363"	["EG12363-MONOMER"]	null	[]
"EG12364_RNA"	"intB"	["intB", "int(P4)", "yjgC", "b4271", "ECK4264"]	"pseudo"	[]	"EG12364"	["EG12364-MONOMER"]	null	[]
