# Generated by reconstruction/ecoli/scripts/nca/fold_changes.py on Wed Jan 13 11:59:38 2021
# Command: reconstruction/ecoli/scripts/nca/fold_changes.py --split -v -m robust_nca --robust-iterations 10
"TF"	"Target"	"log2 FC mean"	"log2 FC std"	"Regulation_direct"
"argR"	"yraQ"	2.34
"arsR"	"arsB"	-1.49
"arsR"	"arsC"	-1.5
"arsR"	"arsR"	-1.57
"ascG"	"ascB"	-0.86
"ascG"	"ascF"	-0.68
"ascG"	"htpG"	-0.15
"ascG"	"prpR"	-2.94
"ascG"	"ybiT"	-0.44
"baeR"	"acrD"	0.87
"baeR"	"baeR"	0.1
"baeR"	"mdtA"	0.28
"baeR"	"mdtB"	1.61
"baeR"	"mdtC"	0.73
"baeR"	"mdtD"	2.85
"baeR"	"spy"	1.34
"baeR"	"ycaC"	2.21
"basR"	"arnA"	1.45
"basR"	"arnB"	1.45
"basR"	"arnC"	1.46
"basR"	"arnD"	1.36
"basR"	"arnF"	1.34
"basR"	"arnT"	1.43
"basR"	"csgD"	1.58
"basR"	"csgE"	1.7
"basR"	"csgF"	1.31
"basR"	"csgG"	0.42
"basR"	"cspI"	0.29
"basR"	"dgkA"	1.68
"basR"	"eptA"	1.61
"basR"	"fimB"	2.65
"basR"	"hha"	0.11
"basR"	"putA"	-2.14
"basR"	"qseB"	0.84
"basR"	"qseC"	1.56
"basR"	"tomB"	1.18
"basR"	"yibD"	1.69
"basR"	"yrbL"	-2.02
"birA"	"bioA"	-2.9
"birA"	"bioB"	-3.1
"birA"	"bioC"	-2.38
"birA"	"bioD"	-2.82
"birA"	"bioF"	-2.54
"bolA"	"ampC"	3.36
"bolA"	"dacC"	0.26
"bolA"	"mreB"	-2.11
"bolA"	"mreC"	-1.41
"bolA"	"mreD"	-1.77
"yehT"	"aceE"	-1.32
"yehT"	"aceF"	-1.37
"yehT"	"csgA"	-0.38
"yehT"	"csgB"	-1.12
"yehT"	"csgC"	0.36
"yehT"	"csgD"	-1.09
"yehT"	"csgE"	-0.61
"yehT"	"csgF"	-0.68
"yehT"	"csgG"	-0.16
"yehT"	"cspC"	-6.6
"yehT"	"lpd"	-0.91
"yehT"	"mdh"	-0.04
"yehT"	"pdhR"	-0.8
"yehT"	"yobF"	-3.85
"cbl"	"ssuA"	1.11
"cbl"	"ssuB"	0.7
"cbl"	"ssuC"	1.25
"cbl"	"ssuD"	1.22
"cbl"	"ssuE"	1.43
"cbl"	"tauA"	1.73
"cbl"	"tauB"	2.08
"cbl"	"tauC"	2.56
"cbl"	"tauD"	2.01
"cdaR"	"cdaR"	0.69
"cdaR"	"garD"	1.84
"cdaR"	"garK"	2.11
"cdaR"	"garL"	2.69
"cdaR"	"garP"	2.42
"cdaR"	"garR"	2.4
"cdaR"	"gudD"	2.87
"cdaR"	"gudP"	2.65
"cdaR"	"gudX"	0.67
"cdaR"	"rnpB"	0.71
"ybiH"	"rhlE"	2.46
"ybiH"	"ybhF"	-1.21
"ybiH"	"ybhG"	-1.32
"ybiH"	"ybhR"	-1.16
"ybiH"	"ybhS"	-1.21
"cpxR"	"acrD"	0.67
"cpxR"	"bacA"	0.75
"cpxR"	"baeR"	0.76
"cpxR"	"baeS"	1.1
"cpxR"	"cheA"	-3.73
"cpxR"	"cheW"	-2.76
"cpxR"	"cpxA"	0.82
"cpxR"	"cpxR"	0.88
"cpxR"	"csgA"	-1.36
"cpxR"	"csgB"	-0.86
"cpxR"	"csgC"	-1.97
"cpxR"	"csgD"	-0.93
"cpxR"	"csgE"	-1.1
"cpxR"	"csgF"	-0.94
"cpxR"	"csgG"	-0.71
"cpxR"	"degP"	0.84
"cpxR"	"dsbA"	1.44
"cpxR"	"dsbC"	0.84
"cpxR"	"fabZ"	1.01
"cpxR"	"ftnB"	1.06
"cpxR"	"hha"	0.85
"cpxR"	"hlpA"	1.13
"cpxR"	"lpxA"	0.89
"cpxR"	"lpxD"	1.03
"cpxR"	"marA"	1.04
"cpxR"	"marB"	0.72
"cpxR"	"marR"	1.5
"cpxR"	"mdtA"	0.67
"cpxR"	"mdtB"	0.5
"cpxR"	"mdtC"	0.59
"cpxR"	"mdtD"	0.31
"cpxR"	"motA"	-2.64
"cpxR"	"motB"	-2.76
"cpxR"	"mzrA"	0.72
"cpxR"	"ompF"	-0.64
"cpxR"	"ppiA"	0.6
"cpxR"	"ppiD"	0.87
"cpxR"	"psd"	-3.15
"cpxR"	"rpoE"	-0.06
"cpxR"	"rpoH"	0.81
"cpxR"	"rseA"	-0.01
"cpxR"	"rseB"	-0.54
"cpxR"	"rseC"	-0.61
"cpxR"	"sbmA"	0.68
"cpxR"	"slt"	0.78
"cpxR"	"spy"	0.62
"cpxR"	"tomB"	0.03
"cpxR"	"tsr"	-2.82
"cpxR"	"yaiW"	0.76
"cpxR"	"yccA"	0.91
"cpxR"	"yebE"	0.81
"cpxR"	"yidQ"	0.27
"cpxR"	"yjeP"	-2.83
"cpxR"	"yjfN"	0.79
"cpxR"	"yqaE"	0.77
"cpxR"	"yqjA"	0.78
"cra"	"aceA"	0.47
"cra"	"aceB"	0.0
"cra"	"aceE"	-0.78
"cra"	"aceF"	-0.73
"cra"	"aceK"	0.9
"cra"	"acnA"	0.2
"cra"	"adhE"	-2.52
"cra"	"betA"	2.31
"cra"	"betB"	3.26
"cra"	"betI"	3.39
"cra"	"betT"	2.56
