"geneId"	"name"	"translationEfficiency"
"EG10053"	"araB"	"NA"
"EG10054"	"araC"	0.52
"EG10055"	"araD"	"NA"
"EG10056"	"araE"	0.13
"EG10057"	"araF"	"NA"
"EG10058"	"araG"	"NA"
"EG10059"	"araH"	"NA"
"EG10060"	"araJ"	0.28
"EG10061"	"arcA"	1.56
"EG10062"	"arcB"	0.61
"EG10063"	"argA"	"NA"
"EG10064"	"argB"	0.82
"EG10065"	"argC"	0.45
"EG10066"	"argD"	1.13
"EG11286"	"argE"	1.43
"EG10067"	"argF"	1.62
"EG10068"	"argG"	2.36
"EG11223"	"argH"	1.31
"EG10069"	"argI"	"NA"
"EG11445"	"argK"	"NA"
"EG11159"	"argO"	1.16
"EG10490"	"argP"	1.86
"EG10070"	"argR"	1.53
"EG10071"	"argS"	1.93
"EG10072"	"argT"	1.16
"G6606"	"ariR"	"NA"
"G7168"	"arnA"	0.64
"G7166"	"arnB"	0.82
"G7167"	"arnC"	"NA"
"G7169"	"arnD"	"NA"
"G0-10460"	"arnE"	"NA"
"G7171"	"arnF"	"NA"
"G7170"	"arnT"	"NA"
"EG10073"	"aroA"	1.24
"EG10074"	"aroB"	0.13
"EG10075"	"aroC"	0.75
"EG10076"	"aroD"	2.59
"EG10077"	"aroE"	0.62
"EG10078"	"aroF"	0.64
"EG10079"	"aroG"	2.5
"EG10080"	"aroH"	1.42
"EG10081"	"aroK"	1.31
"EG10082"	"aroL"	0.45
"EG10083"	"aroM"	0.72
"EG10084"	"aroP"	0.73
"EG11208"	"arpA"	"NA"
"G6310"	"arrD"	"NA"
"G6827"	"arrQ"	"NA"
"EG12236"	"arsB"	0.5
"EG12237"	"arsC"	"NA"
"EG12235"	"arsR"	"NA"
"EG11625"	"artI"	2
"EG11628"	"artJ"	2.94
"EG11627"	"artM"	0.49
"EG11624"	"artP"	1.07
"EG11626"	"artQ"	0.46
"EG10085"	"ascB"	"NA"
"EG10086"	"ascF"	"NA"
"EG10087"	"ascG"	0.93
"EG10088"	"asd"	2.07
"EG10089"	"aslA"	"NA"
"EG10090"	"aslB"	"NA"
"EG11361"	"asmA"	0.25
"EG10091"	"asnA"	1.83
"EG10092"	"asnB"	2.23
"EG10093"	"asnC"	2.49
"EG10094"	"asnS"	1.87
"EG10095"	"aspA"	0.73
"EG10096"	"aspC"	2.48
"EG10097"	"aspS"	1.75
"G6855"	"asr"	"NA"
"G6943"	"astA"	"NA"
"G6941"	"astB"	"NA"
"G6944"	"astC"	"NA"
"G6942"	"astD"	"NA"
"G6940"	"astE"	"NA"
"EG11670"	"atoA"	"NA"
"EG11672"	"atoB"	"NA"
"EG11668"	"atoC"	"NA"
"EG11669"	"atoD"	"NA"
"EG11671"	"atoE"	"NA"
"EG11667"	"atoS"	"NA"
"EG10098"	"atpA"	0.87
"EG10099"	"atpB"	0.48
"EG10100"	"atpC"	0.45
"EG10101"	"atpD"	1.08
"EG10102"	"atpE"	2.11
"EG10103"	"atpF"	0.44
"EG10104"	"atpG"	0.4
"EG10105"	"atpH"	0.24
"EG10106"	"atpI"	0.02
"EG10107"	"avtA"	1.26
"G6731"	"azoR"	4.28
"G0-10653"	"azuC"	1.72
"EG11665"	"bacA"	1.19
"EG11618"	"baeR"	1.55
"EG11617"	"baeS"	"NA"
"G6093"	"bamA"	0.79
"G7320"	"bamB"	0.76
"EG10658"	"bamC"	0.6
"G7352"	"bamD"	1.9
"EG10952"	"bamE"	1.25
"EG11367"	"barA"	0.49
"EG11615"	"basR"	1.08
"EG11614"	"basS"	0.6
"EG11360"	"bax"	0.49
"EG10108"	"bcp"	2.73
"EG11419"	"bcr"	0.3
"EG12260"	"bcsA"	0.1
"EG12259"	"bcsB"	0.83
"EG12257"	"bcsC"	0.3
"EG12263"	"bcsE"	0.48
"EG12264"	"bcsF"	"NA"
"EG12265"	"bcsG"	0.7
"EG12258"	"bcsZ"	0.39
"G6776"	"bdm"	"NA"
"EG10109"	"betA"	0.69
"EG10110"	"betB"	0.95
"EG10111"	"betI"	0.1
"EG10112"	"betT"	0.33
"EG11181"	"bfd"	"NA"
"EG10113"	"bfr"	0.74
"G495"	"bglA"	2.24
"EG10114"	"bglB"	"NA"
"EG10115"	"bglF"	"NA"
"EG10116"	"bglG"	"NA"
"EG11364"	"bglH"	"NA"
"G7948"	"bglJ"	"NA"
"EG12013"	"bglX"	1.05
"G6570"	"bhsA"	4.39
"EG10117"	"bioA"	1.43
"EG10118"	"bioB"	1.98
"EG10119"	"bioC"	0.34
"EG10120"	"bioD"	1.66
"EG10121"	"bioF"	0.4
"EG10122"	"bioH"	1.43
"EG10123"	"birA"	0.6
"EG10124"	"bisC"	0.63
"G7837"	"blc"	"NA"
"G0-9561"	"blr"	0.83
"EG10125"	"bolA"	1.59
"G6312"	"borD"	2.02
"EG12168"	"brnQ"	1.1
"G7852"	"bsmA"	"NA"
"G6436"	"bssR"	"NA"
"G6557"	"bssS"	0.11
"EG10126"	"btuB"	1.4
"EG10127"	"btuC"	0.25
"EG10128"	"btuD"	0.31
"EG10129"	"btuE"	0.98
"EG12334"	"btuF"	0.31
"EG10130"	"btuR"	0.78
"EG10131"	"cadA"	"NA"
"EG10132"	"cadB"	"NA"
"EG10133"	"cadC"	"NA"
"EG11560"	"caiA"	0.38
"EG11559"	"caiB"	"NA"
"EG11558"	"caiC"	"NA"
"EG11557"	"caiD"	"NA"
"EG12608"	"caiE"	"NA"
"G6088"	"caiF"	"NA"
"EG11561"	"caiT"	"NA"
"EG12319"	"can"	1.69
"EG10134"	"carA"	1.06
"EG10135"	"carB"	1.48
"G7430"	"casA"	"NA"
"G7429"	"casB"	"NA"
"G7428"	"casC"	"NA"
"G7427"	"casD"	"NA"
"G7426"	"casE"	"NA"
"G7071"	"cbl"	"NA"
"EG12193"	"cbpA"	1.77
"EG12194"	"cbpM"	1.27
"EG11714"	"cbrA"	"NA"
"EG11726"	"cbrB"	"NA"
"EG11727"	"cbrC"	"NA"
"EG10136"	"cca"	0.47
"EG12059"	"ccmA"	"NA"
"EG12058"	"ccmB"	"NA"
"EG12057"	"ccmC"	0.63
"EG12169"	"ccmD"	"NA"
"EG12055"	"ccmE"	0.62
"EG12054"	"ccmF"	0.23
"EG12053"	"ccmG"	"NA"
"EG12052"	"ccmH"	0.43
"EG12335"	"cdaR"	"NA"
"EG10137"	"cdd"	1.47
"EG10138"	"cdh"	1.01
"EG10139"	"cdsA"	0.27
"G6936"	"cedA"	"NA"
"EG11531"	"cfa"	1.2
"EG11753"	"chaA"	0.73
"EG12402"	"chaB"	"NA"
"EG12403"	"chaC"	"NA"
"EG10142"	"chbA"	"NA"
"EG10140"	"chbB"	"NA"
"EG10141"	"chbC"	"NA"
"EG10144"	"chbF"	"NA"
"EG12198"	"chbG"	"NA"
"EG10143"	"chbR"	"NA"
"EG10146"	"cheA"	"NA"
"EG10147"	"cheB"	"NA"
"EG10148"	"cheR"	"NA"
"EG10149"	"cheW"	"NA"
"EG10150"	"cheY"	"NA"
"EG10151"	"cheZ"	"NA"
"EG11237"	"chiA"	0.74
"G6370"	"chiP"	"NA"
"G6371"	"chiQ"	"NA"
"G6937"	"cho"	"NA"
"EG12096"	"chpB"	0.29
"EG11250"	"chpS"	"NA"
"EG10155"	"cirA"	0.78
"G6344"	"citC"	"NA"
"G6343"	"citD"	"NA"
"G6342"	"citE"	"NA"
"G6341"	"citF"	"NA"
"G6339"	"citG"	"NA"
"G6338"	"citT"	"NA"
"G6340"	"citX"	"NA"
"EG12331"	"clcA"	0.39
"G6850"	"clcB"	"NA"
"G7090"	"cld"	1.16
"EG10156"	"clpA"	0.7
"EG10157"	"clpB"	1.11
"EG10158"	"clpP"	1.26
"G6463"	"clpS"	0.5
"EG10159"	"clpX"	0.94
"EG11608"	"cls"	0.56
"EG11265"	"cmk"	0.37
"G7020"	"cmoA"	1.16
"G7021"	"cmoB"	0.85
"EG11792"	"cmtA"	"NA"
"EG11791"	"cmtB"	"NA"
"G6869"	"cnu"	2
"EG10922"	"coaA"	1.18
"EG11190"	"coaD"	1.06
"EG12312"	"coaE"	0.27
"G6577"	"cobB"	1.31
"G6349"	"cobC"	0.16
"EG12150"	"cobS"	0.9
"EG12151"	"cobT"	0.55
"EG13238"	"cobU"	0.32
"EG11326"	"codA"	1.54
"EG11327"	"codB"	0.8
"G6246"	"cof"	0.31
"G6589"	"cohE"	0.8
"G6260"	"copA"	0.52
"EG11463"	"corA"	0.74
"G7579"	"cpdA"	0.21
"EG10160"	"cpdB"	1.87
"EG10161"	"cpsB"	"NA"
"EG10162"	"cpsG"	"NA"
"EG10163"	"cpxA"	0.33
"G7816"	"cpxP"	0.27
"EG10020"	"cpxR"	1.48
"EG12209"	"crcB"	1.79
"EG11217"	"creA"	1.57
"EG11218"	"creB"	0.25
"EG10730"	"creC"	0.2
"EG10145"	"creD"	"NA"
"EG11092"	"crl"	2.16
"G6590"	"croE"	"NA"
"EG10164"	"crp"	1.45
"EG10165"	"crr"	1.91
"G7454"	"csdA"	0.54
"G7455"	"csdE"	1.29
"G7456"	"csdL"	1.02
"EG11489"	"csgA"	"NA"
"G6547"	"csgB"	"NA"
"G6548"	"csgC"	"NA"
"G6546"	"csgD"	"NA"
"G6545"	"csgE"	"NA"
"G6544"	"csgF"	"NA"
"G6543"	"csgG"	"NA"
"G7394"	"csiD"	"NA"
"G7329"	"csiE"	"NA"
"EG12386"	"csiR"	"NA"
"EG10166"	"cspA"	2.12
"EG12203"	"cspB"	"NA"
"EG12204"	"cspC"	3.26
"EG11111"	"cspD"	0.75
"EG12179"	"cspE"	2.06
"EG12205"	"cspF"	"NA"
"G6511"	"cspG"	"NA"
"G6510"	"cspH"	"NA"
"G6825"	"cspI"	"NA"
"EG11447"	"csrA"	1.9
"EG10018"	"csrD"	0.2
"EG10167"	"cstA"	0.59
"EG12318"	"cueO"	2.27
"G6263"	"cueR"	1.53
"EG12367"	"cusA"	"NA"
"G6322"	"cusB"	"NA"
"G6320"	"cusC"	"NA"
"G6321"	"cusF"	"NA"
"G6319"	"cusR"	0.57
"G6318"	"cusS"	0.48
"EG12177"	"cutA"	0.35
"G7024"	"cutC"	1.08
"EG10169"	"cvpA"	0.22
"G6620"	"cvrA"	0.39
"EG10170"	"cyaA"	0.19
"EG11653"	"cyaY"	2.49
"EG10172"	"cybB"	2.04
"EG12504"	"cycA"	0.99
"EG10173"	"cydA"	0.85
"EG10174"	"cydB"	0.74
"EG10012"	"cydC"	0.56
"EG11405"	"cydD"	0.7
"EG11421"	"cynR"	1.1
"EG10175"	"cynS"	"NA"
"EG10176"	"cynT"	"NA"
"EG10177"	"cynX"	"NA"
"EG10178"	"cyoA"	0.66
"EG10179"	"cyoB"	0.66
"EG10180"	"cyoC"	0.71
"EG10181"	"cyoD"	0.74
"EG10182"	"cyoE"	0.21
"EG10183"	"cysA"	"NA"
"EG10184"	"cysB"	2.03
"EG10185"	"cysC"	"NA"
"EG10186"	"cysD"	"NA"
"EG10187"	"cysE"	0.67
"EG10188"	"cysG"	0.63
"EG10189"	"cysH"	"NA"
"EG10190"	"cysI"	"NA"
"EG10191"	"cysJ"	"NA"
"EG10192"	"cysK"	1.97
"EG10193"	"cysM"	1.49
"EG10194"	"cysN"	"NA"
"EG10195"	"cysP"	"NA"
"EG10043"	"cysQ"	1.5
"EG10196"	"cysS"	1.98
"EG10197"	"cysU"	"NA"
"EG10198"	"cysW"	"NA"
"EG10003"	"cysZ"	1.55
"EG10200"	"cytR"	0.41
"EG10201"	"dacA"	1.54
"EG10202"	"dacB"	0.94
"EG10203"	"dacC"	1.79
"EG11893"	"dacD"	"NA"
"EG11407"	"dadA"	1.09
"EG11408"	"dadX"	0.72
"EG10204"	"dam"	0.17
"EG11183"	"damX"	0.87
"EG10205"	"dapA"	0.99
"EG10206"	"dapB"	1.76
"EG10207"	"dapD"	3.24
"EG10208"	"dapE"	1.1
"EG10209"	"dapF"	0.32
"EG10210"	"dbpA"	1.14
"EG11418"	"dcd"	0.47
"EG10211"	"dcm"	0.68
"EG10212"	"dcp"	2.17
"G7767"	"dcrB"	1.85
"EG20044"	"dctA"	0.53
"EG11889"	"dctR"	"NA"
"EG11225"	"dcuA"	0.87
"EG10006"	"dcuB"	"NA"
"G6347"	"dcuC"	"NA"
"G7679"	"dcuD"	"NA"
"G7826"	"dcuR"	1.02
"G7827"	"dcuS"	0.2
"G7038"	"dcyD"	1.48
"EG10213"	"ddlA"	1.9
"EG10214"	"ddlB"	0.48
"G6781"	"ddpA"	"NA"
"G6780"	"ddpB"	"NA"
"G6779"	"ddpC"	"NA"
"G6778"	"ddpD"	"NA"
"G6777"	"ddpF"	"NA"
"G6782"	"ddpX"	"NA"
"EG10215"	"deaD"	1.47
"EG10216"	"dedA"	0.61
"EG10218"	"dedD"	0.6
"EG11440"	"def"	1.08
"EG10463"	"degP"	2.55
"G7682"	"degQ"	1.34
"EG11652"	"degS"	0.64
"EG10219"	"deoA"	0.96
"EG10220"	"deoB"	1.14
"EG10221"	"deoC"	3.08
"EG10222"	"deoD"	2.93
"EG10223"	"deoR"	0.66
"G7319"	"der"	1.34
"EG10004"	"dfp"	0.65
"EG10224"	"dgkA"	1.62
"EG20049"	"dgoA"	"NA"
"GB4478"	"dgoD"	"NA"
"EG20051"	"dgoK"	"NA"
"G7789"	"dgoR"	2.34
"EG20053"	"dgoT"	"NA"
"G6852"	"dgsA"	0.29
"EG10225"	"dgt"	0.55
"G6627"	"dhaK"	0.42
"G6626"	"dhaL"	0.6
"EG12399"	"dhaM"	0.97
"G6628"	"dhaR"	0.31
"EG12780"	"diaA"	0.41
"EG10226"	"dicA"	1.13
"EG10227"	"dicB"	"NA"
"EG10228"	"dicC"	"NA"
"G6115"	"dinB"	0.3
"EG11193"	"dinD"	"NA"
"EG11491"	"dinF"	0.35
"EG11357"	"dinG"	0.32
"G6558"	"dinI"	1.13
"G6110"	"dinJ"	1.21
"G0-9981"	"dinQ"	0
"EG11570"	"djlA"	0.93
"G6353"	"djlB"	"NA"
"G6356"	"djlC"	"NA"
"G7565"	"dkgA"	"NA"
"EG11648"	"dkgB"	2.03
"EG10230"	"dksA"	2.31
"EG10231"	"dld"	1.98
"G6986"	"dmlA"	"NA"
"G6985"	"dmlR"	"NA"
"EG10232"	"dmsA"	"NA"
"EG10233"	"dmsB"	"NA"
"EG10234"	"dmsC"	"NA"
"G6849"	"dmsD"	1.6
"EG10235"	"dnaA"	0.35
"EG10236"	"dnaB"	0.36
"EG10237"	"dnaC"	0.76
"EG10238"	"dnaE"	0.19
"EG10239"	"dnaG"	0.11
"EG10240"	"dnaJ"	1.05
"EG10241"	"dnaK"	2.28
"EG10242"	"dnaN"	0.7
"EG10243"	"dnaQ"	1.18
"EG10244"	"dnaT"	1.03
"EG10245"	"dnaXgamma"	0.24
"G6784"	"dosC"	"NA"
"G6783"	"dosP"	"NA"
"G6346"	"dpiA"	"NA"
"G6345"	"dpiB"	0.05
"EG10248"	"dppA"	1.53
"EG12625"	"dppB"	0.49
"EG12626"	"dppC"	0.55
"EG12627"	"dppD"	0.7
"EG12628"	"dppF"	0.94
"EG11415"	"dps"	3.05
"EG11297"	"dsbA"	2.35
"EG11393"	"dsbB"	1.09
"EG11070"	"dsbC"	1.9
"EG12178"	"dsbD"	1.01
"G6333"	"dsbG"	2.48
"EG10249"	"dsdA"	2.39
"EG13161"	"dsdC"	1.04
"EG10250"	"dsdX"	"NA"
"G7045"	"dsrB"	2.03
"EG11852"	"dtd"	1.54
"G6877"	"dtpA"	1.04
"EG12232"	"dtpB"	0.96
"G6378"	"dtpD"	0.67
"EG11932"	"dusA"	1.46
"EG11311"	"dusB"	0.02
"EG12022"	"dusC"	0.4
"EG10251"	"dut"	1.56
"EG12715"	"dxr"	0.71
"G6237"	"dxs"	0.6
"EG11639"	"eamA"	0.38
"EG12445"	"eamB"	"NA"
"EG10252"	"ebgA"	"NA"
"EG10253"	"ebgC"	"NA"
"EG10254"	"ebgR"	0.99
"G0-41"	"ecnA"	0.24
"G0-9562"	"ecnB"	0.55
"EG10255"	"eco"	4.94
"G6161"	"ecpD"	"NA"
"EG10256"	"eda"	2.84
"EG10257"	"edd"	0.31
"EG11735"	"efeB"	0.53
"G6527"	"efeO"	2.21
"EG12099"	"efp"	2.14
"G7174"	"elaA"	1.86
"G7173"	"elaB"	2.13
"G7176"	"elaD"	"NA"
"EG11383"	"elbB"	1.92
"G6480"	"elfA"	"NA"
"G6482"	"elfC"	"NA"
"G6481"	"elfD"	"NA"
"G6483"	"elfG"	"NA"
"EG11354"	"emrA"	0.82
"EG11439"	"emrB"	0.24
"EG11693"	"emrD"	0.85
"EG10629"	"emrE"	0.81
"G7233"	"emrK"	"NA"
"EG13283"	"emrY"	"NA"
"G6622"	"emtA"	1.45
"EG11336"	"endA"	"NA"
"EG10258"	"eno"	2.44
"EG10259"	"entA"	"NA"
"EG10260"	"entB"	"NA"
"EG10261"	"entC"	"NA"
"EG10262"	"entD"	"NA"
"EG10263"	"entE"	"NA"
"EG10264"	"entF"	0.66
"EG11105"	"entH"	"NA"
"EG11104"	"entS"	0.67
"EG12297"	"envC"	0.18
"EG11741"	"envR"	"NA"
"EG10268"	"envY"	"NA"
"EG10269"	"envZ"	0.26
"EG10368"	"epd"	0.24
"EG11613"	"eptA"	0.81
"EG12267"	"eptB"	0.43
"EG10270"	"era"	0.82
"G7073"	"erfK"	0.43
"EG12332"	"erpA"	2.17
"G6309"	"essD"	"NA"
"G6829"	"essQ"	"NA"
"EG11826"	"etk"	0.58
"G6503"	"etp"	"NA"
"G7281"	"eutA"	"NA"
"EG50006"	"eutB"	0.87
"EG50007"	"eutC"	0.83
"G7288"	"eutD"	"NA"
"G7285"	"eutE"	"NA"
"G7283"	"eutG"	"NA"
"G7282"	"eutH"	"NA"
"G7284"	"eutJ"	"NA"
"G7270"	"eutK"	0.29
"G7271"	"eutL"	1.25
"G7287"	"eutM"	"NA"
"G7286"	"eutN"	"NA"
"G7291"	"eutP"	"NA"
"G7290"	"eutQ"	"NA"
"EG12190"	"eutR"	"NA"
"G7292"	"eutS"	"NA"
"G7289"	"eutT"	"NA"
"EG11609"	"evgA"	0.99
"EG11610"	"evgS"	0.6
"EG10271"	"exbB"	1.16
"EG10272"	"exbD"	0.55
"G7016"	"exoX"	1.11
"EG12739"	"exuR"	0.81
"EG12738"	"exuT"	"NA"
"EG10273"	"fabA"	2.02
"EG10274"	"fabB"	1.76
"EG11317"	"fabD"	1.28
"EG12606"	"fabF"	0.8
"EG11318"	"fabG"	0.96
"EG10277"	"fabH"	0.78
"EG11528"	"fabI"	2.66
"EG11394"	"fabR"	0.43
"EG11284"	"fabZ"	1.92
"EG10278"	"fadA"	"NA"
"EG10279"	"fadB"	"NA"
"EG11530"	"fadD"	1.07
"G6105"	"fadE"	0.33
"G36"	"fadH"	"NA"
"G7213"	"fadI"	"NA"
"G7212"	"fadJ"	0.34
"EG12357"	"fadK"	"NA"
"EG10280"	"fadL"	1.7
"G6244"	"fadM"	"NA"
"EG10281"	"fadR"	1.93
"EG10282"	"fbaA"	2.31
"G7129"	"fbaB"	"NA"
"EG10283"	"fbp"	1.55
"EG11788"	"fcl"	"NA"
"EG11859"	"fdhD"	1.13
"EG10284"	"fdhE"	1.28
"EG10285"	"fdhF"	0.02
"EG11227"	"fdnG"	0.04
"EG11228"	"fdnH"	"NA"
"EG11229"	"fdnI"	"NA"
"EG11858"	"fdoG"	0.12
"EG11857"	"fdoH"	0.24
"EG11856"	"fdoI"	0.18
"G6287"	"fdrA"	"NA"
"EG11328"	"fdx"	1.53
"G7961"	"feaB"	"NA"
"G6706"	"feaR"	"NA"
"EG10286"	"fecA"	0.49
"EG10287"	"fecB"	"NA"
"EG10288"	"fecC"	"NA"
"EG10289"	"fecD"	"NA"
"EG10290"	"fecE"	0.72
"EG10291"	"fecI"	0.3
"EG10292"	"fecR"	0.51
"EG12101"	"feoA"	"NA"
"EG12102"	"feoB"	0.89
"EG12933"	"feoC"	0.29
"EG10293"	"fepA"	"NA"
"EG10294"	"fepB"	1.51
"EG10295"	"fepC"	"NA"
"EG10296"	"fepD"	"NA"
"EG10297"	"fepE"	"NA"
"EG10298"	"fepG"	"NA"
"EG10299"	"fes"	"NA"
"EG10300"	"ffh"	1.28
"EG10301"	"fhlA"	0.51
"EG10302"	"fhuA"	1.05
"EG10303"	"fhuB"	0.26
"EG10304"	"fhuC"	0.47
"EG10305"	"fhuD"	0.41
"EG10306"	"fhuE"	"NA"
"G7949"	"fhuF"	0.5
"EG10307"	"fic"	"NA"
"EG11873"	"fieF"	0.35
"EG10308"	"fimA"	3.19
"EG10309"	"fimB"	1.56
"EG10310"	"fimC"	"NA"
"EG10311"	"fimD"	0.21
"EG10312"	"fimE"	"NA"
"EG10313"	"fimF"	"NA"
"EG10314"	"fimG"	"NA"
"EG10315"	"fimH"	"NA"
"EG11974"	"fimI"	0.15
"EG11103"	"fimZ"	"NA"
"EG10317"	"fis"	3.17
"G6414"	"fiu"	1.46
"EG11562"	"fixA"	"NA"
"EG11563"	"fixB"	"NA"
"EG11564"	"fixC"	"NA"
"EG11565"	"fixX"	"NA"
"G7865"	"fklB"	3.38
"G7716"	"fkpA"	2.51
"EG11080"	"fkpB"	0.5
"EG10318"	"fldA"	2.62
"EG12697"	"fldB"	1.33
"G357"	"flgA"	"NA"
"G358"	"flgB"	"NA"
"G359"	"flgC"	"NA"
"G360"	"flgD"	"NA"
"G361"	"flgE"	1.39
"G362"	"flgF"	"NA"
"G363"	"flgG"	"NA"
"G364"	"flgH"	"NA"
"G365"	"flgI"	"NA"
"G366"	"flgJ"	"NA"
"EG11967"	"flgK"	"NA"
"EG11545"	"flgL"	"NA"
"G369"	"flgM"	"NA"
"G6562"	"flgN"	"NA"
"G370"	"flhA"	"NA"
"G7028"	"flhB"	"NA"
"EG10319"	"flhC"	0.89
"EG10320"	"flhD"	0.96
"G7027"	"flhE"	"NA"
"EG11355"	"fliA"	"NA"
"EG10321"	"fliC"	0.55
"EG10841"	"fliD"	"NA"
"EG11346"	"fliE"	"NA"
"EG11347"	"fliF"	"NA"
"EG11654"	"fliG"	"NA"
"EG11656"	"fliH"	"NA"
"G377"	"fliI"	"NA"
"G378"	"fliJ"	"NA"
"G379"	"fliK"	"NA"
"EG10322"	"fliL"	"NA"
"EG10323"	"fliM"	"NA"
"EG10324"	"fliN"	"NA"
"EG11224"	"fliO"	"NA"
"EG11975"	"fliP"	"NA"
"EG11976"	"fliQ"	"NA"
"EG11977"	"fliR"	"NA"
"EG11388"	"fliS"	"NA"
"EG11389"	"fliT"	"NA"
"G7039"	"fliY"	2.21
"EG11356"	"fliZ"	"NA"
"EG10229"	"flk"	0.68
"G7080"	"flu"	2.37
"G6833"	"flxA"	"NA"
"EG11268"	"fmt"	0.91
"EG10325"	"fnr"	1.32
"EG11258"	"focA"	0.35
"G7309"	"focB"	"NA"
"EG10326"	"folA"	1.51
"EG11673"	"folB"	1.26
"EG10327"	"folC"	1.06
"EG10328"	"folD"	2.17
"EG11375"	"folE"	2.47
"EG11374"	"folK"	0.36
"G6862"	"folM"	0.72
"EG50011"	"folP"	0.74
"G7195"	"folX"	2.04
"EG10628"	"fpr"	1.3
"G7237"	"frc"	"NA"
"EG10330"	"frdA"	1.03
"EG10331"	"frdB"	0.91
"EG10332"	"frdC"	0.71
"EG10333"	"frdD"	0.95
"EG10334"	"fre"	0.97
"EG12908"	"frlA"	"NA"
"G7723"	"frlB"	"NA"
"G7724"	"frlC"	"NA"
"G7726"	"frlD"	"NA"
"G7727"	"frlR"	1.2
"EG50010"	"frmA"	2.22
"G6208"	"frmB"	1.33
"G6209"	"frmR"	0.56
"EG10335"	"frr"	1.73
"EG11091"	"frsA"	1.28
"EG10336"	"fruA"	0.88
"G7990"	"fruB"	1.34
"EG10337"	"fruK"	1.11
"EG10338"	"fruR"	1.14
"EG11864"	"frvA"	"NA"
"EG11863"	"frvB"	"NA"
"EG11861"	"frvR"	"NA"
