Object ID	Display Name	Synonyms
G7507_REPLICATION	uacT replication	['uacT replication', 'ygfU replication', 'b2888 replication', 'ECK2883 replication']
EG11325_REPLICATION	acnA replication	['acnA replication', 'acn replication', 'b1276 replication', 'ECK1271 replication']
EG11085_REPLICATION	rsmH replication	['rsmH replication', 'yabC replication', 'mraW replication', 'b0082 replication', 'ECK0083 replication']
EG11878_REPLICATION	zapB replication	['zapB replication', 'yiiU replication', 'b3928 replication', 'ECK3920 replication']
EG12843_REPLICATION	ybaN replication	['ybaN replication', 'b0468 replication', 'ECK0462 replication']
G6600_REPLICATION	iraM replication	['iraM replication', 'elb1 replication', 'ycgW replication', 'elbA replication', 'b1160 replication', 'ECK1147 replication']
EG12357_REPLICATION	fadK replication	['fadK replication', 'ydiD replication', 'b1701 replication', 'ECK1699 replication']
EG10343_REPLICATION	rsmD replication	['rsmD replication', 'yhhF replication', 'b3465 replication', 'ECK3449 replication']
EG12273_REPLICATION	yiaF replication	['yiaF replication', 'b3554 replication', 'ECK3541 replication']
G7114_REPLICATION	mdtB replication	['mdtB replication', 'yegN replication', 'b2075 replication', 'ECK2071 replication']
EG10983_REPLICATION	suhB replication	['suhB replication', 'ssyA replication', 'b2533 replication', 'ECK2530 replication']
G7452_REPLICATION	queF replication	['queF replication', 'yqcD replication', 'b2794 replication', 'ECK2789 replication']
EG10347_REPLICATION	ftsZ replication	['ftsZ replication', 'sfiB replication', 'sulB replication', 'b0095 replication', 'ECK0096 replication']
EG11951_REPLICATION	yjcO replication	['yjcO replication', 'b4078 replication', 'ECK4071 replication']
G7610_REPLICATION	mzrA replication	['mzrA replication', 'ecfM replication', 'yqjB replication', 'b3096 replication', 'ECK3087 replication']
EG11669_REPLICATION	atoD replication	['atoD replication', 'b2221 replication', 'ECK2214 replication']
G6501_REPLICATION	rlmI replication	['rlmI replication', 'yccW replication', 'b0967 replication', 'ECK0958 replication']
EG11832_REPLICATION	yihF replication	['yihF replication', 'b3861 replication', 'ECK3853 replication']
G6817_REPLICATION	ydfJ replication	['ydfJ replication', 'b1543 replication', 'ECK1536 replication']
G0-10580_REPLICATION	uof replication	['uof replication', 'b4637 replication', 'ECK4461 replication']
