Object ID	Display Name	Synonyms
EG10096_RNA[c]	aspC mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10097_RNA[c]	aspS mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10098_RNA[c]	atpA mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10099_RNA[c]	atpB mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10100_RNA[c]	atpC mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10101_RNA[c]	atpD mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10102_RNA[c]	atpE mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10103_RNA[c]	atpF mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10104_RNA[c]	atpG mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10105_RNA[c]	atpH mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10106_RNA[c]	atpI mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10107_RNA[c]	avtA mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10108_RNA[c]	bcp mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10109_RNA[c]	betA mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10110_RNA[c]	betB mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10111_RNA[c]	betI mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10112_RNA[c]	betT mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10113_RNA[c]	bfr mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10114_RNA[c]	bglB mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10115_RNA[c]	bglF mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
EG10116_RNA[c]	bglG mRNA	['ariR mRNA', 'ymgB mRNA', 'b1166 mRNA', 'ECK1153 mRNA']
