Frame ID	Name	Left	Right	Direction	Genes	Promoter	Terminators
TU0-12791	yaaH	9926	10494	-	"[""EG11512""]"	PM_WC-301	"[""TERM_WC-2368""]"
TU0-12792	yaaW	10641	11542	-	"[""G6082""]"	PM0-44337	"[""TERM_WC-2374""]"
TU0-12793	insL-1	15380	16559	+	"[""G6083""]"	PM0-44341	"[""TERM_WC-1052""]"
TU0-12794	mokC-hokC	16749	16960	-	"[""EG10373"", ""G0-9563""]"	PM_WC-184	"[""TERM_WC-1348""]"
TU0-12795	sokC	16952	17008	+	"[""G0-9581""]"	PM_WC-267	"[""TERM_WC-2088""]"
TU0-12796	insA-1B-1-insAB-1	19809	20508	-	"[""G6086"", ""G6085"", ""G0-10535""]"	PM_WC-116	"[""TERM_WC-1009""]"
TU0-12797	rihC	27293	28209	+	"[""EG11082""]"	PM_WC-242	"[""TERM_WC-1858""]"
TU0-12799	yaaU	45592	47140	+	"[""EG11566""]"	PM0-10464	"[""TERM_WC-2373""]"
TU0-12800	kefFC	47080	49633	+	"[""EG10521"", ""EG11568""]"	PM0-44347	"[""TERM_WC-1112""]"
TU0-12801	djlA	57268	58181	+	"[""EG11570""]"	PM0-44349	"[""TERM_WC-474""]"
TU0-12802	yabPQ	58474	59281	+	"[""EG12611"", ""EG12610""]"	PM_WC-302	"[""TERM_WC-2377""]"
TU0-12804	yabI	71271	72117	+	"[""EG11571""]"	PM0-9957	"[""TERM_WC-2376""]"
TU0-12805	sgrR-sroA-tbpA-thiPQ	72227	77338	-	"[""EG12094"", ""G0-9381"", ""EG11574"", ""EG11573"", ""EG11572""]"	PM0-9592	"[""TERM_WC-2052""]"
TU0-12806	sgrST-setA	77367	78801	+	"[""G0-10617"", ""EG11754"", ""G0-9941""]"	PM0-9591	"[""TERM_WC-2053""]"
TU0-12807	leuO	84188	85314	+	"[""EG10531""]"	PM0-9884	"[""TERM_WC-1138""]"
TU0-12808	cra	87947	89034	+	"[""EG10338""]"	PM0-44353	"[""TERM_WC-332""]"
TU0-12809	lpxC	106508	107544	+	"[""EG10265""]"	PM0-9872	"[""TERM0-1064""]"
TU0-1281	uof-fur	709341	710052	-	"[""G0-10580"", ""EG10359""]"	PM0-1441	"[""TERM3"", ""TERM73""]"
TU0-12810	coaE-zapD-yacG	111647	113219	-	"[""EG12312"", ""EG12313"", ""EG12314""]"	PM_WC-45	"[""TERM_WC-317""]"
TU0-12811	ppdD-hofBC	114520	117705	-	"[""EG12107"", ""EG12106"", ""EG11798""]"	PM0-10364	"[""TERM_WC-1654""]"
TU0-12812	nadC	117750	118663	-	"[""EG11546""]"	PM0-36221	"[""TERM_WC-1418""]"
TU0-12813	yacL	134339	134752	+	"[""EG12605""]"	PM0-9961	"[""TERM_WC-2381""]"
TU0-12815	yadGH	142779	144474	+	"[""EG12321"", ""EG12320""]"	PM_WC-303	"[""TERM_WC-2388""]"
TU0-12816	yadI	144577	145019	+	"[""EG12322""]"	PM_WC-304	"[""TERM_WC-2389""]"
TU0-12817	yadE	144965	146312	+	"[""EG11749""]"	PM0-44357	"[""TERM_WC-2386""]"
TU0-12818	yadC	149713	150953	-	"[""EG11678""]"	PM0-9785	"[""TERM_WC-2382""]"
TU0-12819	hrpB	162075	164536	+	"[""EG12329""]"	PM0-44370	"[""TERM_WC-941""]"
TU0-1282	fldA-fur	709341	710744	-	"[""G0-10580"", ""EG10359"", ""EG10318""]"	PM0-1442	"[""TERM73"", ""TERM3""]"
TU0-12820	mrcB	164721	167266	+	"[""EG10605""]"	PM0-9962	"[""TERM_WC-1371""]"
TU0-12821	clcA	175052	176530	+	"[""EG12331""]"	PM0-44371	"[""TERM_WC-299""]"
TU0-12822	mtn-btuF-yadS	176999	179183	-	"[""EG11090"", ""EG12334"", ""EG12333""]"	PM0-9547	"[""TERM_WC-1390""]"
TU0-12823	dgt	179196	180756	+	"[""EG10225""]"	PM0-9548	"[""TERM_WC-459""]"
TU0-12825	yaeH	183707	184095	-	"[""EG12336""]"	PM_WC-306	"[""TERM_WC-2401""]"
TU0-12826	yaeI	184255	185069	-	"[""EG12337""]"	PM_WC-307	"[""TERM_WC-2402""]"
TU0-12827	map-glnD-dapD	185121	189506	-	"[""EG10570"", ""EG11411"", ""EG10207""]"	PM_WC-163	"[""TERM_WC-1215""]"
TU0-1283	fur	709341	709946	-	"[""EG10359""]"	PM00348	"[""TERM73"", ""TERM3""]"
TU0-12830	frr	192812	193431	+	"[""EG10335""]"	PM0-44375	"[""TERM_WC-691""]"
TU0-12831	dxr	193471	194719	+	"[""EG12715""]"	PM0-44377	"[""TERM_WC-523""]"
TU0-12832	yaeR	211858	212268	+	"[""G6095""]"	PM0-44383	"[""TERM_WC-2407""]"
TU0-12833	tilS	212331	213631	+	"[""G6096""]"	PM_WC-280	"[""TERM_WC-2184""]"
TU0-12834	yaeP-rof	213676	214187	-	"[""G372"", ""G6097""]"	PM0-36224	"[""TERM_WC-2403""]"
TU0-12835	yaeQ-arfB-nlpE	214280	215981	+	"[""EG12137"", ""EG12354"", ""G6098""]"	PM0-36225	"[""TERM_WC-2405""]"
TU0-12836	yaeF	216177	217135	-	"[""EG12138""]"	PM0-44386	"[""TERM_WC-2400""]"
