ID	Name	Gene	Location	Modified form	Comments
RNA0-330	OhsC small regulatory RNA	G0-10598	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-331	RyfD small RNA	G0-10600	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-332	SibE small RNA	G0-10602	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-333	RyjB small RNA	G0-10609	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-334	SymR small regulatory RNA	G0-10610	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-348	MgrR small regulatory RNA	G0-10671	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-349	FnrS small regulatory RNA	G0-10677	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-351	ArrS small RNA	G0-10694	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-357	SokX small RNA	G0-10695	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-358	EyeA small RNA	G0-10696	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-359	RNA0-359	G0-10697	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-360	RNA0-360	G0-10698	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-361	RNA0-361	G0-10699	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-362	RNA0-362	G0-10700	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-363	RNA0-363	G0-10701	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-364	RNA0-364	G0-10702	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-365	RNA0-365	G0-10703	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-366	RNA0-366	G0-10704	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-367	RNA0-367	G0-10705	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-368	RNA0-368	G0-10706	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-372	EsrE small RNA	G0-10737	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-378	small noncoding RNA involved in nucleoid organization	G0-10738	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNPB-RNA	RnpB RNA; catalytic subunit of RNAse P	EG30069	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RPRA-RNA	RprA small regulatory RNA	G0-8863	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFA-RRNA	5S ribosomal RNA (rrfA)	EG30070	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFB-RRNA	rrfB 5S ribosomal RNA	EG30071	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFC-RRNA	rrfC 5S ribosomal RNA	EG30072	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFD-RRNA	rrfD 5S ribosomal RNA	EG30073	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFE-RRNA	rrfE 5S ribosomal RNA	EG30074	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFF-RRNA	rrfF 5S ribosomal RNA	EG30091	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFG-RRNA	rrfG 5S ribosomal RNA	EG30075	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRFH-RRNA	rrfH 5S ribosomal RNA	EG30076	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRLA-RRNA	23S ribosomal RNA (rrlA)	EG30077	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRLB-RRNA	rrlB 23S ribosomal RNA	EG30078	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRLC-RRNA	rrlC 23S ribosomal RNA	EG30079	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRLD-RRNA	rrlD 23S ribosomal RNA	EG30080	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRLE-RRNA	rrlE 23S ribosomal RNA	EG30081	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRLG-RRNA	rrlG 23S ribosomal RNA	EG30082	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRLH-RRNA	rrlH 23S ribosomal RNA	EG30083	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRSA-RRNA	16S ribosomal RNA (rrsA)	EG30084	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRSB-RRNA	rrsB 16S ribosomal RNA	EG30085	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRSC-RRNA	rrsC 16S ribosomal RNA	EG30086	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRSD-RRNA	rrsD 16S ribosomal RNA	EG30087	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRSE-RRNA	rrsE 16S ribosomal RNA	EG30088	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRSG-RRNA	rrsG 16S ribosomal RNA	EG30089	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RRSH-RRNA	rrsH 16S ribosomal RNA	EG30090	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYBA-RNA	RybA small RNA	G0-8881	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYBB-RNA	RybB small regulatory RNA	G0-8880	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYDB-RNA	RydB small RNA regulator of RpoS	G0-8876	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYEA-RNA	RyeA small RNA	G0-8865	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYEB-RNA	RyeB small RNA	G0-8883	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYEC-RNA	SibA small RNA	G0-8884	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYED-RNA	SibB small RNA	G0-8885	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYEE-RNA	CyaR small regulatory RNA	G0-8878	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYFA-RNA	RyfA small RNA	G0-8879	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYGB-RNA	OmrB small regulatory RNA	G0-8882	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RYGC-RNA	SibC small RNA	G0-8886	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SPF-RNA	Spot 42 RNA	EG30098	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAA-RNA	SraA small RNA	G0-8861	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAB-RNA	PsrD small RNA	G0-8862	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAD-RNA	MicA small regulatory RNA	G0-8866	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAE-RNA	OmrA small regulatory RNA	G0-8868	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAG-RNA	PsrO small RNA	G0-8870	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAH-RNA	ArcZ small regulatory RNA	G0-8871	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAI-RNA	RyhB small regulatory RNA involved in iron homeostasis	G0-8872	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAJ-RNA	GlmZ small regulatory RNA	G0-8873	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SRAL-RNA	RyjA small RNA	G0-8875	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
SSRA-RNA	tmRNA	EG30100	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
T44-RNA	T44 predicted small RNA or attenuator	G0-8895	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
TKE1-RNA	GlmY small regulatory RNA	G0-8910	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
TKE8-RNA	MicC small regulatory RNA	G0-8901	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
TP2-RNA	Tp2 small RNA	G0-8894	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
TPKE11-RNA	Tpke11 small RNA	G0-8893	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
TPKE70-RNA	Tpke70 small RNA	G0-8906	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
alaT-tRNA	tRNAalaT	EG30008	"[""CCO-CYTOSOL""]"	"[""charged-alaT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
alaU-tRNA	tRNAalaU	EG30009	"[""CCO-CYTOSOL""]"	"[""charged-alaU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
alaV-tRNA	tRNAalaV	EG30010	"[""CCO-CYTOSOL""]"	"[""charged-alaV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
alaW-tRNA	tRNAalaW	EG30011	"[""CCO-CYTOSOL""]"	"[""charged-alaW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
