4557	sgcR
2448	uxuR
4568	yjiE
4580	yjiR
4586	yjjM
4589	yjjQ
4590	bglJ
2218	yjjJ
1018	trpR
1334	rob
1197	creB
57	arcA
4457	dgoR
1412	hdfR
792	putA
31	alaS
686	pepA
1306	nadR
987	thrA
988	thrB
989	thrC
1508	yaaJ
1509	talB
1467	mog
645	nhaA
1067	ribF
485	ileS
1069	ispH
1070	rihC
200	dapB
130	carA
131	carB
1510	caiD
1511	caiC
1512	caiB
1514	caiT
514	kefC
320	folA
44	apaH
684	pdxA
51	araD
48	araA
49	araB
1524	thiQ
1525	thiP
1526	tbpA
1692	setA
1527	leuD
1528	leuC
1529	leuB
1204	leuA
493	ilvI
492	ilvH
335	ftsI
614	murE
615	murF
597	mraY
613	murD
616	murG
612	murC
208	ddlB
259	lpxC
619	mutT
2190	coaE
415	guaC
1500	nadC
37	ampD
80	aroP
21	aceE
22	aceF
536	lpd
2194	acnB
951	speD
952	speE
2195	cueO
362	gcd
2444	hpt
2196	can
1685	panD
1684	panC
1618	panB
1342	folK
598	mrcB
296	fhuA
298	fhuC
299	fhuD
297	fhuB
425	hemL
2207	clcA
2210	btuF
1078	mtn
219	dgt
201	dapD
1493	pyrH
2372	dxr
2863	ispU
135	cdsA
310	lpxD
1257	fabZ
538	lpxA
539	lpxB
1591	accA
2865	ldcC
761	proS
1460	metQ
1676	metI
1569	metN
1675	gmhB
1592	dkgB
2870	gloB
2876	fadE
2877	lpcA
687	pepD
407	gpt
720	phoE
759	proB
758	proA
2906	mmuP
2907	mmuM
63	argF
2946	ykgE
2947	ykgF
2948	ykgG
105	betA
106	betB
108	betT
2957	yahI
2965	prpB
2966	prpC
2967	prpD
1298	codB
1297	codA
171	cynT
170	cynS
172	cynX
520	lacZ
4616	mhpA
4617	mhpB
4618	mhpC
4619	mhpD
4620	mhpF
2970	mhpE
2971	mhpT
2973	frmB
2570	frmA
2982	tauA
2983	tauB
2984	tauC
2282	tauD
421	hemB
207	ddlA
718	phoA
760	proC
78	aroL
1261	mak
2064	brnQ
558	malZ
1083	acpH
1024	tsx
1292	ribD
1293	ribE
2997	thiL
696	pgpA
2999	dxs
501	ispA
3000	thiI
3001	panE
177	cyoE
176	cyoD
175	cyoC
174	cyoB
173	cyoA
2076	ampG
3007	queC
3008	cof
1753	amtB
984	tesB
2850	maa
1647	acrB
1646	acrA
47	apt
29	adk
424	hemH
1090	gsk
1049	ushA
3019	copA
3020	ybaS
1496	tesA
3034	allA
1534	gcl
3036	hyi
3037	glxR
3038	ybbW
3039	allB
3041	glxK
3043	allC
3044	allD
2250	ybcF
787	purK
784	purE
2353	lpxH
191	cysS
322	folD
3077	cusC
3078	cusF
3079	cusB
2236	cusA
700	pheP
2565	nfsB
256	entD
287	fepA
293	fes
258	entF
289	fepC
292	fepG
290	fepD
1092	entS
288	fepB
255	entC
257	entE
254	entB
253	entA
3089	dsbG
3094	citT
3095	citG
3096	citX
3097	citF
3098	citE
3099	citD
3103	dcuC
2073	pagP
1279	lipA
1540	lipB
195	dacA
599	mrdA
3105	cobC
3106	nadD
525	leuS
3113	hscC
3114	rihA
2352	gltL
2351	gltK
2350	gltJ
3115	gltI
164	lnt
3121	ubiF
88	asnB
625	nagA
626	nagB
628	nagE
383	glnS
312	fldA
2045	pgm
744	potE
953	speF
508	kdpC
507	kdpB
506	kdpA
3127	dtpD
395	gltA
922	sdhC
923	sdhD
920	sdhA
921	sdhB
968	sucA
969	sucB
970	sucC
971	sucD
2433	mngA
2434	mngB
168	cydA
169	cydB
1096	ybgC
623	nadA
1643	pnuC
3142	zitB
75	aroG
1642	gpmA
1641	galM
356	galK
359	galT
355	galE
2284	modA
2	modB
148	modC
1217	ybhA
3146	pgl
113	bioA
114	bioB
117	bioF
115	bioC
116	bioD
1543	moaA
1609	moaC
1545	moaD
1546	moaE
3155	ybhO
3163	fiu
382	glnQ
381	glnP
379	glnH
2036	rhtA
3174	ybiV
3177	fsaA
150	moeB
149	moeA
2270	iaaA
3178	gsiA
3179	gsiB
3180	gsiC
3181	gsiD
3186	yliI
197	dacC
3188	ybjG
3189	mdfA
410	grxA
1577	potF
1578	potG
1579	potH
1580	potI
1576	artJ
1575	artM
1574	artQ
1573	artI
1572	artP
3204	ltaE
745	poxB
2436	aqpZ
10	cydC
1371	cydD
1021	trxB
936	serS
226	dmsA
227	dmsB
228	dmsC
25	pflA
693	pflB
1233	focA
935	serC
69	aroA
1239	cmk
606	msbA
1375	lpxK
512	kdsB
92	aspC
664	ompF
90	asnS
733	pncB
688	pepN
2227	ssuB
3225	ssuC
3226	ssuD
3227	ssuA
3228	ssuE
798	pyrD
267	fabA
662	ompA
3246	mgsA
3251	yccX
461	hyaA
462	hyaB
463	hyaC
1348	appC
1347	appB
45	appA
1748	torC
1747	torA
30	agp
3266	rutG
3267	rutF
3268	rutE
3269	rutD
3270	rutC
3271	rutB
3272	rutA
793	putP
3284	ghrA
457	lpxL
3301	solA
797	pyrC
2354	grxB
3306	murJ
1401	plsX
271	fabH
1288	fabD
1289	fabG
2563	acpP
2330	fabF
1449	pabC
2182	tmk
778	ptsG
300	fhuE
3311	thiK
3312	nagZ
642	ndh
3321	nagK
743	potD
742	potC
741	potB
740	potA
1285	purB
3325	nudJ
482	icd
1360	dsbB
1359	nhaB
1373	dadA
1374	dadX
3365	ldcA
3366	emtA
1006	treA
2262	dhaM
3370	dhaL
3371	dhaK
2256	ychM
765	prs
