EG10272	736.4011	668.3102	553.6099
EG10273	283.0741	435.0634	497.4817
EG10274	306.2565	208.0747	288.6805
EG10275	673.5856	629.8746	553.0837
EG10276	275.7604	362.7714	379.8395
EG10277	237.7327	216.5779	217.1273
EG10278	8.4404	7.5795	10.8461
EG10279	9.3518	8.9263	11.6139
EG10280	38.8249	62.4537	52.8977
EG10281	60.2491	54.0476	56.1103
EG10282	964.8956	849.9827	954.9303
EG10283	124.4434	136.9775	133.8954
EG10284	53.1455	49.0862	51.6184
EG10285	8.6551	7.3966	7.5834
EG10286	76.2239	57.2659	57.4126
EG10287	40.2558	40.7431	44.1594
EG10288	13.5413	17.8093	18.4014
EG10289	11.3716	13.4267	13.5782
EG10290	35.7204	34.6536	29.7097
EG10291	752.1186	584.0443	512.0243
EG10292	175.5467	183.1933	222.9049
EG10293	1086.1922	826.3174	953.8863
EG10294	139.776	138.7048	127.6736
EG10295	69.4612	69.8512	70.6788
EG10296	37.9749	47.8271	53.6183
EG10297	12.5956	12.3318	11.1873
EG10298	32.8019	39.8153	47.9404
EG10299	443.7022	255.67	262.3226
EG10300	105.4815	112.2698	121.7899
EG10301	7.561	4.6662	4.7692
EG10302	236.8922	288.6548	297.8917
EG10303	17.2261	26.7683	28.991
EG10304	60.3265	81.244	80.9165
EG10305	38.5927	54.5627	56.1241
EG10306	337.2179	209.5179	195.8471
EG10307	33.3377	11.7777	13.0727
EG10308	1967.1215	2275.5617	2232.0733
EG10309	82.091	57.7349	50.197
EG10310	112.2157	69.5854	60.9059
EG10311	37.3713	26.6265	22.198
EG10312	9.241	5.6414	3.9715
EG10313	24.9066	17.8559	19.4264
EG10314	31.1892	22.4442	22.1777
EG10315	32.4725	26.3107	25.7114
EG10316	474.8039	557.7898	542.2557
EG10317	473.545	812.894	577.3805
EG10318	354.528	312.3052	276.8403
EG10319	123.6069	139.7299	125.8813
EG10320	174.8317	200.9788	167.208
EG10321	10572.3061	10086.8756	12560.2538
EG10322	430.0393	396.7044	476.1872
EG10323	254.1686	252.1396	325.3867
EG10324	158.2669	186.2231	281.6672
EG10325	359.101	382.366	391.2619
EG10326	44.8719	77.1818	46.6374
EG10327	77.1818	66.7828	59.2551
EG10328	165.7045	167.9237	175.4128
EG10329	15.3014	11.2536	10.8343
EG10330	10.9455	10.5433	11.2684
EG10331	11.1047	9.4135	11.1858
EG10332	4.1985	8.8747	8.3979
EG10333	8.607	11.2875	9.6653
EG10334	93.0139	81.0381	86.9815
EG10335	496.2409	628.0431	591.6195
EG10336	21.5287	17.2655	16.579
EG10337	17.7868	15.9453	16.1012
EG10338	63.0158	69.6098	79.8147
EG10339	226.9608	111.2731	87.0375
EG10340	60.8883	61.5605	72.493
EG10341	75.1461	77.4423	47.748
EG10342	157.8774	102.7314	71.8486
EG10343	42.0276	29.8015	30.0186
EG10344	60.6412	63.4832	50.6279
EG10345	45.4585	41.9315	47.1624
EG10346	89.1306	64.6398	67.9119
EG10347	442.2249	372.9754	359.6705
EG10348	3.1489	2.3162	2.6611
EG10349	2.2553	2.5766	2.9995
EG10350	11.5786	6.695	6.5877
EG10351	4.8672	3.5047	4.0735
EG10352	1.0903	0.8061	0.678
EG10353	29.0113	22.755	20.0234
EG10355	55.921	25.9631	31.8114
EG10356	43.5914	43.076	50.1052
EG10357	1.1471	1.6448	1.8509
EG10358	21.4233	16.6092	20.4843
EG10359	582.6115	581.2231	500.529
EG10360	2824.1378	3939.4323	3814.657
EG10361	16.7548	12.3741	12.8361
EG10362	54.9155	40.7475	46.5366
EG10363	92.3461	82.5511	92.2963
EG10364	31.8552	25.505	26.3166
EG10365	3.7751	6.1892	5.6793
EG10366	31.9763	32.5521	36.4978
EG10367	5047.9661	4058.1545	4588.9721
EG10368	253.9132	216.633	200.9345
EG10369	106.1068	80.0751	88.4746
EG10370	166.546	172.0149	174.4894
EG10371	62.2031	90.1119	91.0345
EG10372	989.0947	942.301	1368.9719
EG10373	8.2771	11.331	10.2641
EG10374	18.2539	15.7941	11.0591
EG10375	43.6249	54.8151	55.9474
EG10376	33.548	41.8293	36.9606
EG10377	135.1791	124.9368	149.366
EG10378	211.344	143.921	155.5804
EG10379	261.651	181.9664	190.8597
EG10380	120.5847	116.0449	122.1375
EG10381	129.4402	98.1776	102.7656
EG10382	153.3364	215.847	247.5326
EG10383	452.3709	570.2015	694.5726
EG10384	178.3453	177.6404	156.1412
EG10385	24.8697	31.8048	43
EG10386	443.8317	329.8637	327.4613
EG10387	31.669	41.0358	48.857
EG10388	78.4365	83.3109	103.2007
EG10389	90.8349	99.3428	112.6068
EG10390	198.6706	209.7757	209.0544
EG10391	18.0004	21.7985	23.477
EG10392	20.8128	20.0472	20.6504
EG10393	18.5286	14.9997	16.5983
EG10394	1232.9671	1092.4293	1234.307
EG10395	107.2362	100.3081	103.0175
EG10396	312.1216	202.9449	198.0021
EG10397	66.9342	67.8415	65.2899
EG10398	387.1843	395.8221	511.2043
EG10399	56.7681	81.0678	74.6219
EG10400	36.9406	34.9198	37.4862
EG10401	41.6518	70.9262	62.8533
EG10402	845.3201	771.9319	1110.1756
EG10403	512.6042	577.3592	699.6885
EG10404	558.7349	616.8661	707.8311
EG10405	13.976	13.8743	21.114
EG10406	10.5277	8.4994	9.5747
EG10407	247.3761	303.1791	269.4539
EG10408	1016.3894	1047.268	1147.6128
EG10409	299.8092	252.8438	279.8988
EG10410	198.2808	218.4983	257.8813
EG10411	603.0328	548.8593	528.6112
EG10412	71.2729	52.5986	66.7279
EG10413	89.6198	96.4379	107.4515
EG10414	78.7021	135.4255	106.2634
EG10415	79.8516	104.0679	117.4237
EG10416	456.4963	281.1541	286.1502
EG10417	25.1913	17.3107	18.0218
EG10418	153.1377	135.5929	128.0934
EG10419	107.202	90.4613	104.4217
EG10420	285.2456	377.7255	380.2198
EG10421	188.3936	242.3063	216.1754
EG10422	188.7897	189.6671	182.158
EG10423	203.083	183.792	198.603
EG10424	108.7449	108.2929	112.5734
EG10425	116.116	69.4503	41.7379
EG10426	39.166	27.2734	29.174
EG10427	31.2636	41.7919	40.9338
EG10428	67.7451	71.7892	91.9978
EG10429	69.5568	74.5372	97.4434
EG10430	110.25	68.7696	71.2252
EG10431	17.6574	20.6039	19.9526
EG10432	151.0886	134.715	151.3892
EG10433	93.1565	77.397	86.0724
EG10434	77.3416	72.3902	85.0453
EG10435	248.4536	269.0412	277.0383
EG10436	278.6634	271.8577	295.5811
EG10437	342.2355	245.8535	237.1315
EG10438	1383.074	850.1578	804.4848
EG10439	363.7205	283.0013	223.4195
EG10440	669.5839	686.7654	722.8993
EG10441	738.7671	501.9787	565.4969
EG10442	32.2675	18.2354	19.1442
EG10443	20.1073	10.4041	9.8219
EG10444	69.2248	59.2771	90.1236
EG10445	154.8272	133.6465	162.3801
EG10446	89.5454	90.7167	111.9274
EG10447	93.9895	87.0737	117.86
EG10448	95.9992	73.5457	100.5404
EG10449	112.605	100.8346	114.5129
EG10450	89.0006	82.3834	110.1956
EG10451	257.5931	191.6535	204.1747
EG10452	44.817	47.1079	43.9207
EG10453	247.1708	231.0178	237.8852
EG10454	45.7347	27.6924	28.5955
EG10455	822.4483	824.2065	837.2196
EG10456	23.1607	20.6861	20.5023
EG10457	2550.1596	2115.9226	1861.7408
EG10458	37.6918	43.0316	43.8063
EG10459	51.6961	45.2699	50.0428
EG10460	27.1957	25.0614	20.4399
EG10461	156.5889	114.4511	175.5569
EG10462	121.3294	143.2774	157.9412
EG10463	95.4617	88.45	105.7092
EG10464	24.4528	26.4722	27.5826
EG10465	92.7917	116.8208	112.952
EG10466	3232.2336	2476.3343	2397.2835
EG10467	2022.7758	1400.8916	1425.0155
EG10468	0.878	0.687	0.6054
EG10469	0.9268	0.6122	0.9783
EG10470	1.9214	0.8273	1.4352
EG10471	3.3417	2.2413	2.4613
EG10472	2.0835	1.468	1.8522
EG10473	2.5544	2.048	2.907
EG10474	0.8179	0.3962	0.3332
EG10475	0.4939	0.7178	0.3522
EG10476	0.7032	0.5009	0.5393
EG10477	1.3904	0.7528	0.8664
EG10478	1.3701	1.3487	1.5666
EG10479	2.2269	1.618	2.6086
EG10480	4.0345	3.4797	3.1674
EG10481	10.6649	7.1256	7.2673
EG10482	5.4144	4.9142	5.8751
EG10483	5.8134	4.1718	3.1582
EG10484	3.4627	4.6966	6.1373
EG10485	2.2146	3.6206	5.8652
EG10486	15.6267	17.0641	19.3481
EG10487	5.5374	4.9113	6.8004
EG10488	20.3132	20.279	14.7138
EG10489	3195.1832	2343.5242	2894.3973
EG10490	69.9945	56.427	65.3732
EG10491	83.177	82.2237	84.9866
EG10492	253.3346	269.8749	307.201
EG10493	30.4252	30.6607	40.7374
EG10494	181.932	113.2918	136.9334
EG10495	2714.7176	1543.5862	2013.0326
EG10496	81.8614	50.8477	68.1721
EG10497	159.2738	105.8876	142.8694
EG10498	168.4179	84.0348	104.0693
EG10499	259.9002	135.1221	143.3842
EG10500	190.665	102.8419	134.8076
EG10501	204.1065	78.3466	63.9172
EG10502	165.4313	107.6853	131.6342
EG10503	8.707	9.0906	11.0907
EG10504	757.4635	1184.3261	936.1405
EG10505	272.5803	271.7042	270.7598
EG10506	3163.1048	4604.1762	3537.1387
EG10507	53.9535	33.2742	30.1838
EG10508	132.758	125.3213	116.1894
EG10509	52.4206	39.2621	27.3754
EG10510	934.284	523.092	439.3709
EG10511	91.1668	86.0396	114.8109
EG10512	16.0365	12.325	12.1677
EG10513	0.6772	0.5467	0.3863
EG10514	1.254	1.197	1.6831
EG10515	7.7816	6.836	6.1262
EG10516	9.6262	9.2713	10.3214
EG10517	15.8281	11.3387	10.1278
EG10518	217.7056	237.2025	219.6153
EG10519	77.2937	95.3179	95.8805
EG10520	36.2494	45.2873	40.8636
EG10521	9.0461	9.1962	9.2063
EG10522	1101.2599	736.3302	771.821
EG10523	138.46	154.0028	147.5555
EG10524	4.0751	2.5123	2.4151
EG10525	27.0754	23.5264	27.9206
EG10526	2.712	1.5472	1.2523
EG10527	0.9339	1.0476	1.3318
EG10528	18.1467	19.5734	33.8232
EG10529	114.0745	129.7346	141.4048
EG10530	139.9084	153.4531	139.5599
EG10531	5.5981	3.254	2.509
EG10532	212.4142	186.0586	193.6347
EG10533	77.187	76.4018	84.2363
EG10534	24.479	24.9319	27.4931
EG10535	12.5956	10.4419	7.9908
EG10536	310.022	180.8351	197.9933
EG10537	296.5878	203.2028	245.3356
EG10538	148.5388	90.7498	141.1726
EG10539	1757.1595	759.7147	836.8295
EG10540	621.2031	352.228	434.8642
EG10541	164.3937	130.8778	177.2361
EG10542	182.8212	137.4314	174.9993
EG10543	762.9507	753.1221	864.2789
EG10544	7042.0757	19066.7249	12308.7131
EG10545	189.0782	253.9822	258.3973
EG10546	98.5945	108.199	104.758
EG10547	498.3291	558.7337	636.5597
EG10548	87.0244	116.5538	154.2101
EG10549	53.3145	52.9555	56.806
EG10550	259.1902	323.9127	427.442
EG10551	12.8379	10.1689	11.3497
EG10552	237.1265	274.825	300.4577
EG10553	32.659	28.4568	28.8652
EG10554	47.0829	42.6017	64.4802
EG10555	6.8481	7.2031	11.5994
EG10556	6.107	6.0808	9.642
EG10557	7.6382	6.0835	5.955
EG10558	10.0901	11.2514	20.3626
EG10559	20.35	17.7674	28.6191
EG10560	47.0363	26.8825	35.0625
EG10561	24.6476	18.2074	24.1907
EG10562	86.019	114.8971	132.3862
EG10563	8.9664	7.6066	7.0553
EG10564	23.5161	20.6915	21.3682
EG10565	20.6527	13.191	16.4225
EG10566	61.8857	58.1494	59.0185
EG10567	393.1859	346.7964	349.3906
