Frame ID	Name	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Feist formula	Media Concentration (mM)	Biomass information	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
1agpg181	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	C24H46O9P	-1	509.5924000000	C24H46O9P1		"{""core"": [], ""wildtype"": []}"			[]	
1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	C15H30O7P	-1	353.3690000000	C15H29O7P1		"{""core"": [], ""wildtype"": []}"			[]	
1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H36O7P	-1	407.4604000000	C19H35O7P1		"{""core"": [], ""wildtype"": []}"			[]	
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	C19H38O7P	-1	409.4762000000	C19H37O7P1		"{""core"": [], ""wildtype"": []}"			[]	
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H40O7P	-1	435.5140000000	C21H39O7P1		"{""core"": [], ""wildtype"": []}"			[]	
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	C21H42O7P	-1	437.5298000000	C21H41O7P1		"{""core"": [], ""wildtype"": []}"			[]	
1pyr5c	1-Pyrroline-5-carboxylate	C5H6NO2	-1	112.1074000000	C5H6NO2		"{""core"": [], ""wildtype"": []}"			[]	
1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H32O7P	-1	379.4068000000	C17H31O7P1		"{""core"": [], ""wildtype"": []}"			[]	
1tdecg3p	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H34O7P	-1	381.4226000000	C17H33O7P1		"{""core"": [], ""wildtype"": []}"			[]	
23camp	2',3'-Cyclic AMP	C10H11N5O6P	-1	328.1999000000	C10H11N5O6P		"{""core"": [], ""wildtype"": []}"			[]	
23ccmp	2',3'-Cyclic CMP	C9H11N3O7P	-1	304.1739000000	C9H11N3O7P		"{""core"": [], ""wildtype"": []}"			[]	
23cgmp	2',3'-Cyclic GMP	C10H11N5O7P	-1	344.1989000000	C10H11N5O7P		"{""core"": [], ""wildtype"": []}"			[]	
23cump	2',3'-Cyclic UMP	C9H10N2O8P	-1	305.1580000000	C9H10N2O8P		"{""core"": [], ""wildtype"": []}"			[]	
23dappa	2,3-diaminopropionate	C3H9N2O2	1	105.1161000000	C3H9N2O2		"{""core"": [], ""wildtype"": []}"			[]	
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	C7H7O4	-1	155.1283000000	C7H7O4		"{""core"": [], ""wildtype"": []}"			[]	
23dhb	2,3-Dihydroxybenzoate	C7H5O4	-1	153.1125000000	C7H5O4		"{""core"": [], ""wildtype"": []}"			[]	
23dhba	(2,3-Dihydroxybenzoyl)adenylate	C17H17N5O10P	-1	482.3203000000	C17H17N5O10P		"{""core"": [], ""wildtype"": []}"			[]	
23dhbzs	2,3-dihydroxybenzoylserine	C10H10NO6	-1	240.1900000000	C10H10NO6		"{""core"": [], ""wildtype"": []}"			[]	
23dhdp	2,3-Dihydrodipicolinate	C7H5NO4	-2	167.1195000000	C7H5NO4		"{""core"": [], ""wildtype"": []}"			[]	
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	133.1221000000	C5H9O4		"{""core"": [], ""wildtype"": []}"			[]	
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H11O4	-1	147.1489000000	C6H11O4		"{""core"": [], ""wildtype"": []}"			[]	
23doguln	2,3-Dioxo-L-gulonate	C6H7O7	-1	191.1143000000	C6H7O7		"{""core"": [], ""wildtype"": []}"			[]	
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H16N4O12P	-3	451.2594000000	C13H15N4O12P		"{""core"": [], ""wildtype"": []}"			[]	
25dkglcn	2,5-diketo-D-gluconate	C6H7O7	-1	191.1143000000	C6H7O7		"{""core"": [], ""wildtype"": []}"			[]	
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	C9H15N5O8P	-1	352.2185000000	C9H14N5O8P		"{""core"": [], ""wildtype"": []}"			[]	
26dap-LL	LL-2,6-Diaminoheptanedioate	C7H14N2O4	0	190.1976000000	C7H14N2O4		"{""core"": [], ""wildtype"": []}"			[]	
26dap-M	meso-2,6-Diaminoheptanedioate	C7H14N2O4	0	190.1976000000	C7H14N2O4		"{""core"": [], ""wildtype"": []}"			[]	
2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P	0	397.4454000000	C17H36NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	C19H40NO7P	0	425.4990000000	C19H40NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P	0	423.4832000000	C19H38NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P	0	453.5526000000	C21H44NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P	0	451.5368000000	C21H42NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P	0	481.6062000000	C23H48NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P	0	479.5904000000	C23H46NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H36O9P	-1	427.4474000000	C18H36O9P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H40O9P	-1	455.5010000000	C20H40O9P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H38O9P	-1	453.4852000000	C20H38O9P1		"{""core"": [], ""wildtype"": []}"			[]	
