"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose minus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"EG10142"	11.0885666667	9.116	11.0885666667	10.048	14.454
"EG10143"	9.74356666667	6.83266666667	9.74356666667	8.84153333333	11.9983
"EG10144"	3.65633333333	4.89033333333	3.65633333333	4.3708	5.98803333333
"EG10145"	2.7432	3.72956666667	2.7432	3.31873333333	6.3909
"EG10146"	351.949233333	410.4554	351.949233333	537.6386	292.382366667
"EG10147"	163.115166667	212.170166667	163.115166667	128.3743	90.1171333333
"EG10148"	150.577	216.755633333	150.577	195.412066667	117.266266667
"EG10149"	697.474733333	772.348833333	697.474733333	931.2913	624.3675
"EG10150"	641.793633333	780.4847	641.793633333	512.735133333	411.654066667
"EG10151"	296.5568	346.701433333	296.5568	261.1693	252.620433333
"EG10152"	81.5598666667	42.1117	81.5598666667	126.159133333	150.969533333
"EG10153"	41.252	27.5636333333	41.252	28.4254	64.0694666667
"EG10154"	47.0047	30.1592333333	47.0047	30.9556333333	55.9082666667
"EG10155"	1362.71773333	1477.12843333	1362.71773333	1382.38846667	131.020666667
"EG10156"	242.919333333	283.4438	242.919333333	453.437633333	914.034766667
"EG10157"	96.3686333333	67.1744333333	96.3686333333	87.8463666667	353.153733333
"EG10158"	464.363666667	323.3837	464.363666667	387.064266667	512.6788
"EG10159"	332.418766667	286.668866667	332.418766667	299.906933333	558.387633333
"EG10160"	20.4082666667	22.1168666667	20.4082666667	74.3736333333	18.2835333333
"EG10161"	1.13953333333	1.42416666667	1.13953333333	1.46143333333	2.67153333333
"EG10162"	1.24253333333	1.9233	1.24253333333	1.74553333333	2.87146666667
"EG10163"	56.8139	55.8991	56.8139	51.0200666667	75.2018333333
"EG10164"	893.6292	648.5591	893.6292	873.502266667	869.153066667
"EG10165"	982.416733333	1155.1176	982.416733333	893.410433333	1503.2539
"EG10166"	11173.4487333	5848.88836667	11173.4487333	786.934466667	1022.87896667
"EG10167"	63.9847333333	82.1332333333	63.9847333333	155.4656	29.5684
"EG10168"	31.4362	56.0683	31.4362	40.9195	54.9302333333
"EG10169"	169.932766667	335.390833333	169.932766667	103.7186	48.8088333333
"EG10170"	243.704533333	197.9962	243.704533333	167.851466667	311.086533333
"EG10172"	110.680533333	89.4002666667	110.680533333	103.7298	64.1412666667
"EG10173"	354.1239	69.0799666667	354.1239	185.908566667	172.229066667
"EG10174"	239.119833333	86.6717666667	239.119833333	215.125733333	219.8917
"EG10175"	4.4512	4.79976666667	4.4512	4.96776666667	9.91896666667
