"Gene"	"M9 Glucose minus AAs"	"N limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P limited Glucose plus AAs"
"G7006"	22.5966666667	25.1533333333	17.3266666667	16.54	30.91
"G7007"	33.9	37.63	23.72	22.8	45.2133333333
"G7008"	27.5833333333	32.1833333333	17.1	21.2666666667	16.92
"G7009"	242.643333333	263.006666667	27.7566666667	154.91	1543.77666667
"G7010"	42.61	56.0866666667	35.1033333333	43.87	162.06
"G7011"	15.7533333333	18.16	10.4833333333	11.9	40.3133333333
"G7012"	193.75	210.11	209.2	193.15	161.643333333
"G7013"	119.226666667	130.093333333	176.12	120.183333333	109.96
"G7014"	307.89	398.373333333	597.633333333	376.943333333	342.903333333
"G7015"	35.2266666667	34.07	29.6766666667	45.7933333333	49.83
"G7016"	73.4166666667	62.41	46.7533333333	90.9033333333	110.733333333
"G7017"	81.5566666667	85.62	86.0233333333	74.7133333333	40.14
"G7018"	49.33	58.75	54.2566666667	38.9533333333	44.5266666667
"G7019"	57.1033333333	56.6133333333	58.1033333333	83.1633333333	117.376666667
"G7020"	65.6233333333	67.4266666667	44.77	59.98	73.7233333333
"G7021"	47.1366666667	47.3466666667	37.8733333333	48.99	59.6033333333
"G7022"	5.84333333333	5.11	4.15333333333	7.27666666667	6.58666666667
"G7023"	1.35	1.27333333333	1.1	2.12333333333	0.946666666667
"G7024"	85.7333333333	86.92	76.3	64.4633333333	126.25
"G7025"	41.94	42.9966666667	24.77	48.91	51.4666666667
"G7026"	16.1266666667	23.58	16.6966666667	19.1966666667	3.06666666667
"G7027"	54.5466666667	74.0466666667	54.72	89.69	6.13333333333
"G7028"	88.3633333333	88.86	77.5033333333	197.893333333	5.12666666667
"G7029"	42.2233333333	52.9166666667	25.8233333333	30.5233333333	51.6433333333
"G7030"	15.66	30.5233333333	45.65	27.88	16.19
"G7031"	18.2166666667	15.8566666667	37.1133333333	22.5133333333	64.7033333333
"G7033"	37.7633333333	36.0333333333	52.5666666667	117.25	41.8
"G7034"	225.01	254.073333333	142.516666667	160.17	51.7633333333
"G7035"	190.983333333	219.063333333	297.53	556.256666667	8.82333333333
"G7036"	9.51	10.6666666667	66.14	16.8366666667	91.02
"G7037"	85.32	85.3033333333	38.2133333333	87.1566666667	282.333333333
"G7038"	164.063333333	167.25	82.61	195.033333333	639.58
"G7039"	806.943333333	828.13	391.36	1544.82666667	4876.49333333
"G7040"	21.3866666667	108.953333333	11.26	9.51	19.9733333333
"G7041"	0.84	0.0	0.193333333333	0.17	0.0
"G7042"	5.86333333333	6.46	1.61666666667	5.37	0.656666666667
"G7043"	13.5566666667	20.7633333333	7.09333333333	18.64	0.0766666666667
"G7044"	180.486666667	171.54	94.5833333333	202.526666667	6.94666666667
"G7045"	80.0533333333	83.2166666667	119.233333333	86.1633333333	249.096666667
"G7046"	41.51	40.7933333333	5.84333333333	37.93	313.806666667
"G7047"	0.0	0.0	0.0	0.0	0.0
"G7048"	36.0233333333	34.1766666667	8.94	35.4933333333	297.063333333
"G7049"	20.3466666667	21.86	15.77	19.1433333333	48.7466666667
"G7050"	48.07	61.0333333333	10.7533333333	30.7933333333	256.6
"G7051"	37.36	34.36	28.5533333333	26.3033333333	209.69
"G7052"	4.9	3.31333333333	1.85666666667	6.45	20.1566666667
"G7053"	6.75666666667	7.92	10.53	9.31	17.3066666667
"G7054"	20.0033333333	14.6633333333	20.7233333333	16.3533333333	26.35
"G7055"	103.896666667	79.1366666667	15.79	115.263333333	650.136666667
"G7056"	22.6533333333	25.9433333333	15.6833333333	13.18	16.8133333333
"G7057"	59.8866666667	53.2866666667	41.3133333333	37.6	50.8066666667
"G7058"	10.41	16.79	6.50333333333	12.34	14.1033333333
"G7059"	13.7166666667	13.9133333333	7.8	14.22	56.1233333333
"G7060"	9.07666666667	9.14666666667	5.71666666667	10.83	23.9433333333
"G7061"	9.82333333333	12.19	15.1666666667	10.6033333333	4.78333333333
"G7062"	5.65333333333	6.25	5.26	5.38666666667	5.67
"G7063"	69.51	64.8733333333	40.37	164.456666667	65.8633333333
"G7064"	8.9	9.97	9.19333333333	8.90333333333	15.4533333333
"G7065"	1.27666666667	1.55666666667	1.89666666667	1.11333333333	0.456666666667
"G7066"	2.37333333333	1.96	1.83666666667	3.1	1.45666666667
"G7067"	206.683333333	195.04	107.46	135.79	229.13
"G7068"	215.82	258.9	261.44	173.263333333	114.573333333
"G7069"	0.0	0.0	0.0	0.0	0.0
"G7070"	5.71666666667	6.41333333333	4.61666666667	6.55333333333	29.1633333333
"G7071"	55.0233333333	65.6166666667	9.3	288.453333333	491.546666667
"G7072"	14.1	88.27	9.82333333333	7.12333333333	11.2533333333
"G7073"	51.8366666667	49.34	28.4466666667	51.53	179.13
"G7074"	15.3666666667	13.4666666667	19.3066666667	15.4	18.69
"G7075"	18.06	25.71	602.373333333	26.9233333333	14.9866666667
"G7076"	0.0133333333333	0.00333333333333	1.24666666667	0.0233333333333	0.0
"G7077"	9.51	10.0833333333	7.56333333333	12.4666666667	27.2733333333
"G7078"	25.6333333333	28.4966666667	26.6066666667	29.49	69.5166666667
"G7079"	3.72333333333	4.74666666667	2.43	4.34333333333	11.07
"G7080"	29.5666666667	32.21	22.8766666667	25.11	58.1166666667
"G7081"	7.74666666667	9.21333333333	5.94333333333	8.53	12.9533333333
"G7082"	5.1	4.92666666667	3.89333333333	6.47	9.40666666667
"G7083"	1.65	3.24333333333	2.18666666667	4.80666666667	4.58666666667
"G7084"	2.95	3.60666666667	3.52666666667	4.37333333333	5.66666666667
"G7085"	4.94666666667	4.53666666667	3.49333333333	2.11666666667	5.27666666667
"G7086"	19.1266666667	15.3666666667	12.9	16.5266666667	25.0733333333
"G7087"	1803.21666667	1685.03	1682.67	1900.43666667	2125.82333333
"G7088"	16.2866666667	16.6066666667	21.2633333333	14.1633333333	50.07
"G7089"	126.99	131.256666667	165.556666667	126.396666667	229.97
"G7090"	416.51	475.153333333	254.976666667	281.33	184.266666667
"G7091"	23.3466666667	26.01	17.4	10.0966666667	21.0933333333
"G7092"	233.15	248.69	209.64	325.696666667	286.756666667
"G7093"	496.243333333	479.31	262.91	332.593333333	450.066666667
"G7094"	9.38666666667	10.34	8.77666666667	8.86	9.31
"G7095"	4.10666666667	4.46	3.19	3.51666666667	4.81666666667
"G7096"	4.93333333333	3.95666666667	3.10666666667	4.13666666667	5.29
"G7097"	1.92333333333	1.83333333333	1.35333333333	1.42333333333	2.31
"G7098"	1.97666666667	1.61666666667	1.26	1.19	2.15666666667
"G7099"	1.47	1.15666666667	1.01333333333	0.983333333333	1.46666666667
"G7100"	1.55666666667	1.25333333333	1.73333333333	0.83	1.23333333333
"G7101"	1.89666666667	1.91666666667	0.67	1.11666666667	1.97333333333
"G7102"	2.21666666667	2.20666666667	1.41	2.30333333333	2.52666666667
"G7103"	3.37333333333	3.29666666667	4.17	4.90666666667	4.68
"G7104"	3.1	2.41666666667	2.63666666667	2.87333333333	3.12666666667
"G7105"	2.29333333333	2.25	2.50333333333	1.83666666667	2.42666666667
"G7106"	1.07333333333	2.01333333333	0.75	0.71	2.01333333333
"G7107"	1.89666666667	1.68333333333	1.04666666667	1.10666666667	1.69666666667
"G7108"	27.3066666667	27.7666666667	35.11	23.61	46.9366666667
"G7109"	4.62666666667	5.53	4.27666666667	4.99666666667	7.11333333333
"G7110"	2.5	2.44333333333	1.21666666667	2.39333333333	4.53333333333
"G7111"	1.29666666667	1.49	0.973333333333	1.62666666667	2.05333333333
"G7112"	2.24666666667	3.06666666667	1.13666666667	2.14	2.81
"G7113"	12.5066666667	10.2266666667	6.23333333333	13.2433333333	18.9133333333
"G7114"	6.73666666667	6.54333333333	4.57666666667	7.31	12.57
"G7115"	6.16	5.86666666667	4.59666666667	5.83	8.67666666667
"G7117"	141.46	121.51	24.5033333333	99.18	1623.57
"G7118"	74.4933333333	76.1866666667	35.48	38.9766666667	57.5466666667
"G7119"	53.88	47.8033333333	66.16	102.066666667	38.2833333333
"G7120"	5.17666666667	4.77666666667	2.89666666667	6.45333333333	8.12666666667
"G7121"	4.84333333333	4.19666666667	2.52666666667	6.36333333333	7.75
"G7122"	3.92333333333	6.13	2.76333333333	5.61666666667	5.89333333333
"G7123"	20.4266666667	19.87	4.25333333333	18.9166666667	113.14
"G7125"	32.1066666667	32.8566666667	36.8266666667	36.9366666667	52.36
"G7126"	5.15	6.31333333333	6.14	6.39666666667	5.61666666667
"G7128"	1326.89333333	1751.56	909.9	4799.14666667	433.693333333
"G7129"	134.26	131.493333333	21.79	121.633333333	726.076666667
"G7130"	6.08	6.99333333333	3.86	13.7133333333	3.51666666667
"G7131"	11.8166666667	9.66	7.0	20.5766666667	10.4766666667
"G7132"	14.0366666667	12.4233333333	10.1666666667	17.3133333333	10.4733333333
"G7133"	21.2033333333	20.4266666667	20.8733333333	20.2766666667	19.02
"G7134"	23.8266666667	29.28	26.6566666667	19.6833333333	20.61
"G7135"	137.546666667	122.83	129.336666667	157.813333333	196.696666667
"G7137"	37.4466666667	45.23	55.52	33.97	31.4033333333
"G7138"	11.2033333333	9.73	11.88	11.04	7.05333333333
"G7139"	124.14	118.503333333	151.753333333	157.45	164.643333333
"G7144"	29.3133333333	37.1	40.7233333333	41.72	32.4266666667
"G7145"	3.71	3.14333333333	3.66666666667	7.64	3.96666666667
"G7146"	35.28	35.12	35.0433333333	17.72	7.13333333333
"G7147"	671.993333333	771.843333333	336.396666667	759.073333333	110.813333333
"G7148"	32.1466666667	40.04	30.6933333333	25.4066666667	17.39
"G7149"	724.386666667	489.01	351.533333333	573.483333333	676.893333333
"G7150"	233.15	248.69	209.64	325.696666667	286.756666667
"G7152"	2.23666666667	1.91333333333	2.59	2.12333333333	4.89
"G7153"	4.46666666667	3.07	3.30333333333	4.38	4.87
"G7154"	7.39	9.54666666667	5.17	12.87	8.71
"G7155"	3.84666666667	3.65666666667	4.08	4.00333333333	5.75666666667
"G7156"	1.75666666667	2.01666666667	2.50333333333	2.73	2.09
"G7158"	9.75666666667	10.6766666667	7.45	11.84	12.2966666667
"G7159"	2.48666666667	2.57666666667	2.28333333333	3.79	4.00333333333
"G7160"	1.37666666667	1.38	1.0	15.1733333333	1.04
"G7161"	3.67	3.04	3.86	6.27	4.52666666667
