"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"G7177"	0.936019942807	1.56885308426	0.443057558338	1.35277492585	0.560267793113
"G7178"	0.288444102037	0.389914520547	0.373630833845	0.112694276696	0.383709959909
"G7179"	1.44107598689	0.765658757759	1.02825094213	3.2487382166	0.399499687109
"G7180"	0.488159809898	0.656429737291	0.30859898466	1.40663902027	0.453688586294
"G7181"	3.15236947919	2.02007425606	0.760723339986	2.28212620159	0.575702469452
"G7182"	0.701925922017	1.26215424308	2.00425380961	2.08452232738	0.824196578493
"G7184"	10.302252181	13.0194943578	9.08528664013	38.4154747465	16.5633541289
"G7185"	10.420006398	11.8876027861	4.31584676898	2.09800699077	10.6351414346
"G7186"	1.0074886269	0.681933525597	13.7327868014	2.79528770135	1.49684111827
"G7187"	26.3005329477	8.01030794248	37.66318804	87.8307389244	46.838926475
"G7188"	126.447292313	114.912435794	2.30948767768	118.264919143	94.9252247825
"G7189"	9.54468089217	14.0753839498	16.8696779262	38.7402533979	24.3990355001
"G7190"	0.37509998667	0.49789557138	1.14642923899	0.50764160586	0.195533458347
"G7191"	24.0530413877	17.5347093883	15.7256605585	12.8018371077	46.8305039477
"G7192"	9.41292905175	6.510179209	24.2817427985	45.3897569208	38.9736077365
"G7193"	8.55819490313	8.31698462986	2.20898921078	6.78560240509	3.93230636311
"G7194"	5.23914433217	4.26019170148	0.683690963326	6.70616383138	16.8711301736
"G7195"	5.91074727368	11.7399077225	18.2146488666	6.45026356051	34.0468065071
"G7196"	4.82918557661	8.7724625961	19.2344283339	14.1866380795	18.0333200863
"G7197"	3.17139296419	0.830321222981	3.06839263024	3.27521500567	0.556686626389
"G7198"	2.07731397081	1.98788832684	0.246644143116	3.1740562902	0.420634441449
"G7199"	3.33925640425	2.86293555638	2.17697802776	2.27035973655	3.14264750383
"G7200"	51.2193677561	71.8210897532	22.5377971417	73.0312716125	16.7961940133
"G7201"	7.52828222992	11.6905189506	6.6766233981	14.4229123273	10.5742154949
"G7202"	5.50237524469	11.9870777645	1.31621933329	9.78934284482	8.01608591105
"G7203"	13.7225034159	7.04215165983	4.11676248202	14.1372522083	4.22516666338
"G7204"	2.32620578052	0.845044377533	1.50124392866	0.783517708798	0.636343722632
"G7205"	1.11159045216	0.286181760425	1.21872884597	0.836241591886	0.946942448093
"G7206"	2.17262514024	0.851958527942	1.21	2.00335551846	1.42878736463
"G7207"	0.362537354397	0.375544049791	0.606987094866	0.128582010147	0.422532050066
"G7208"	0.667632633514	0.74069786913	1.49937764867	0.750555349947	0.110151410946
"G7209"	3.66901894244	1.60966870297	1.00851375796	2.29383957591	1.09276407945
"G7210"	0.177857620959	0.110151410946	0.665507325279	0.108166538264	0.327414110875
"G7211"	32.9648363159	28.6631453264	18.6601616642	60.8825544252	22.1744545217
"G7212"	3.0560813689	2.89295696477	1.0511580915	13.6676698819	1.05841075832
