Gene	mRNA level (RPKM)	Translation efficiency (AU)
entC	[2]	NA
entD	[2]	NA
entE	[3]	NA
entF	3	0.66
entH	[4]	NA
entS	7	0.67
envC	112	0.18
envR	[1]	NA
envY	[0]	NA
envZ	48	0.26
epd	207	0.24
eptA	32	0.81
eptB	17	0.43
era	265	0.82
erfK	13	0.43
erpA	618	2.17
essD	[4]	NA
essQ	[1]	NA
etk	9	0.58
etp	[7]	NA
eutA	[1]	NA
eutB	15	0.87
eutC	14	0.83
eutD	[1]	NA
eutE	[1]	NA
eutG	[0]	NA
eutH	[1]	NA
eutJ	[1]	NA
eutK	17	0.29
eutL	15	1.25
eutM	[3]	NA
eutN	[0]	NA
eutP	[0]	NA
eutQ	[1]	NA
eutR	[6]	NA
eutS	[0]	NA
eutT	[1]	NA
evgA	37	0.99
evgS	5	0.6
exbB	132	1.16
exbD	133	0.55
exoX	26	1.11
exuR	66	0.81
exuT	[4]	NA
fabA	869	2.02
fabB	816	1.76
fabD	859	1.28
fabF	1523	0.8
fabG	1714	0.96
fabH	721	0.78
fabI	1196	2.66
fabR	127	0.43
fabZ	773	1.92
fadA	[3]	NA
fadB	[2]	NA
fadD	49	1.07
fadE	6	0.33
fadH	[1]	NA
fadI	[3]	NA
fadJ	4	0.34
fadK	[1]	NA
fadL	313	1.7
fadM	[3]	NA
fadR	73	1.93
fbaA	887	2.31
fbaB	[6]	NA
fbp	267	1.55
fcl	[1]	NA
fdhD	44	1.13
fdhE	121	1.28
fdhF	10	0.02
fdnG	3	0.04
fdnH	[3]	NA
fdnI	[6]	NA
fdoG	137	0.12
fdoH	67	0.24
fdoI	93	0.18
fdrA	[0]	NA
fdx	303	1.53
feaB	[4]	NA
feaR	[3]	NA
fecA	8	0.49
fecB	[8]	NA
fecC	[8]	NA
fecD	[7]	NA
fecE	11	0.72
fecI	29	0.3
fecR	11	0.51
feoA	[22]	NA
feoB	30	0.89
feoC	35	0.29
fepA	[3]	NA
fepB	9	1.51
fepC	[5]	NA
fepD	[5]	NA
fepE	[0]	NA
fepG	[5]	NA
fes	[2]	NA
ffh	253	1.28
fhlA	5	0.51
fhuA	88	1.05
fhuB	20	0.26
fhuC	26	0.47
fhuD	19	0.41
fhuE	[2]	NA
fhuF	49	0.5
fic	[5]	NA
fieF	84	0.35
fimA	344	3.19
fimB	21	1.56
fimC	[11]	NA
fimD	6	0.21
fimE	[5]	NA
fimF	[6]	NA
fimG	[5]	NA
fimH	[6]	NA
fimI	22	0.15
fimZ	[1]	NA
fis	1763	3.17
fiu	7	1.46
fixA	[1]	NA
fixB	[1]	NA
fixC	[1]	NA
fixX	[0]	NA
fklB	233	3.38
fkpA	361	2.51
fkpB	176	0.5
fldA	418	2.62
fldB	130	1.33
flgA	[6]	NA
flgB	[9]	NA
flgC	[8]	NA
flgD	[10]	NA
flgE	8	1.39
flgF	[6]	NA
flgG	[6]	NA
flgH	[3]	NA
flgI	[2]	NA
flgJ	[2]	NA
flgK	[3]	NA
flgL	[3]	NA
flgM	[5]	NA
flgN	[5]	NA
flhA	[2]	NA
flhB	[2]	NA
flhC	20	0.89
flhD	25	0.96
flhE	[2]	NA
fliA	[7]	NA
fliC	10	0.55
fliD	[1]	NA
fliE	[7]	NA
fliF	[3]	NA
fliG	[4]	NA
fliH	[3]	NA
fliI	[2]	NA
fliJ	[1]	NA
fliK	[1]	NA
fliL	[5]	NA
fliM	[5]	NA
fliN	[4]	NA
fliO	[3]	NA
fliP	[2]	NA
fliQ	[3]	NA
fliR	[0]	NA
fliS	[2]	NA
fliT	[2]	NA
fliY	43	2.21
fliZ	[1]	NA
flk	32	0.68
flu	4	2.37
flxA	[1]	NA
fmt	234	0.91
fnr	383	1.32
focA	97	0.35
focB	[3]	NA
folA	128	1.51
folB	61	1.26
folC	105	1.06
folD	153	2.17
folE	145	2.47
folK	58	0.36
folM	23	0.72
folP	118	0.74
folX	183	2.04
fpr	40	1.3
frc	[2]	NA
frdA	31	1.03
frdB	34	0.91
frdC	29	0.71
frdD	33	0.95
fre	200	0.97
frlA	[0]	NA
frlB	[3]	NA
frlC	[3]	NA
frlD	[6]	NA
frlR	22	1.2
frmA	146	2.22
frmB	75	1.33
frmR	162	0.56
frr	1039	1.73
frsA	48	1.28
fruA	31	0.88
fruB	23	1.34
fruK	25	1.11
fruR	67	1.14
frvA	[1]	NA
frvB	[1]	NA
frvR	[2]	NA
frvX	[3]	NA
frwB	[2]	NA
