Gene	mRNA level (RPKM)	Translation efficiency (AU)
yaaH	85	1.32
yaaI	[1]	NA
yaaJ	[4]	NA
yaaU	[1]	NA
yaaW	[3]	NA
yaaX	33	0.28
yaaY	[16]	NA
yabI	36	0.22
yacC	35	0.92
yacF	113	1.35
yacG	128	1.95
yacH	[0]	NA
yacL	89	1.41
yadB	29	0.31
yadC	[2]	NA
yadD	10	0.15
yadE	10	0.49
yadG	42	1.33
yadH	51	0.96
yadI	[13]	NA
yadK	[1]	NA
yadL	[1]	NA
yadM	[1]	NA
yadN	[0]	NA
yadS	36	0.39
yaeB	67	0.49
yaeF	[3]	NA
yaeH	47	1.79
yaeI	[5]	NA
yaeJ	30	0.19
yaeP	87	0.73
yaeQ	41	1.06
yaeR	[19]	NA
yafC	14	1.73
yafD	27	0.62
yafE	17	0.02
yafJ	50	0.53
yafK	112	1.63
yafL	[2]	NA
yafM	[5]	NA
yafN	[16]	NA
yafO	[10]	NA
yafP	[7]	NA
yafQ	[23]	NA
yafS	17	0.34
yafT	[8]	NA
yafV	16	0.54
yafW	[0]	NA
yafX	[0]	NA
yafY	[4]	NA
yafZ	[0]	NA
yagA	[0]	NA
yagE	[6]	NA
yagF	8	0.69
yagG	[2]	NA
yagH	[3]	NA
yagI	39	0.2
yagK	[6]	NA
yagL	[3]	NA
yagM	[0]	NA
yagN	35	4.39
yagU	55	2.34
yagV	[4]	NA
yagW	[2]	NA
yagX	[1]	NA
yahA	26	0.72
yahB	[7]	NA
yahC	[1]	NA
yahD	[1]	NA
yahE	[0]	NA
yahF	[1]	NA
yahG	[1]	NA
yahI	[1]	NA
yahJ	11	0.98
yahK	[7]	NA
yahL	[0]	NA
yahM	[18]	NA
yahN	[2]	NA
yahO	[5]	NA
yaiA	[37]	NA
yaiE	62	2.56
yaiI	34	1.05
yaiL	42	1.93
yaiO	[2]	NA
yaiP	[1]	NA
yaiS	[1]	NA
yaiV	[0]	NA
yaiW	22	1.05
yaiY	[2]	NA
yaiZ	[24]	NA
yajC	1037	2
yajD	29	1.78
yajG	196	2.84
yajI	[2]	NA
yajL	47	1.78
yajO	18	1.08
yajQ	417	2.6
yajR	31	0.37
ybaA	[3]	NA
ybaB	457	3.28
ybaE	[2]	NA
ybaK	41	2.84
ybaL	49	0.54
ybaM	[31]	NA
ybaN	28	0.54
ybaO	27	0.7
ybaP	15	0.32
ybaQ	57	1.28
ybaS	[2]	NA
ybaT	[3]	NA
ybaV	[12]	NA
ybaY	17	2.47
ybaZ	[11]	NA
ybbA	[9]	NA
ybbC	[5]	NA
ybbJ	[14]	NA
ybbL	15	1.49
ybbM	13	0.65
ybbN	153	2.63
ybbO	42	0.81
ybbP	7	0.38
ybbW	[0]	NA
ybbY	[1]	NA
ybcF	[2]	NA
ybcH	[7]	NA
ybcI	[3]	NA
ybcJ	189	1.62
ybcK	[1]	NA
ybcL	[3]	NA
ybcM	[3]	NA
ybcN	[0]	NA
ybcO	[0]	NA
ybcV	[2]	NA
ybcW	[12]	NA
ybdD	[10]	NA
ybdF	[12]	NA
ybdH	15	0.58
ybdJ	[32]	NA
ybdK	[1]	NA
ybdL	7	1.15
ybdM	[2]	NA
ybdN	[2]	NA
ybdO	[0]	NA
ybdR	[3]	NA
ybdZ	[5]	NA
ybeB	283	1.35
ybeD	246	2.78
ybeF	[5]	NA
ybeL	[11]	NA
ybeQ	[2]	NA
ybeR	[0]	NA
ybeT	[1]	NA
ybeU	[0]	NA
ybeX	157	0.63
ybeY	137	0.9
ybeZ	121	1.35
ybfA	49	2.05
ybfB	[1]	NA
ybfC	[1]	NA
ybfD+yhhI	[1]	NA
ybfE	62	1.19
ybfF	29	1.83
ybfK	[0]	NA
ybfP	[4]	NA
ybgA	[2]	NA
ybgC	187	0.33
ybgD	[0]	NA
ybgE	123	0.33
ybgF	666	0.61
ybgI	67	1.9
ybgJ	63	0.33
ybgK	53	0.45
ybgL	38	0.29
ybgO	[1]	NA
ybgP	[1]	NA
ybgQ	[0]	NA
ybgS	[3]	NA
ybgT	157	2.11
ybhA	51	2.56
ybhB	103	0.5
ybhC	198	1.57
ybhD	[1]	NA
ybhF	14	0.27
ybhG	21	0.55
ybhH	[0]	NA
ybhI	[1]	NA
ybhJ	[3]	NA
ybhK	27	0.47
ybhL	75	1.24
ybhM	[3]	NA
ybhN	[1]	NA
ybhO	[1]	NA
ybhP	[1]	NA
ybhQ	31	0.64
ybhR	[5]	NA
ybhS	8	0.32
ybhT	532	1.03
ybiA	[4]	NA
ybiB	34	1.87
ybiC	30	2.35
ybiH	18	0.29
ybiI	[1]	NA
ybiJ	[8]	NA
ybiO	[1]	NA
ybiP	26	0.75
ybiR	30	0.28
ybiS	220	1.71
ybiT	140	1.78
ybiU	8	1.72
ybiV	24	1.54
ybiW	[1]	NA
ybiX	[3]	NA
ybiY	[0]	NA
ybjC	65	0.05
ybjD	16	0.86
ybjE	23	0.97
ybjG	62	0.77
ybjH	[18]	NA
ybjI	18	1.26
ybjJ	19	0.66
ybjK	[8]	NA
ybjL	40	0.79
ybjM	[10]	NA
ybjN	106	0.99
ybjO	36	0.17
ybjP	25	2.73
ybjQ	37	1.77
ybjS	40	0.78
ybjT	20	0.23
ybjX	107	2.01
ycaC	[2]	NA
ycaD	51	0.43
ycaI	[3]	NA
ycaK	[5]	NA
ycaL	[7]	NA
ycaM	[3]	NA
ycaN	[6]	NA
ycaO	172	2.07
ycaP	[2]	NA
ycaQ	7	0.04
ycaR	198	2.67
ycbB	17	0.38
ycbC	[9]	NA
ycbF	[2]	NA
ycbJ	[4]	NA
ycbK	111	1.29
ycbL	140	0.96
ycbU	[1]	NA
ycbV	[2]	NA
ycbW	41	0.29
ycbX	28	1.76
ycbZ	81	0.66
yccA	447	1.42
yccB	[5]	NA
yccE	[1]	NA
yccF	68	0.9
yccJ	[11]	NA
yccK	74	1.44
yccM	[1]	NA
yccS	47	0.4
yccT	[1]	NA
yccU	40	3.69
yccX	[9]	NA
ycdT	[4]	NA
ycdU	[1]	NA
ycdX	68	1.04
ycdY	88	2.25
ycdZ	61	0.26
yceA	147	1.79
yceB	29	1.51
yceD	3835	0.12
yceF	26	2.11
yceG	44	0.55
yceH	49	1.28
yceI	[12]	NA
yceJ	[5]	NA
yceK	[9]	NA
yceM	35	0.34
yceO	[1]	NA
yceQ	[1]	NA
ycfD	92	1.65
ycfH	66	1.66
ycfJ	20	0.11
ycfL	124	0.09
ycfM	97	1.18
ycfP	70	1.92
ycfQ	25	0.71
ycfS	21	1.67
ycfT	[0]	NA
ycfZ	[3]	NA
ycgB	[1]	NA
ycgE	20	0.76
ycgF	[1]	NA
ycgG	[1]	NA
ycgJ	23	1.56
ycgL	91	1.97
ycgM	50	0.47
ycgN	40	1.39
ycgR	[1]	NA
ycgV	3	0.04
ycgX	[16]	NA
ycgY	[1]	NA
ycgZ	[9]	NA
ychA	93	0.3
ychE	25	0.57
ychF	327	2.74
ychH	[15]	NA
ychJ	101	0.63
ychM	35	0.71
ychN	74	2.65
ychO	7	0.3
ychQ	56	0.07
yciA	147	1.46
yciB	75	1.17
yciC	74	1.08
yciE	[1]	NA
yciF	[0]	NA
yciG	[0]	NA
yciH	133	1.03
yciI	40	2.41
yciK	24	1.51
yciM	42	0.27
yciN	199	2.14
yciO	56	1.93
yciQ	8	0.04
yciS	89	0.61
yciT	59	1.92
yciU	80	1.5
yciV	37	0.22
yciW	9	0.09
yciX	90	0.63
yciY	237	1.04
yciZ	[40]	NA
ycjD	[8]	NA
ycjF	23	0.94
ycjG	10	0.72
ycjM	[0]	NA
ycjN	[0]	NA
ycjO	[0]	NA
ycjP	[0]	NA
ycjQ	[1]	NA
ycjR	[1]	NA
ycjS	[1]	NA
ycjT	[1]	NA
ycjU	[0]	NA
ycjW	[7]	NA
ycjX	24	0.82
ycjY	[1]	NA
ycjZ	12	0.69
ydaC	[2]	NA
ydaE	[0]	NA
ydaF	[4]	NA
ydaG	[0]	NA
ydaL	35	0.76
ydaM	[2]	NA
ydaN	23	0.81
ydaQ	[0]	NA
ydaS	[2]	NA
ydaT	[2]	NA
ydaU	[1]	NA
ydaV	[1]	NA
ydbC	[3]	NA
ydbD	[1]	NA
ydbH	16	0.43
ydbJ	44	2.2
ydbK	58	1.23
ydbL	[19]	NA
ydcA	[29]	NA
ydcC	[0]	NA
ydcD	[3]	NA
ydcF	31	1.22
ydcH	[11]	NA
ydcI	30	1.19
ydcJ	[2]	NA
ydcK	[1]	NA
ydcL	30	1.37
ydcN	[15]	NA
ydcO	[2]	NA
ydcP	71	0.88
ydcR	18	0.93
ydcS	[1]	NA
ydcT	[1]	NA
ydcU	[2]	NA
ydcV	[1]	NA
ydcX	[30]	NA
ydcY	176	2.6
ydcZ	[9]	NA
yddA	[1]	NA
yddB	[2]	NA
yddE	14	1.25
yddG	12	0.93
yddH	[2]	NA
yddJ	[0]	NA
yddM	[21]	NA
yddW	22	1
ydeA	19	0.84
ydeE	[5]	NA
ydeH	[2]	NA
ydeI	[0]	NA
ydeJ	[0]	NA
ydeM	[0]	NA
ydeN	[1]	NA
ydeO	[0]	NA
ydeP	[2]	NA
ydeQ	[0]	NA
ydeR	[1]	NA
ydeS	[1]	NA
ydfA	[6]	NA
ydfB	[3]	NA
ydfC	[6]	NA
ydfD	[2]	NA
ydfG	119	2.54
ydfH	38	1.04
ydfI	[3]	NA
ydfO	[4]	NA
ydfR	[1]	NA
ydfU	[0]	NA
ydfV	[0]	NA
ydfZ	[14]	NA
ydgA	92	1.57
ydgC	[13]	NA
ydgD	17	0.46
ydgH	137	2.52
ydgI	50	0.42
ydgJ	30	0.87
ydgK	82	0.4
ydgU	[0]	NA
ydhB	11	0.82
ydhC	60	1
ydhF	30	2.27
ydhI	[27]	NA
ydhJ	20	0.77
ydhK	10	0.26
ydhL	[4]	NA
ydhO	18	1.12
ydhP	10	0.99
ydhQ	56	1.63
ydhR	78	2.19
ydhS	[1]	NA
ydhT	[1]	NA
ydhU	[2]	NA
ydhV	[1]	NA
ydhW	[2]	NA
ydhX	[0]	NA
ydhY	[1]	NA
ydhZ	43	1.86
ydiB	[3]	NA
ydiE	[15]	NA
ydiF	[1]	NA
ydiH	[6]	NA
ydiI	44	1.14
ydiJ	41	1.35
ydiK	57	1.07
ydiL	[0]	NA
ydiM	[0]	NA
ydiN	[0]	NA
ydiO	[1]	NA
ydiP	[2]	NA
ydiQ	[1]	NA
ydiR	[1]	NA
ydiS	[1]	NA
ydiT	[0]	NA
ydiU	36	0.43
ydiV	12	0.14
ydiY	270	1.68
ydiZ	[8]	NA
ydjA	71	2.27
ydjE	[2]	NA
ydjF	19	1.2
ydjG	[2]	NA
ydjH	[1]	NA
ydjI	[1]	NA
ydjJ	[1]	NA
ydjK	[1]	NA
ydjL	[1]	NA
ydjM	[11]	NA
ydjN	19	0.88
ydjO	[0]	NA
ydjX	[1]	NA
ydjY	[2]	NA
ydjZ	[5]	NA
yeaC	107	1.76
yeaD	40	2.53
yeaE	10	0.9
yeaG	[3]	NA
yeaH	[1]	NA
yeaI	[0]	NA
yeaJ	16	0.33
yeaK	32	1.81
yeaL	[10]	NA
yeaM	[9]	NA
yeaN	[4]	NA
yeaO	[13]	NA
yeaP	24	0.6
yeaQ	55	1.84
yeaR	[0]	NA
yeaV	[0]	NA
yeaW	[0]	NA
yeaX	[1]	NA
yeaY	98	0.53
yeaZ	115	1.25
yebA	37	0.7
yebB	[1]	NA
yebC	461	2.29
yebE	[5]	NA
yebF	53	0.29
yebG	63	2.81
yebK	31	0.85
yebN	24	0.6
yebO	214	0.79
yebQ	[2]	NA
yebR	165	1
yebS	14	0.26
yebT	15	0.63
yebV	[7]	NA
yebW	[18]	NA
yebY	91	1.98
yebZ	78	0.21
yecA	37	1.17
yecC	31	0.94
yecD	30	1.2
yecE	14	0.41
yecF	160	3.26
yecH	[5]	NA
yecJ	83	3.44
yecM	30	1.11
yecN	117	0.14
yecR	[2]	NA
yecS	29	0.83
yecT	[4]	NA
yedA	[2]	NA
yedD	154	2.5
yedE	136	1.38
yedF	139	1.65
yedI	23	0.89
yedJ	31	0.23
yedK	[2]	NA
yedL	[3]	NA
yedP	[2]	NA
yedQ	8	0.38
yedR	34	1.14
yedV	8	0.54
yedW	22	0.59
yedY	[6]	NA
yedZ	[4]	NA
yeeA	19	0.44
yeeD	[13]	NA
yeeE	[4]	NA
yeeF	1286	1.08
yeeJ	2	0.11
yeeN	130	2.1
yeeO	[3]	NA
yeeR	[1]	NA
yeeS	[1]	NA
yeeT	[0]	NA
yeeU	[0]	NA
yeeV	[0]	NA
yeeX	296	3.45
yeeY	9	0.03
yeeZ	53	1.31
yefM	[31]	NA
yegD	32	0.77
yegE	4	0.23
yegH	26	0.88
yegI	[1]	NA
yegJ	[1]	NA
yegK	[0]	NA
yegL	[1]	NA
yegP	[2]	NA
yegQ	159	1.77
yegR	[2]	NA
yegS	[1]	NA
yegT	[2]	NA
yegU	9	1.28
yegV	[5]	NA
yegW	18	0.79
yegX	[4]	NA
yehA	[0]	NA
yehB	[1]	NA
yehC	[0]	NA
yehD	[0]	NA
yehE	[11]	NA
yehI	[1]	NA
yehK	[0]	NA
yehL	[1]	NA
yehM	[1]	NA
yehP	[1]	NA
yehR	[3]	NA
yehS	49	1.47
yehT	16	0.73
yehU	14	0.32
yehW	[1]	NA
yehX	[2]	NA
yehY	[2]	NA
yeiA	[3]	NA
yeiB	29	0.09
yeiE	27	0.67
yeiG	19	1.95
yeiH	18	0.72
yeiI	21	0.15
yeiL	[1]	NA
yeiP	200	3.35
yeiQ	12	1.14
yeiR	27	1.27
yeiS	[18]	NA
yeiT	[2]	NA
yeiW	[7]	NA
yejA	7	0.59
yejB	[7]	NA
yejE	8	0.32
yejF	8	0.28
yejG	115	1.26
yejH	9	1.01
yejK	99	1.72
yejL	228	2.43
yejM	77	0.2
yfaA	[4]	NA
yfaD	[8]	NA
yfaE	219	0.29
yfaL	3	0.07
yfaP	[1]	NA
yfaQ	[1]	NA
yfaT	[1]	NA
yfaY	34	1.46
yfaZ	123	2.29
yfbK	[1]	NA
yfbL	[1]	NA
yfbM	[1]	NA
yfbN	[1]	NA
yfbO	[3]	NA
yfbP	[4]	NA
yfbR	19	2.53
yfbS	8	0.2
yfbT	86	0.44
yfbU	102	2.17
yfbV	34	1.82
yfcA	45	0.32
yfcC	[2]	NA
yfcD	146	1.88
yfcE	141	1
yfcF	[5]	NA
yfcG	[0]	NA
yfcH	105	0.22
yfcI	[4]	NA
yfcJ	14	0.71
yfcL	105	2.03
yfcM	50	0.36
yfcN	42	1.43
yfcO	22	0.32
yfcP	[1]	NA
yfcQ	[1]	NA
yfcR	[1]	NA
yfcS	[0]	NA
yfcV	[0]	NA
yfcZ	291	2.25
yfdC	[2]	NA
yfdE	[1]	NA
yfdF	[1]	NA
yfdK	[3]	NA
yfdN	[0]	NA
yfdP	[1]	NA
yfdQ	[2]	NA
yfdR	[1]	NA
yfdS	[0]	NA
yfdT	[1]	NA
yfdV	[1]	NA
yfdX	[1]	NA
yfdY	[28]	NA
yfeA	26	0.27
yfeC	[19]	NA
yfeD	[19]	NA
yfeH	36	0.86
yfeK	[3]	NA
yfeN	[2]	NA
yfeO	[2]	NA
yfeR	[7]	NA
yfeS	[6]	NA
yfeW	[5]	NA
yfeX	143	1.9
yfeY	61	0.44
yfeZ	46	0.26
yffB	76	2.1
yffL	[7]	NA
yffM	[1]	NA
yffN	[1]	NA
yffO	[1]	NA
yffP	[2]	NA
yffQ	[2]	NA
yffR	22	0.89
yffS	28	2.16
yfgC	30	0.46
yfgD	116	3.52
yfgF	[2]	NA
yfgG	[33]	NA
yfgH	[2]	NA
yfgI	[2]	NA
yfgJ	87	1.27
yfgM	269	0.82
yfgO	41	0.54
yfhB	20	0.83
yfhG	27	0.41
yfhH	14	0.79
yfhL	46	1.29
yfhM	21	0.37
yfhR	[2]	NA
yfiB	[10]	NA
yfiC	21	0.93
yfiD	173	3.37
yfiE	9	0.91
yfiF	176	1.72
yfiH	85	0.49
yfiL	[1]	NA
yfiM	[11]	NA
yfiN	7	0.31
yfiP	26	1.39
yfiQ	9	0.17
yfiR	19	0.14
yfjD	41	0.46
yfjF	107	1.39
yfjG	176	1.19
yfjH	[4]	NA
yfjI	[0]	NA
yfjJ	[1]	NA
yfjK	8	0.38
yfjL	14	0.22
yfjM	[4]	NA
yfjO	44	0.21
yfjP	[2]	NA
yfjQ	[0]	NA
yfjR	[3]	NA
yfjS	[2]	NA
yfjT	[1]	NA
yfjW	[3]	NA
yfjX	[0]	NA
yfjY	[0]	NA
yfjZ	[1]	NA
ygaC	[8]	NA
ygaD	61	1
ygaH	110	0.16
ygaM	[4]	NA
ygaP	[9]	NA
ygaU	26	1.24
ygaV	[12]	NA
ygaW	[8]	NA
ygaZ	118	0.2
ygbA	[6]	NA
ygbE	[14]	NA
ygbF	[6]	NA
ygbI	17	0.94
ygbJ	[2]	NA
ygbK	[2]	NA
ygbL	[2]	NA
ygbM	[3]	NA
ygbN	[2]	NA
ygbT	[6]	NA
ygcB	[1]	NA
ygcE	[1]	NA
ygcF	51	1.68
ygcG	[1]	NA
ygcN	7	0.02
ygcO	[3]	NA
ygcP	[2]	NA
ygcQ	[2]	NA
ygcR	[2]	NA
ygcS	[1]	NA
ygcU	[1]	NA
ygcW	[1]	NA
ygdB	[6]	NA
ygdD	117	1.2
ygdG	30	0.41
ygdH	54	1.2
ygdI	[14]	NA
ygdQ	86	0.55
ygdR	46	0.96
ygeA	17	1.03
ygeG	[0]	NA
ygeH	[0]	NA
ygeI	[1]	NA
ygeR	44	0.52
ygeV	[4]	NA
ygeW	[0]	NA
ygeX	[0]	NA
ygeY	[1]	NA
ygfA	30	0.37
ygfB	174	1.12
ygfF	[3]	NA
ygfI	[4]	NA
ygfK	[1]	NA
ygfM	[1]	NA
ygfQ	[4]	NA
ygfS	[3]	NA
ygfT	[1]	NA
ygfU	[0]	NA
ygfX	99	0.17
ygfY	120	1.8
ygfZ	191	2.2
yggC	32	0.25
yggD	49	0.11
yggE	100	2.17
yggF	[2]	NA
yggG	36	2.34
yggI	[15]	NA
yggL	349	1.47
yggM	[1]	NA
yggN	76	1.17
yggP	[1]	NA
yggR	[1]	NA
yggS	75	1.08
yggT	123	0.97
yggU	77	0.32
yggW	63	0.38
yggX	232	2.37
yghA	[1]	NA
yghB	32	0.75
yghD	[10]	NA
yghG	70	0.91
yghJ	212	0.66
yghQ	[1]	NA
yghR	[1]	NA
yghS	[1]	NA
yghT	[0]	NA
yghU	14	1.77
yghW	[3]	NA
ygiB	138	1.69
ygiC	120	0.67
ygiD	[5]	NA
ygiF	62	1.25
ygiL	[4]	NA
ygiM	30	1.69
ygiN	239	1.43
ygiQ	69	1.3
ygiS	7	1.27
ygiV	[7]	NA
ygiW	47	3.93
ygiZ	[0]	NA
ygjH	[2]	NA
ygjI	[0]	NA
ygjJ	[0]	NA
ygjK	[1]	NA
ygjP	[14]	NA
ygjQ	[3]	NA
ygjR	13	1.22
ygjV	[5]	NA
yhaB	[0]	NA
yhaC	[0]	NA
yhaH	57	1.8
yhaI	[4]	NA
yhaJ	48	0.85
yhaK	[5]	NA
yhaL	[41]	NA
yhaM	93	1.74
yhaO	46	0.04
yhaV	25	0.76
yhbE	285	0.05
yhbJ	121	0.84
yhbO	[0]	NA
yhbP	[9]	NA
yhbQ	[18]	NA
yhbS	86	1.07
yhbT	112	0.76
yhbU	[1]	NA
yhbV	[2]	NA
yhbW	14	2.11
yhbX	[3]	NA
yhbY	531	2.49
yhcA	[1]	NA
yhcB	209	1.35
yhcC	[2]	NA
yhcD	[2]	NA
yhcF	13	0.47
yhcG	[5]	NA
yhcH	[7]	NA
yhcM	23	0.86
yhcN	46	3.11
yhcO	[5]	NA
yhdE	101	0.53
yhdH	26	2.23
yhdJ	[5]	NA
yhdL	[18]	NA
yhdN	28	0.25
yhdP	22	0.23
yhdT	73	0.84
yhdU	[16]	NA
yhdV	[4]	NA
yhdX	[1]	NA
yhdY	[1]	NA
yhdZ	[6]	NA
yheL	110	0.25
yheM	78	0.3
yheN	86	0.33
yheO	109	0.48
yheS	72	0.92
yheT	50	0.39
yheU	44	0.92
yheV	[21]	NA
yhfA	53	2.36
yhfG	[20]	NA
yhfK	32	0.22
yhfL	[15]	NA
yhfS	[5]	NA
yhfT	[2]	NA
yhfU	[1]	NA
yhfW	[1]	NA
yhfX	[1]	NA
yhfY	[6]	NA
yhfZ	13	0.83
yhgA	[5]	NA
yhgE	10	0.33
yhgF	122	2.01
yhgN	46	1.13
yhhA	[9]	NA
yhhH	[3]	NA
yhhJ	27	0.45
yhhK	42	2.08
yhhL	42	1.24
yhhM	45	0.62
yhhN	32	0.8
yhhQ	33	0.86
yhhS	23	0.37
yhhT	[5]	NA
yhhW	13	2.27
yhhX	33	2.34
yhhY	[5]	NA
yhhZ	[0]	NA
yhiD	[1]	NA
yhiI	60	0.53
yhiJ	[1]	NA
yhiM	[2]	NA
yhiN	65	0.54
yhiQ	80	0.51
yhiR	71	1.34
yhjA	[3]	NA
yhjB	[4]	NA
yhjC	18	0.27
yhjD	12	1.13
yhjE	10	1.16
yhjG	[2]	NA
yhjH	[1]	NA
yhjJ	55	0.98
yhjK	29	0.48
yhjR	106	0.32
yhjV	29	1.07
yhjX	[1]	NA
yhjY	[4]	NA
yiaA	[1]	NA
yiaB	[0]	NA
yiaC	[12]	NA
yiaD	89	3.83
yiaF	343	1.34
yiaG	[4]	NA
yiaJ	24	0.79
yiaK	[1]	NA
yiaL	[0]	NA
yiaM	[0]	NA
yiaN	[0]	NA
yiaO	[0]	NA
yiaQ	[1]	NA
yiaR	[1]	NA
yiaS	[3]	NA
yiaT	[4]	NA
yiaU	[6]	NA
yiaV	[2]	NA
yiaW	[2]	NA
yiaY	[1]	NA
yibA	[9]	NA
yibB	64	0.78
yibD	[3]	NA
yibF	19	1.35
yibG	[2]	NA
yibH	[5]	NA
yibI	[2]	NA
yibL	89	4.07
yibN	547	1.19
yibQ	45	0.5
yibT	72	1.63
yicC	141	1.68
yicG	[9]	NA
yicH	30	0.49
yicI	[3]	NA
yicJ	[1]	NA
yicL	17	0.8
yicN	[15]	NA
yicO	[1]	NA
yicR	100	0.01
yicS	[2]	NA
yidA	68	1.97
yidB	41	1.71
yidC	882	0.77
yidD	628	0.06
yidE	23	0.31
yidF	[6]	NA
yidG	[8]	NA
yidH	[8]	NA
yidI	[7]	NA
yidJ	[1]	NA
yidK	[1]	NA
yidL	[2]	NA
yidP	[2]	NA
yidQ	47	0.71
yidR	13	1.31
yidX	14	0.07
yidZ	18	0.35
yieE	18	0.41
yieF	35	1.53
yieH	19	0.71
yieK	[6]	NA
yieL	[3]	NA
yieP	51	1.55
yifB	[2]	NA
yifE	2278	1.46
yifK	206	0.84
yifL	228	2.3
yigA	129	0.32
yigB	61	0.9
yigE	[3]	NA
yigF	[13]	NA
yigG	[4]	NA
yigI	71	1.77
yigL	48	1.26
yigM	61	0.44
yigP	163	0.44
yigZ	73	0.22
yihA	171	1.71
yihD	118	3.32
yihF	[2]	NA
yihG	21	0.84
yihI	189	2.97
yihL	[11]	NA
yihM	[7]	NA
yihN	[4]	NA
yihO	[2]	NA
yihP	[1]	NA
yihQ	[1]	NA
yihR	[1]	NA
yihS	[2]	NA
yihT	[1]	NA
yihU	[1]	NA
yihV	[1]	NA
yihW	58	0.7
yihX	55	0.61
yihY	29	0.22
yiiD	48	0.77
yiiE	[3]	NA
yiiF	[6]	NA
yiiG	[2]	NA
yiiM	33	1.7
yiiQ	20	0.78
yiiR	29	0.86
yiiS	47	1.22
yiiX	27	0.07
yijD	125	1.2
yijE	11	0.27
yijF	[2]	NA
yijO	[7]	NA
yijP	109	1.19
yjaA	[17]	NA
yjaB	[12]	NA
yjaG	103	1.37
yjaH	151	0.04
yjaZ	[12]	NA
yjbB	18	0.81
yjbD	[17]	NA
yjbE	[6]	NA
yjbF	[0]	NA
yjbG	[0]	NA
yjbH	[2]	NA
yjbJ	56	0.32
yjbL	[0]	NA
yjbM	[1]	NA
yjbQ	33	0.39
yjbR	33	1.23
yjbS	[1]	NA
yjbT	[1]	NA
yjcB	30	0.76
yjcC	[2]	NA
yjcD	158	1.12
yjcE	34	0.7
yjcF	[0]	NA
yjcH	[2]	NA
yjcO	14	0.73
yjcS	[1]	NA
yjcZ	[1]	NA
yjdA	[4]	NA
yjdC	41	0.86
yjdF	[11]	NA
yjdI	[4]	NA
yjdJ	[8]	NA
yjdK	[1]	NA
yjdL	[3]	NA
yjdM	75	5.11
yjdN	[2]	NA
yjdO	[1]	NA
yjdP	[10]	NA
yjeA	56	1.57
yjeE	60	1.16
yjeF	28	0.27
yjeH	9	0.33
yjeI	141	1.73
yjeJ	[7]	NA
yjeK	64	0.94
yjeM	12	0.6
yjeN	[5]	NA
yjeO	[8]	NA
yjeP	30	0.38
yjeS	25	0.33
yjeT	[27]	NA
yjeV	[10]	NA
yjfC	[1]	NA
yjfF	[2]	NA
yjfI	[1]	NA
yjfJ	[1]	NA
yjfK	[2]	NA
yjfL	[0]	NA
yjfM	[1]	NA
yjfN	[7]	NA
yjfP	[5]	NA
yjfY	[1]	NA
yjfZ	[5]	NA
yjgA	234	1.3
yjgB	[4]	NA
yjgF	421	3.32
yjgH	[4]	NA
yjgI	[6]	NA
yjgJ	17	2.41
yjgL	[2]	NA
yjgM	34	2.51
yjgN	[2]	NA
yjgR	9	0.7
yjgZ	[1]	NA
yjhB	[2]	NA
yjhC	8	1.53
yjhF	[2]	NA
yjhG	4	0.43
yjhH	[2]	NA
yjhI	[0]	NA
yjhP	[3]	NA
yjhQ	[4]	NA
yjhU	77	0.7
yjhX	[3]	NA
yjiA	58	1.04
yjiC	[1]	NA
yjiG	20	0.03
yjiH	[1]	NA
yjiJ	[2]	NA
yjiK	[5]	NA
yjiL	[1]	NA
yjiM	[2]	NA
yjiN	[5]	NA
yjiR	13	0.24
yjiS	[0]	NA
yjiX	85	0.51
yjiY	571	0.94
yjjA	74	1.67
yjjB	[3]	NA
yjjG	84	0.7
yjjI	[2]	NA
yjjJ	34	0.35
yjjK	357	1.98
yjjL	[3]	NA
yjjM	[1]	NA
yjjN	[1]	NA
yjjP	[4]	NA
yjjQ	[0]	NA
yjjU	19	0.59
yjjV	21	0.25
yjjW	[2]	NA
yjjX	39	1.89
yjjY	[7]	NA
yjjZ	[1]	NA
yjtD	25	1.95
ykfA	[6]	NA
ykfB	[11]	NA
ykfF	[0]	NA
ykfG	[0]	NA
ykfH	[3]	NA
ykfI	[0]	NA
ykfM	[0]	NA
ykgB	[2]	NA
ykgC	[2]	NA
ykgD	[2]	NA
ykgE	[4]	NA
ykgF	[4]	NA
ykgG	[5]	NA
ykgH	[1]	NA
ykgI	[1]	NA
ykgJ	[17]	NA
ykgL	[5]	NA
ykgM	[25]	NA
ykgO	[23]	NA
ykgR	[2]	NA
ylaB	7	0.26
ylaC	49	1.5
ylbA	12	1.76
ylbF	[1]	NA
ylcG	[0]	NA
ylcH	[17]	NA
ylcI	[0]	NA
yliE	30	0.36
yliF	33	0.75
yliI	[1]	NA
yliJ	50	2.09
yliL	[1]	NA
ymbA	51	0.92
ymcE	76	0.01
ymdA	[2]	NA
ymdB	[8]	NA
ymdC	[5]	NA
ymdF	[10]	NA
ymfA	[9]	NA
ymfD	[5]	NA
ymfE	[2]	NA
ymfI	[18]	NA
ymfJ	[3]	NA
ymfL	[1]	NA
ymfM	[1]	NA
ymfQ	[0]	NA
ymfR	[1]	NA
ymgA	[5]	NA
ymgC	[2]	NA
ymgD	29	2.49
ymgE	[1]	NA
ymgF	[18]	NA
ymgG	34	1.65
ymgI	[18]	NA
ymgJ	[1]	NA
ymiA	89	0.93
ymiB	[1]	NA
