"Object ID"	"Primary Name"	"Synonyms"
"EG10367"	"gapA"	"[gapA, gad, gap1, b1779, ECK1777]"
"EG10295"	"fepC"	"[fepC, b0588, ECK0581]"
"EG30046"	"ileX"	"[ileX, b3069, ECK3059]"
"G7427"	"casD"	"[casD, ygcI, cas5e, b2757, ECK2752]"
"G7152"	"yfaP"	"[yfaP, b2225, ECK2218]"
"EG10283"	"fbp"	"[fbp, fdp, b4232, ECK4227]"
"EG12419"	"gatY"	"[gatY, yegF, b2096, ECK2089]"
"EG20044"	"dctA"	"[dctA, b3528, ECK3513]"
"EG30030"	"glnW"	"[glnW, glnU-beta, glnUbeta, b0668, ECK0658]"
"G6844"	"ynfD"	"[ynfD, b1586, ECK1581]"
"EG10258"	"eno"	"[eno, b2779, ECK2773]"
"G6429"	"gsiA"	"[gsiA, yliA, b0829, ECK0819]"
"EG30012"	"alaX"	"[alaX, alaWbeta, b2396, ECK2390]"
"EG11250"	"chpS"	"[chpS, chpBI, yjfB, b4224, ECK4220]"
"G6469"	"ycaP"	"[ycaP, b0906, ECK0897]"
"EG11162"	"fumE"	"[fumE, yggD, b2929, ECK2925]"
"EG12253"	"kdgK"	"[kdgK, yhjI, b3526, ECK3511]"
"G6391"	"lysZ"	"[lysZ, b0748, ECK0737]"
"EG12865"	"ydcH"	"[ydcH, b1426, ECK1419]"
"EG12304"	"sapD"	"[sapD, trkE, b1291, ECK1286]"
"G7947"	"yjjQ"	"[yjjQ, b4365, ECK4355]"
"EG30102"	"thrU"	"[thrU, b3976, ECK3967]"
"G0-9121"	"yoeB"	"[yoeB, b4539, ECK2011]"
"EG11999"	"yehM"	"[yehM, yehO, yehN, b2120, ECK2112]"
"EG11733"	"yieP"	"[yieP, b3755, ECK3749]"
"EG10971"	"srlD"	"[srlD, gutD, b2705, ECK2700]"
"EG30059"	"metU"	"[metU, metT-beta, metTbeta, b0666, ECK0657]"
"EG11659"	"yedD"	"[yedD, b1928, ECK1927]"
"G6266"	"fetA"	"[fetA, ybbL, b0490, ECK0484]"
"G7656"	"obgE"	"[obgE, yhbZ, cgtA, obg, b3183, ECK3172]"
"EG30043"	"ileT"	"[ileT, tilA, b3852, ECK3844]"
"EG12844"	"yefM"	"[yefM, b2017, ECK2012]"
"G7471"	"ygeG"	"[ygeG, b2851, ECK2849]"
"G7467"	"yqeI"	"[yqeI, b2847, ECK2845]"
"EG10700"	"pfkB"	"[pfkB, b1723, ECK1721]"
"EG30025"	"aspV"	"[aspV, b0216, ECK0216]"
"G7025"	"yecM"	"[yecM, yecL, b1875, ECK1876]"
"EG12078"	"nikD"	"[nikD, hydD, hydC, b3479, ECK3463]"
"EG11356"	"fliZ"	"[fliZ, yedH, b1921, ECK1920]"
"EG30009"	"alaU"	"[alaU, talD, b3276, ECK3263]"
"G7428"	"casC"	"[casC, ygcJ, cse4, cas7, b2758, ECK2753]"
"G6809"	"yneG"	"[yneG, b1523, ECK1516]"
"EG12151"	"cobT"	"[cobT, b1991, ECK1986]"
"G7919"	"nanS"	"[nanS, yjhS, b4309, ECK4300]"
"EG31117"	"metW"	"[metW, b2815, ECK2811]"
"G6371"	"chiQ"	"[chiQ, ybfN, b0682, ECK0670]"
"EG10713"	"phnC"	"[phnC, b4106, ECK4099]"
"EG10128"	"btuD"	"[btuD, b1709, ECK1707]"
"EG30096"	"serW"	"[serW, b0883, ECK0874]"
"EG11244"	"yggE"	"[yggE, b2922, ECK2918]"
"EG12605"	"yacL"	"[yacL, b0119, ECK0118]"
"EG13238"	"cobU"	"[cobU, b1993, ECK1988]"
"G6718"	"paaJ"	"[paaJ, ydbW, b1397, ECK1394]"
"EG30056"	"lysV"	"[lysV, supN, b2404, ECK2398]"
"EG11903"	"yijF"	"[yijF, b3944, ECK3936]"
"EG12837"	"yhdZ"	"[yhdZ, b3271, ECK3258]"
"EG10130"	"btuR"	"[btuR, cobA, b1270, ECK1264]"
"EG30040"	"glyX"	"[glyX, glyVbeta, b4164, ECK4160]"
"G6334"	"uspG"	"[uspG, UP12, yzzU, ybdQ, b0607, ECK0601]"
"EG11537"	"yceH"	"[yceH, b1067, ECK1052]"
"G6349"	"cobC"	"[cobC, phpB, b0638, ECK0631]"
"EG20049"	"dgoA"	"[dgoA, b3692 (obsolete), yidU, b4477, ECK3685]"
"EG30022"	"asnV"	"[asnV, b1989, ECK1984]"
"G7870"	"ytfI"	"[ytfI, b4215, ECK4211]"
"EG12010"	"yehX"	"[yehX, b2129, ECK2122]"
"EG12150"	"cobS"	"[cobS, b1992, ECK1987]"
"EG11268"	"fmt"	"[fmt, ftm, yhdD, b3288, ECK3274]"
"EG12845"	"cas2"	"[cas2, ygbF, b2754, ECK2749]"
"G7357"	"yfjF"	"[yfjF, ratB, b2618, ECK2614]"
"EG10127"	"btuC"	"[btuC, b1711, ECK1709]"
"EG11868"	"rhaB"	"[rhaB, b3904, ECK3897]"
"EG30112"	"valW"	"[valW, b1666, ECK1662]"
"G7001"	"yebO"	"[yebO, b1825, ECK1823]"
"EG10592"	"mglA"	"[mglA, mglP, mgl, b2149, ECK2142]"
"G0-9941"	"sgrS"	"[sgrS, ryaA, b4577, ECK0071]"
"EG30093"	"serT"	"[serT, divE, b0971, ECK0962]"
"EG11933"	"pspG"	"[pspG, yjbO, b4050, ECK4042]"
"G6705"	"ydbL"	"[ydbL, b1383, ECK1380]"
"G0-9606"	"rdlB"	"[rdlB, b4422, ECK1207]"
"EG11101"	"aes"	"[aes, ybaC, b0476, ECK0470]"
"EG30053"	"leuX"	"[leuX, Su-6, supP, b4270, ECK4263]"
"G6351"	"ybeQ"	"[ybeQ, b0644, ECK0637]"
"G6951"	"ynjD"	"[ynjD, b1756, ECK1754]"
"G0-9608"	"rdlC"	"[rdlC, b4424, ECK1209]"
"EG30037"	"glyU"	"[glyU, supT, suA36, sufD, sumA, sumB, b2864, ECK2860]"
"EG10181"	"cyoD"	"[cyoD, b0429, ECK0423]"
"EG12422"	"ybiJ"	"[ybiJ, b0802, ECK0791]"
"G0-9581"	"sokC"	"[sokC, sof, b4413, ECK0019]"
"EG10616"	"mtlD"	"[mtlD, b3600, ECK3589]"
"EG30019"	"argZ"	"[argZ, argVgamma, b2692, ECK2687]"
"EG11830"	"yihD"	"[yihD, b3858, ECK3850]"
"EG12628"	"dppF"	"[dppF, dppE, b3540, ECK3527]"
"G0-9611"	"sokB"	"[sokB, b4429, ECK1414]"
"EG30109"	"valT"	"[valT, valTa, valTalpha, b0744, ECK0733]"
"EG10648"	"narZ"	"[narZ, chlZ, b1468, ECK1462]"
"EG11287"	"ygbA"	"[ygbA, b2732, ECK2727]"
"G0-9603"	"rdlA"	"[rdlA, b4420, ECK1205]"
"M014"	"mhpF"	"[mhpF, b0351, ECK0348]"
"EG30067"	"proL"	"[proL, proW, b2189, ECK2183]"
"G7838"	"yjeN"	"[yjeN, b4157, ECK4153]"
"EG11657"	"ybbA"	"[ybbA, b0495, ECK0489]"
"EG10262"	"entD"	"[entD, b0583, ECK0575]"
"EG30050"	"leuU"	"[leuU, b3174, ECK3163]"
"EG10333"	"frdD"	"[frdD, b4151, ECK4147]"
"G7267"	"yfeY"	"[yfeY, b2432, ECK2427]"
"EG10259"	"entA"	"[entA, b0596, ECK0589]"
"G7892"	"idnO"	"[idnO, yjgU, b4266, ECK4259]"
"EG30034"	"gltV"	"[gltV, tgtE, b4008, ECK4000]"
"G6978"	"yeaO"	"[yeaO, b1792, ECK1790]"
"EG10536"	"livF"	"[livF, b3454, ECK3438]"
"EG10263"	"entE"	"[entE, b0594, ECK0587]"
"EG30016"	"argW"	"[argW, b2348, ECK2342]"
"EG10330"	"frdA"	"[frdA, b4154, ECK4150]"
"G6633"	"yciU"	"[yciU, b1248, ECK1242]"
"EG10261"	"entC"	"[entC, fepF, b0593, ECK0586]"
"G7336"	"hcaD"	"[hcaD, hcaa4, phdA, yfhY, b2542, ECK2539]"
"G7069"	"asnW"	"[asnW, b1984, ECK1979]"
"G6216"	"yaiS"	"[yaiS, b0364, ECK0361]"
"EG12340"	"afuC"	"[afuC, fbpC, yagC, b0262, ECK0264]"
"EG11105"	"entH"	"[entH, ybdB, b0597, ECK0590]"
"EG30106"	"tyrT"	"[tyrT, tyrTalpha, supFsupO, Su-3, Su-4, su(c), suIII, supC, b1231, ECK1226]"
"EG10232"	"dmsA"	"[dmsA, b0894, ECK0885]"
"EG12374"	"yhfG"	"[yhfG, ficA, b3362, ECK3350]"
"EG11673"	"folB"	"[folB, ygiG, b3058, ECK3048]"
"G6714"	"paaF"	"[paaF, ydbR, ydbS, b1393, ECK1390]"
"EG30064"	"pheU"	"[pheU, pheR, pheW, b4134, ECK4128]"
"EG11763"	"yibG"	"[yibG, b3596, ECK3585]"
"G6270"	"ybbP"	"[ybbP, b0496, ECK0490]"
"EG11374"	"folK"	"[folK, b0142, ECK0141]"
"EG30047"	"leuP"	"[leuP, leuV-beta, leuVbeta, b4369, ECK4360]"
"EG11379"	"appB"	"[appB, cbdB, cyxB, b0979, ECK0970]"
"EG11136"	"yebB"	"[yebB, b1862, ECK1863]"
"EG10682"	"pabA"	"[pabA, b3360, ECK3348]"
"EG11402"	"treC"	"[treC, treE, olgH, b4239, ECK4234]"
"EG30031"	"glnX"	"[glnX, supE, glnV-beta, glnVbeta, b0664, ECK0655]"
"G7667"	"yrbL"	"[yrbL, b3207, ECK3196]"
"G7889"	"lptG"	"[lptG, yjgQ, b4262, ECK4255]"
"EG50011"	"folP"	"[folP, dhpS, b3177, ECK3166]"
"EG30013"	"argQ"	"[argQ, argVdelta, b2691, ECK2686]"
"EG10644"	"narV"	"[narV, chlZ, b1465, ECK1459]"
"G7200"	"yfcL"	"[yfcL, b2325, ECK2319]"
"EG11375"	"folE"	"[folE, b2153, ECK2146]"
"EG11074"	"xylA"	"[xylA, b3565, ECK3554]"
"G6392"	"lysQ"	"[lysQ, b0749, ECK0738]"
"G6929"	"ydiZ"	"[ydiZ, b1724, ECK1722]"
"EG10683"	"pabB"	"[pabB, b1812, ECK1810]"
"EG30103"	"thrV"	"[thrV, b3273, ECK3260]"
"EG10173"	"cydA"	"[cydA, cyd-1, b0733, ECK0721]"
"G6579"	"ymfA"	"[ymfA, b1122, ECK1108]"
"G7877"	"ridA"	"[ridA, yjgF, b4243, ECK4238]"
"EG11493"	"pabC"	"[pabC, b1096, ECK1082]"
"EG10577"	"melA"	"[melA, mel-7, b4119, ECK4112]"
"EG30060"	"metV"	"[metV, metZbeta, metX, metZ-&beta;, metZb, b2816, ECK2812]"
"G6081"	"yaaX"	"[yaaX, b0005, ECK0005]"
"G7868"	"qorB"	"[qorB, ytfG, b4211, ECK4207]"
"EG11138"	"nudB"	"[nudB, yebD, ntpA, b1865, ECK1866]"
"EG30044"	"ileU"	"[ileU, tilD, b3277, ECK3264]"
"EG12067"	"napA"	"[napA, yojD, yojC, yojE, b2206, ECK2198]"
"EG12171"	"yjjI"	"[yjjI, yjjH, b4380, ECK4372]"
"G7740"	"nudE"	"[nudE, yrfE, b3397, ECK3384]"
"EG11260"	"yifB"	"[yifB, b3765, ECK3758]"
"EG10355"	"fucU"	"[fucU, b2804, ECK2799]"
"EG30028"	"glnU"	"[glnU, glnUalpha, supB, trnA, b0670, ECK0659]"
"EG11695"	"yidG"	"[yidG, b3675, ECK3666]"
"G7721"	"yhfK"	"[yhfK, b3358, ECK3346]"
"EG10435"	"hflC"	"[hflC, hflA, b4175, ECK4171]"
"EG30010"	"alaV"	"[alaV, b0203, ECK0203]"
"EG10638"	"narG"	"[narG, chlC, narC, b1224, ECK1218]"
"G7614"	"yqjK"	"[yqjK, b3100, ECK3091]"
"G7717"	"kefG"	"[kefG, yheR, b3351, ECK3339]"
"G7579"	"cpdA"	"[cpdA, icc, b3032, ECK3023]"
"M010"	"mhpA"	"[mhpA, b0347, ECK0344]"
"G6389"	"valZ"	"[valZ, valTb, valTbeta, b0746, ECK0735]"
"G7156"	"yfaT"	"[yfaT, b2229, ECK2221]"
"G7636"	"agaI"	"[agaI, yraG, b3141, ECK3129]"
"EG10436"	"hflK"	"[hflK, hslY, hflA, b4174, ECK4170]"
"EG30097"	"serX"	"[serX, b1032, ECK1018]"
"EG11946"	"nrfC"	"[nrfC, yjcJ, b4072, ECK4065]"
"G6860"	"ydgH"	"[ydgH, b1604, ECK1599]"
"G7599"	"ygjK"	"[ygjK, b3080, ECK3070]"
"EG10535"	"lit"	"[lit, b1139, ECK1125]"
"G6711"	"paaC"	"[paaC, ydbP, b1390, ECK1387]"
"EG30057"	"lysW"	"[lysW, lysT-beta, lysTbeta, su, b0745, ECK0734]"
"G6473"	"ycbJ"	"[ycbJ, b0919, ECK0910]"
"G7490"	"ygeX"	"[ygeX, b2871, ECK2867]"
"EG11626"	"artQ"	"[artQ, b0862, ECK0853]"
"EG11306"	"lipA"	"[lipA, lip, b0628, ECK0621]"
"EG30041"	"glyY"	"[glyY, glyVgamma, b4165, ECK4161]"
"EG10331"	"frdB"	"[frdB, b4153, ECK4149]"
"EG12868"	"yciN"	"[yciN, b1273, ECK1267]"
"G7408"	"yqaB"	"[yqaB, b2690, ECK2685]"
"EG11591"	"lipB"	"[lipB, cde, lip, b0630, ECK0623]"
"G6141"	"yagF"	"[yagF, b0269, ECK0270]"
"EG30023"	"aspT"	"[aspT, tasC, b3760, ECK3754]"
"EG12025"	"sanA"	"[sanA, sfiXSt, yeiF, b2144, ECK2137]"
"G7164"	"nudI"	"[nudI, yfaO, b2251, ECK2244]"
"EG11223"	"argH"	"[argH, b3960, ECK3951]"
"EG11796"	"lplA"	"[lplA, yjjF, slr, b4386, ECK4378]"
"EG30113"	"valX"	"[valX, valU-beta, valUbeta, b2402, ECK2396]"
"EG11814"	"torA"	"[torA, b0997, ECK0988]"
"EG11660"	"yedE"	"[yedE, b1929, ECK1928]"
"G7160"	"rhmD"	"[rhmD, yfaW, b2247, ECK2240]"
"EG10255"	"eco"	"[eco, eti, b2209, ECK2201]"
"EG12768"	"kbaY"	"[kbaY, yraC, kba, agaY, b3137, ECK3125]"
"EG30094"	"serU"	"[serU, supH, Su-1, ftsM, su1, supD, b1975, ECK1971]"
"G7555"	"yghW"	"[yghW, b2998, ECK2992]"
"G7158"	"yfaU"	"[yfaU, b2245, ECK2238]"
"EG10068"	"argG"	"[argG, b3172, ECK3161]"
"EG11034"	"tsr"	"[tsr, cheD, b4355, ECK4345]"
"EG30054"	"leuZ"	"[leuZ, b1909, ECK1908]"
"EG10233"	"dmsB"	"[dmsB, b0895, ECK0886]"
"G7035"	"yecR"	"[yecR, b1904, ECK1903]"
"G7145"	"preT"	"[preT, yeiT, b2146, ECK2139]"
"EG10987"	"tap"	"[tap, b1885, ECK1886]"
"EG12287"	"sgbE"	"[sgbE, yiaS, b3583, ECK3572]"
"EG30038"	"glyV"	"[glyV, glyValpha, ins, mutA, suA58, suA78, b4163, ECK4159]"
"G6841"	"ynfB"	"[ynfB, b1583, ECK1578]"
"G7123"	"yegS"	"[yegS, b2086, ECK2082]"
"EG10065"	"argC"	"[argC, Arg2, b3958, ECK3949]"
"EG12854"	"cpoB"	"[cpoB, ybgF, b0742, ECK0731]"
"EG30020"	"asnT"	"[asnT, b1977, ECK1973]"
"EG11380"	"appC"	"[appC, cbdA, cyxA, b0978, ECK0969]"
"G6385"	"ybgO"	"[ybgO, b0716, ECK0705]"
"G6810"	"glsB"	"[glsB, yneH, b1524, ECK1517]"
"EG10811"	"pyrI"	"[pyrI, b4244, ECK4239]"
"EG11846"	"yihT"	"[yihT, squT, b3881, ECK3874]"
"EG30110"	"valU"	"[valU, valUalpha, b2401, ECK2395]"
"EG12842"	"ybjC"	"[ybjC, b0850, ECK0841]"
"G6791"	"ydeP"	"[ydeP, b1501, ECK1494]"
"EG11627"	"artM"	"[artM, b0861, ECK0852]"
"EG11682"	"ptsN"	"[ptsN, yhbI, rpoP, b3204, ECK3193]"
"EG30068"	"proM"	"[proM, proU, b3799, ECK3792]"
"EG10647"	"narY"	"[narY, chlZ, b1467, ECK1461]"
"EG11931"	"yjbM"	"[yjbM, b4048, ECK4040]"
"G6731"	"azoR"	"[azoR, acpD, b1412, ECK1405]"
"EG10149"	"cheW"	"[cheW, b1887, ECK1888]"
"EG11055"	"uidA"	"[uidA, gurA, gusA, b1617, ECK1612]"
"EG30051"	"leuV"	"[leuV, leuValpha, b4368, ECK4359]"
"EG11607"	"yciI"	"[yciI, b1251, ECK1245]"
"G6727"	"ynbA"	"[ynbA, b1408, ECK1401]"
"EG11286"	"argE"	"[argE, b3957, ECK3948]"
